page|93
项目|2020 年 12 月 31 日|2019 年 12 月 31 日
流动资产：||
货币资金|518,939,414.53|325,961,354.96
结算备付金||
拆出资金||
交易性金融资产||63,376,415.09
衍生金融资产||
应收票据|147,155,874.63|226,653,041.36
应收账款|383,845,509.13|219,504,939.73
应收款项融资|44,100,000.00|
预付款项|15,129,933.78|90,586,405.76
应收保费||
应收分保账款||
page|94
应收分保合同准备金||
其他应收款|489,837,343.55|764,066,442.97
其中：应收利息||
应收股利||
买入返售金融资产||
存货|1,156,375,889.17|1,226,278,572.23
合同资产|26,167,850.45|
持有待售资产||
一年内到期的非流动资产||
其他流动资产|12,312,534.20|15,449,740.26
流动资产合计|2,793,864,349.44|2,931,876,912.36
非流动资产：||
发放贷款和垫款||
债权投资||
其他债权投资||
长期应收款|56,840,000.00|85,000,000.00
长期股权投资|709,619,744.44|437,599,512.31
其他权益工具投资|51,971,823.80|61,661,715.01
其他非流动金融资产|68,500,000.00|86,080,808.22
投资性房地产|547,340,851.64|560,461,046.54
固定资产|12,321,998.31|27,710,694.88
在建工程|9,696,872.23|429,000.00
生产性生物资产||
油气资产||
使用权资产||
无形资产|1,338,408.67|11,211,731.60
开发支出||
商誉||
长期待摊费用|2,725,949.21|580,541.62
递延所得税资产|53,636,686.92|46,298,257.22
其他非流动资产|17,521,188.95|1,442,091.88
非流动资产合计|1,531,513,524.17|1,318,475,399.28
资产总计|4,325,377,873.61|4,250,352,311.64
流动负债：||
page|95
短期借款|382,368,629.60|477,516,801.59
向中央银行借款||
拆入资金||
交易性金融负债||
衍生金融负债||
应付票据|65,657,617.95|56,415,635.98
应付账款|275,627,403.12|358,787,540.87
预收款项|36,460,351.02|70,001,780.40
合同负债|15,453,824.30|
卖出回购金融资产款||
吸收存款及同业存放||
代理买卖证券款||
代理承销证券款||
应付职工薪酬|6,877,378.44|7,444,307.49
应交税费|49,879,623.01|58,906,165.08
其他应付款|260,318,166.54|447,823,017.68
其中：应付利息||
应付股利||106,051,400.00
应付手续费及佣金||
应付分保账款||
持有待售负债||
一年内到期的非流动负债|244,752,265.75|46,956,784.00
其他流动负债|1,289,576.89|2,536,612.52
流动负债合计|1,338,684,836.62|1,526,388,645.61
非流动负债：||
保险合同准备金||
长期借款|360,296,449.80|442,843,916.00
应付债券||
其中：优先股||
永续债||
租赁负债||
长期应付款|531,064,752.12|529,931,418.84
长期应付职工薪酬||
预计负债|858,645.81|
page|96
递延收益|1,103,422.72|441,919.38
递延所得税负债|10,560,993.24|13,228,287.38
其他非流动负债|18,000,000.00|41,000,000.00
非流动负债合计|921,884,263.69|1,027,445,541.60
负债合计|2,260,569,100.31|2,553,834,187.21
所有者权益：||
股本|453,828,600.00|312,352,464.00
其他权益工具|-9,209,919.26|
其中：优先股||
永续债||
资本公积|1,005,346,218.84|803,358,819.25
减：库存股||
其他综合收益|-9,900,715.84|1,367,303.08
专项储备||
盈余公积|21,332,547.11|19,814,577.39
一般风险准备||
未分配利润|349,951,761.88|309,049,007.82
归属于母公司所有者权益合计|1,811,348,492.73|1,445,942,171.54
少数股东权益|253,460,280.57|250,575,952.89
所有者权益合计|2,064,808,773.30|1,696,518,124.43
负债和所有者权益总计|4,325,377,873.61|4,250,352,311.64
