page|80
项目|2020 年度|2019 年度
一、经营活动产生的现金流量：||
销售商品、提供劳务收到的现金|4,098,717,069.16|4,109,906,247.05
客户存款和同业存放款项净增加额||
向中央银行借款净增加额||
向其他金融机构拆入资金净增加额||
收到原保险合同保费取得的现金||
收到再保业务现金净额||
保户储金及投资款净增加额||
收取利息、手续费及佣金的现金||
拆入资金净增加额||
回购业务资金净增加额||
代理买卖证券收到的现金净额||
收到的税费返还|49,486,254.14|1,072,356.77
收到其他与经营活动有关的现金|189,326,502.68|37,123,019.95
经营活动现金流入小计|4,337,529,825.98|4,148,101,623.77
购买商品、接受劳务支付的现金|3,150,554,126.31|2,975,517,961.95
客户贷款及垫款净增加额||
存放中央银行和同业款项净增加额||
支付原保险合同赔付款项的现金||
拆出资金净增加额||
支付利息、手续费及佣金的现金||
支付保单红利的现金||
支付给职工以及为职工支付的现金|402,931,169.27|393,716,349.09
支付的各项税费|98,282,383.92|134,760,859.16
支付其他与经营活动有关的现金|146,887,541.33|299,449,098.45
经营活动现金流出小计|3,798,655,220.83|3,803,444,268.65
经营活动产生的现金流量净额|538,874,605.15|344,657,355.12
二、投资活动产生的现金流量：||
收回投资收到的现金|37,403,877.57|24,190,956.77
取得投资收益收到的现金|21,391,100.08|28,474,021.63
处置固定资产、无形资产和其他长期资产收回的现金净额|7,257,596.53|13,684,708.90
处置子公司及其他营业单位收到的现金净额||
收到其他与投资活动有关的现金|1,980,000.00|
投资活动现金流入小计|68,032,574.18|66,349,687.30
购建固定资产、无形资产和其他长期资产支付的现金|89,803,401.33|50,800,509.71
投资支付的现金|201,563,210.57|32,287,116.70
质押贷款净增加额||
取得子公司及其他营业单位支付的现金净额||
支付其他与投资活动有关的现金||60,000.00
投资活动现金流出小计|291,366,611.90|83,147,626.41
投资活动产生的现金流量净额|-223,334,037.72|-16,797,939.11
三、筹资活动产生的现金流量：||
吸收投资收到的现金|19,500,000.00|16,000,000.00
其中：子公司吸收少数股东投资收到的现金|19,500,000.00|16,000,000.00
取得借款收到的现金|2,742,592,566.71|2,312,060,159.00
收到其他与筹资活动有关的现金||
筹资活动现金流入小计|2,762,092,566.71|2,328,060,159.00
偿还债务支付的现金|2,736,775,784.43|2,428,287,739.00
分配股利、利润或偿付利息支付的现金|216,456,546.79|224,544,637.32
page|81
其中：子公司支付给少数股东的股利、利润|1,476,000.00|3,975,000.00
支付其他与筹资活动有关的现金||
筹资活动现金流出小计|2,953,232,331.22|2,652,832,376.32
筹资活动产生的现金流量净额|-191,139,764.51|-324,772,217.32
四、汇率变动对现金及现金等价物的影响|-3,158,264.26|-1,608,614.74
五、现金及现金等价物净增加额|121,242,538.66|1,478,583.95
加：期初现金及现金等价物余额|236,013,458.70|234,534,874.75
六、期末现金及现金等价物余额|357,255,997.36|236,013,458.70
