page|92
项目|2020 年度|2019 年度
一、营业总收入|1,371,189,159.15|1,164,191,665.14
其中：营业收入|1,371,189,159.15|1,164,191,665.14
利息收入||
已赚保费||
手续费及佣金收入||
二、营业总成本|1,212,552,022.86|1,019,909,247.98
其中：营业成本|756,828,653.74|622,240,393.76
利息支出||
手续费及佣金支出||
退保金||
赔付支出净额||
提取保险责任合同准备金净额||
保单红利支出||
分保费用||
税金及附加|12,040,096.21|9,761,911.89
销售费用|235,013,552.88|216,990,882.55
管理费用|132,993,603.37|120,193,373.92
研发费用|97,188,712.32|78,046,985.33
财务费用|-21,512,595.66|-27,324,299.47
其中：利息费用|3,341,973.61|6,528,566.31
利息收入|20,278,844.24|32,019,801.53
加：其他收益|49,254,648.37|32,891,622.68
投资收益（损失以“－”号填列）|3,862,128.40|-2,377,583.01
其中：对联营企业和合营企业的投资收益|3,838,251.63|-2,788,987.87
以摊余成本计量的金融资产终止确认收益||
汇兑收益（损失以“-”号填列）||
page|93
净敞口套期收益（损失以“－”号填列）||
公允价值变动收益（损失以“－”号填列）||
信用减值损失（损失以“-”号填列）|-23,325,920.54|-22,559,896.41
资产减值损失（损失以“-”号填列）|-12,083,905.52|-968,455.70
资产处置收益（损失以“-”号填列）|99,262.77|41,231.72
三、营业利润（亏损以“－”号填列）|176,443,349.77|151,309,336.44
加：营业外收入|9,257,306.86|5,996,349.04
减：营业外支出|62,888.12|16,909.23
四、利润总额（亏损总额以“－”号填列）|185,637,768.51|157,288,776.25
减：所得税费用|24,372,476.33|14,698,553.58
五、净利润（净亏损以“－”号填列）|161,265,292.18|142,590,222.67
（一）按经营持续性分类||
1.持续经营净利润（净亏损以“－”号填列）|161,549,986.90|142,699,507.37
2.终止经营净利润（净亏损以“－”号填列）|-284,694.72|-109,284.70
（二）按所有权归属分类||
1.归属于母公司股东的净利润|159,850,019.38|142,328,015.08
2.少数股东损益|1,415,272.80|262,207.59
六、其他综合收益的税后净额||
归属母公司所有者的其他综合收益的税后净额||
（一）不能重分类进损益的其他综合收益||
1.重新计量设定受益计划变动额||
2.权益法下不能转损益的其他综合收益||
3.其他权益工具投资公允价值变动||
4.企业自身信用风险公允价值变动||
page|94
5.其他||
（二）将重分类进损益的其他综合收益||
1.权益法下可转损益的其他综合收益||
2.其他债权投资公允价值变动||
3.金融资产重分类计入其他综合收益的金额||
4.其他债权投资信用减值准备||
5.现金流量套期储备||
6.外币财务报表折算差额||
7.其他||
归属于少数股东的其他综合收益的税后净额||
七、综合收益总额|161,265,292.18|142,590,222.67
归属于母公司所有者的综合收益总额|159,850,019.38|142,328,015.08
归属于少数股东的综合收益总额|1,415,272.80|262,207.59
八、每股收益：||
（一）基本每股收益|0.25|0.22
（二）稀释每股收益|0.25|0.22
