page|92
项目|2020 年度|2019 年度
一、经营活动产生的现金流量：||
销售商品、提供劳务收到的现金|13,100,389,646.19|10,639,452,867.62
客户存款和同业存放款项净增加额||
向中央银行借款净增加额||
向其他金融机构拆入资金净增加额||
收到原保险合同保费取得的现金||
收到再保业务现金净额||
保户储金及投资款净增加额||
收取利息、手续费及佣金的现金||
拆入资金净增加额||
回购业务资金净增加额||
代理买卖证券收到的现金净额||
收到的税费返还|2,974,027.99|6,431,647.66
收到其他与经营活动有关的现金|253,669,222.21|371,453,333.58
经营活动现金流入小计|13,357,032,896.39|11,017,337,848.86
购买商品、接受劳务支付的现金|9,520,378,278.33|7,014,189,213.84
客户贷款及垫款净增加额|11,344,610.37|311,444,470.47
存放中央银行和同业款项净增加额||
支付原保险合同赔付款项的现金||
拆出资金净增加额||
支付利息、手续费及佣金的现金||
支付保单红利的现金||
支付给职工以及为职工支付的现金|1,280,202,698.37|1,257,941,352.73
支付的各项税费|176,899,520.26|198,848,248.38
支付其他与经营活动有关的现金|1,787,237,435.98|1,942,047,852.26
经营活动现金流出小计|12,776,062,543.31|10,724,471,137.68
经营活动产生的现金流量净额|580,970,353.08|292,866,711.18
二、投资活动产生的现金流量：||
收回投资收到的现金|259,679,200.00|63,804,483.36
取得投资收益收到的现金||
page|93
处置固定资产、无形资产和其他长期资产收回的现金净额|403,685.56|323,367.83
处置子公司及其他营业单位收到的现金净额||
收到其他与投资活动有关的现金|626,406,349.28|858,780,471.64
投资活动现金流入小计|886,489,234.84|922,908,322.83
购建固定资产、无形资产和其他长期资产支付的现金|69,959,021.89|155,967,045.02
投资支付的现金||
质押贷款净增加额||
取得子公司及其他营业单位支付的现金净额||
支付其他与投资活动有关的现金|622,500,000.00|657,600,000.00
投资活动现金流出小计|692,459,021.89|813,567,045.02
投资活动产生的现金流量净额|194,030,212.95|109,341,277.81
三、筹资活动产生的现金流量：||
吸收投资收到的现金||1,987,819,969.03
其中：子公司吸收少数股东投资收到的现金||
取得借款收到的现金|160,436,700.00|392,599,400.00
收到其他与筹资活动有关的现金||
筹资活动现金流入小计|160,436,700.00|2,380,419,369.03
偿还债务支付的现金|470,057,800.00|239,344,400.00
分配股利、利润或偿付利息支付的现金|192,215,024.91|15,741,592.38
其中：子公司支付给少数股东的股利、利润||
支付其他与筹资活动有关的现金||657,257.37
筹资活动现金流出小计|662,272,824.91|255,743,249.75
筹资活动产生的现金流量净额|-501,836,124.91|2,124,676,119.28
四、汇率变动对现金及现金等价物的影响|223,543.73|-395,763.36
五、现金及现金等价物净增加额|273,387,984.85|2,526,488,344.91
加：期初现金及现金等价物余额|5,041,075,499.16|2,514,587,154.25
六、期末现金及现金等价物余额|5,314,463,484.01|5,041,075,499.16
