page|74
项目|2020 年度|2019 年度
一、营业总收入|788,647,583.82|458,793,594.72
其中：营业收入|788,647,583.82|458,793,594.72
利息收入||
已赚保费||
手续费及佣金收入||
page|75
二、营业总成本|759,558,278.59|439,952,681.04
其中：营业成本|566,288,355.14|320,106,626.56
利息支出||
手续费及佣金支出||
退保金||
赔付支出净额||
提取保险责任合同准备金净额||
保单红利支出||
分保费用||
税金及附加|2,805,554.83|2,902,603.97
销售费用|47,580,242.77|28,381,059.38
管理费用|93,874,657.29|67,684,867.28
研发费用|34,443,302.56|20,938,924.60
财务费用|14,566,166.00|-61,400.75
其中：利息费用|5,886,498.13|2,536,414.99
利息收入|523,929.37|2,959,470.53
加：其他收益|18,668,345.93|4,037,395.85
投资收益（损失以“－”号填列）|1,516,608.81|2,580,769.38
其中：对联营企业和合营企业的投资收益||
以摊余成本计量的金融资产终止确认收益||
汇兑收益（损失以“-”号填列）||
净敞口套期收益（损失以“－”号填列）||
公允价值变动收益（损失以“－”号填列）|1,193,812.25|575,220.02
信用减值损失（损失以“-”号填列）|-109,196.71|-1,331,403.68
资产减值损失（损失以“-”号填列）|-4,002,912.19|-2,971,531.91
资产处置收益（损失以“-”号填列）|-287,475.43|
三、营业利润（亏损以“－”号填列）|46,068,487.89|21,731,363.34
加：营业外收入|491,194.48|507,791.03
减：营业外支出|68,430.47|62,285.04
四、利润总额（亏损总额以“－”号填列）|46,491,251.90|22,176,869.33
减：所得税费用|9,469,101.52|3,271,679.98
五、净利润（净亏损以“－”号填列）|37,022,150.38|18,905,189.35
page|76
（一）按经营持续性分类||
1.持续经营净利润（净亏损以“－”号填列）|37,022,150.38|18,905,189.35
2.终止经营净利润（净亏损以“－”号填列）||
（二）按所有权归属分类||
1.归属于母公司股东的净利润|36,359,559.50|19,835,829.89
2.少数股东损益|662,590.88|-930,640.54
六、其他综合收益的税后净额|-2,714,926.14|-237,917.37
归属母公司所有者的其他综合收益的税后净额|-2,308,956.75|-253,033.13
（一）不能重分类进损益的其他综合收益||
1.重新计量设定受益计划变动额||
2.权益法下不能转损益的其他综合收益||
3.其他权益工具投资公允价值变动||
4.企业自身信用风险公允价值变动||
5.其他||
（二）将重分类进损益的其他综合收益|-2,308,956.75|-253,033.13
1.权益法下可转损益的其他综合收益||
2.其他债权投资公允价值变动||
3.金融资产重分类计入其他综合收益的金额||
4.其他债权投资信用减值准备||
5.现金流量套期储备||
6.外币财务报表折算差额|-2,308,956.75|-253,033.13
7.其他||
归属于少数股东的其他综合收益的税后净额|-405,969.39|15,115.76
七、综合收益总额|34,307,224.24|18,667,271.98
归属于母公司所有者的综合收益总额|34,050,602.75|19,582,796.76
归属于少数股东的综合收益总额|256,621.49|-915,524.78
八、每股收益：||
（一）基本每股收益|0.18|0.10
（二）稀释每股收益|0.18|0.10
