page|52
项目|附注|2020 年 12 月 31 日|2019 年 12 月 31 日
流动资产：|||
货币资金|七、1|1,131,846,013.46|1,059,912,920.57
结算备付金|||
拆出资金|||
交易性金融资产|七、2|230,504,298.23|461,841,649.32
衍生金融资产|||
应收票据|七、3|187,976,690.05|196,240,269.73
应收账款|七、4|640,756,336.43|405,159,133.86
应收款项融资|七、5|114,458,359.30|94,835,155.05
预付款项|七、6|82,343,719.18|61,330,185.82
应收保费|||
应收分保账款|||
应收分保合同准备金|||
其他应收款|七、7|5,392,374.62|15,860,440.53
其中：应收利息|||
应收股利|||
买入返售金融资产|||
存货|七、8|749,195,182.67|679,355,936.06
合同资产|||
持有待售资产|||
一年内到期的非流动资产|||
其他流动资产|七、9|1,629,894.90|28,711,713.07
流动资产合计||3,144,102,868.84|3,003,247,404.01
非流动资产：|||
发放贷款和垫款|||
债权投资|||
其他债权投资|||
长期应收款|||
长期股权投资|||
其他权益工具投资|七、10|50,000.00|50,000.00
其他非流动金融资产|||
投资性房地产|||
固定资产|七、11|1,797,791,549.12|1,762,887,020.79
在建工程|七、12|314,879,582.87|167,847,496.90
生产性生物资产|||
油气资产|||
使用权资产|||
无形资产|七、13|203,252,761.04|171,811,150.92
开发支出|||
商誉|||
长期待摊费用|||
递延所得税资产|七、14|29,632,320.26|25,188,043.74
其他非流动资产|七、15|131,709,251.96|39,244,421.13
非流动资产合计||2,477,315,465.25|2,167,028,133.48
page|53
资产总计||5,621,418,334.09|5,170,275,537.49
流动负债：|||
短期借款|||
向中央银行借款|||
拆入资金|||
交易性金融负债|||
衍生金融负债|||
应付票据|七、16|490,387,706.12|432,194,205.52
应付账款|七、17|505,396,847.33|563,972,666.80
预收款项|七、18||112,504,772.63
合同负债|七、19|64,677,406.39|
卖出回购金融资产款|||
吸收存款及同业存放|||
代理买卖证券款|||
代理承销证券款|||
应付职工薪酬|七、20|64,867,077.70|40,922,497.54
应交税费|七、21|73,840,002.37|27,600,781.91
其他应付款|七、22|101,218,281.73|75,592,468.95
其中：应付利息|||
应付股利|||
应付手续费及佣金|||
应付分保账款|||
持有待售负债|||
一年内到期的非流动负债|||
其他流动负债|七、23|5,147,188.70|
流动负债合计||1,305,534,510.34|1,252,787,393.35
非流动负债：|||
保险合同准备金|||
长期借款|||
应付债券|||
其中：优先股|||
永续债|||
租赁负债|||
长期应付款|||
长期应付职工薪酬|||
预计负债|||
递延收益|七、24|59,995,869.79|49,709,887.07
递延所得税负债|||
其他非流动负债|||
非流动负债合计||59,995,869.79|49,709,887.07
负债合计||1,365,530,380.13|1,302,497,280.42
所有者权益（或股东权益）：|||
实收资本（或股本）|七、25|594,967,747.00|594,967,747.00
其他权益工具|||
其中：优先股|||
永续债|||
资本公积|七、26|913,446,576.63|913,446,576.63
减：库存股|||
page|54
其他综合收益|||
专项储备|七、27|64,404,952.44|62,244,488.50
盈余公积|七、28|367,887,576.72|320,078,840.48
一般风险准备|||
未分配利润|七、29|2,315,181,101.17|1,977,040,604.46
归属于母公司所有者权益（或股东权益）合计||4,255,887,953.96|3,867,778,257.07
少数股东权益|||
所有者权益（或股东权益）合计||4,255,887,953.96|3,867,778,257.07
负债和所有者权益（或股东权益）总计||5,621,418,334.09|5,170,275,537.49
