page|104
项目|2020 年度|2019 年度
一、经营活动产生的现金流量：||
销售商品、提供劳务收到的现金|81,254,266.23|243,640,768.15
客户存款和同业存放款项净增加额||
向中央银行借款净增加额||
向其他金融机构拆入资金净增加额||
收到原保险合同保费取得的现金||
收到再保业务现金净额||
保户储金及投资款净增加额||
收取利息、手续费及佣金的现金||
拆入资金净增加额||
回购业务资金净增加额||
代理买卖证券收到的现金净额||
收到的税费返还|841,042.42|1,772,836.21
收到其他与经营活动有关的现金|40,973,073.65|105,501,368.68
经营活动现金流入小计|123,068,382.30|350,914,973.04
购买商品、接受劳务支付的现金|61,550,249.64|252,615,538.76
客户贷款及垫款净增加额||
page|105
存放中央银行和同业款项净增加额||
支付原保险合同赔付款项的现金||
拆出资金净增加额||
支付利息、手续费及佣金的现金||
支付保单红利的现金||
支付给职工以及为职工支付的现金|19,138,950.16|20,740,440.61
支付的各项税费|8,409,230.08|5,198,951.01
支付其他与经营活动有关的现金|20,286,960.24|107,297,215.73
经营活动现金流出小计|109,385,390.12|385,852,146.11
经营活动产生的现金流量净额|13,682,992.18|-34,937,173.07
二、投资活动产生的现金流量：||
收回投资收到的现金||
取得投资收益收到的现金||
处置固定资产、无形资产和其他长期资产收回的现金净额|18,253,118.24|1,354,132.82
处置子公司及其他营业单位收到的现金净额|10,068,905.90|
收到其他与投资活动有关的现金||
投资活动现金流入小计|28,322,024.14|1,354,132.82
购建固定资产、无形资产和其他长期资产支付的现金|13,560,104.93|13,410,940.53
投资支付的现金||
质押贷款净增加额||
取得子公司及其他营业单位支付的现金净额||
支付其他与投资活动有关的现金||
投资活动现金流出小计|13,560,104.93|13,410,940.53
投资活动产生的现金流量净额|14,761,919.21|-12,056,807.71
三、筹资活动产生的现金流量：||
吸收投资收到的现金||
其中：子公司吸收少数股东投资收到的现金||
取得借款收到的现金|120,901,765.67|111,714,638.44
收到其他与筹资活动有关的现金|1,831,530.08|108,776,071.20
筹资活动现金流入小计|122,733,295.75|220,490,709.64
偿还债务支付的现金|81,890,919.26|147,721,198.06
分配股利、利润或偿付利息支付的现金|10,476,358.35|14,029,608.95
其中：子公司支付给少数股东的股利、利润||
支付其他与筹资活动有关的现金|55,114,530.81|132,332,748.00
page|106
筹资活动现金流出小计|147,481,808.42|294,083,555.01
筹资活动产生的现金流量净额|-24,748,512.67|-73,592,845.37
四、汇率变动对现金及现金等价物的影响|88,980.98|2,712.21
五、现金及现金等价物净增加额|3,785,379.70|-120,584,113.94
加：期初现金及现金等价物余额|12,515,860.12|133,099,974.06
六、期末现金及现金等价物余额|16,301,239.82|12,515,860.12
