page|100
项目|附注|2020 年度|2019 年度
一、营业总收入||3,521,416,459.53|3,608,057,401.56
其中：营业收入|七、61|3,521,416,459.53|3,608,057,401.56
利息收入|||
已赚保费|||
手续费及佣金收入|||
二、营业总成本||3,274,552,207.77|3,241,350,727.38
其中：营业成本|七、61|2,635,104,117.86|2,559,741,245.84
利息支出|||
手续费及佣金支出|||
退保金|||
赔付支出净额|||
提取保险责任准备金净额|||
保单红利支出|||
分保费用|||
税金及附加|七、62|28,740,441.45|24,396,617.05
销售费用|七、63|170,904,798.95|228,884,478.74
管理费用|七、64|207,971,169.93|221,573,626.59
研发费用|七、65|206,683,104.37|203,966,478.24
财务费用|七、66|25,148,575.21|2,788,280.92
其中：利息费用||16,730,272.18|12,316,257.79
利息收入||23,319,831.79|6,446,699.71
加：其他收益|七、67|76,156,764.15|72,030,262.19
投资收益（损失以“－”号填列）|七、68|9,550,881.40|26,936,814.52
其中：对联营企业和合营企业的投资收益|||
以摊余成本计量的金融资产终止确认收益|||
汇兑收益（损失以“－”号填列）|||
净敞口套期收益（损失以“-”号填列）|||
公允价值变动收益（损失以“－”号填列）|七、70|102,437,284.53|-33,784,484.39
信用减值损失（损失以“-”号填列）|七、71|-6,190,526.96|-2,628,389.00
资产减值损失（损失以“-”号填列）|七、72|-72,950,009.45|-71,574,717.88
资产处置收益（损失以“－”号填列）|七、73|-1,134,121.38|-1,069,571.75
三、营业利润（亏损以“－”号填列）||354,734,524.05|356,616,587.87
加：营业外收入|七、74|1,701,505.99|1,764,430.88
page|101
减：营业外支出|七、75|3,899,716.44|14,009,338.32
四、利润总额（亏损总额以“－”号填列）||352,536,313.60|344,371,680.43
减：所得税费用|七、76|37,117,366.84|38,818,977.12
五、净利润（净亏损以“－”号填列）||315,418,946.76|305,552,703.31
（一）按经营持续性分类|||
1.持续经营净利润（净亏损以“－”号填列）||315,418,946.76|305,552,703.31
2.终止经营净利润（净亏损以“－”号填列）|||
（二）按所有权归属分类|||
1.归属于母公司股东的净利润（净亏损以“-”号填列）||313,703,612.57|301,438,637.34
2.少数股东损益（净亏损以“-”号填列）||1,715,334.19|4,114,065.97
六、其他综合收益的税后净额||1,131,131.58|984,521.39
（一）归属母公司所有者的其他综合收益的税后净额|七、77|813,061.64|740,626.09
1．不能重分类进损益的其他综合收益|||
（1）重新计量设定受益计划变动额|||
（2）权益法下不能转损益的其他综合收益|||
（3）其他权益工具投资公允价值变动|||
（4）企业自身信用风险公允价值变动|||
2．将重分类进损益的其他综合收益||813,061.64|740,626.09
（1）权益法下可转损益的其他综合收益|||
（2）其他债权投资公允价值变动|||
（3）金融资产重分类计入其他综合收益的金额|||
（4）其他债权投资信用减值准备|||
（5）现金流量套期储备|||
（6）外币财务报表折算差额||813,061.64|740,626.09
（7）其他|||
（二）归属于少数股东的其他综合收益的税后净额||318,069.94|243,895.30
七、综合收益总额||316,550,078.34|306,537,224.70
（一）归属于母公司所有者的综合收益总额||314,516,674.21|302,179,263.43
（二）归属于少数股东的综合收益总额||2,033,404.13|4,357,961.27
八、每股收益：|||
（一）基本每股收益(元/股)||0.71|0.68
（二）稀释每股收益(元/股)||0.71|0.68
