page|74
项目|2020 年 12 月 31 日|2019 年 12 月 31 日
流动资产：||
货币资金|64,395,548.18|208,832,367.60
结算备付金||
拆出资金||
交易性金融资产||60,000,000.00
衍生金融资产||
应收票据|506,296.43|8,013,446.94
应收账款|641,855,023.98|807,356,975.00
应收款项融资|41,988,829.68|
page|75
预付款项|71,979,545.82|76,192,984.89
应收保费||
应收分保账款||
应收分保合同准备金||
其他应收款|12,303,349.31|21,086,113.50
其中：应收利息||
应收股利|45.03|477,376.37
买入返售金融资产||
存货|675,221,177.15|743,544,112.20
合同资产||
持有待售资产||
一年内到期的非流动资产||
其他流动资产|35,994,993.53|54,620,250.01
流动资产合计|1,544,244,764.08|1,979,646,250.14
非流动资产：||
发放贷款和垫款||
债权投资||
其他债权投资||
长期应收款||
长期股权投资|206,619,136.11|214,654,484.27
其他权益工具投资|65,890,514.00|137,066,879.80
其他非流动金融资产||
投资性房地产|227,230.82|240,363.50
固定资产|417,124,545.81|329,662,960.49
在建工程|3,590,627.85|70,870,434.20
生产性生物资产||
油气资产||
使用权资产||
无形资产|48,213,623.12|85,599,645.06
开发支出||
商誉|119,127,330.22|388,799,621.35
长期待摊费用|3,317,060.20|3,884,633.58
递延所得税资产|97,847,517.42|61,246,863.23
其他非流动资产|38,293,433.63|64,410,505.65
page|76
非流动资产合计|1,000,251,019.18|1,356,436,391.13
资产总计|2,544,495,783.26|3,336,082,641.27
流动负债：||
短期借款|449,050,000.00|235,010,000.00
向中央银行借款||
拆入资金||
交易性金融负债||
衍生金融负债||
应付票据|170,622,562.66|609,469,900.36
应付账款|662,540,725.18|504,336,040.29
预收款项||252,072,164.65
合同负债|353,078,851.25|
卖出回购金融资产款||
吸收存款及同业存放||
代理买卖证券款||
代理承销证券款||
应付职工薪酬|30,385,828.53|18,538,139.86
应交税费|3,643,572.39|4,567,160.09
其他应付款|56,735,430.95|20,872,093.22
其中：应付利息|408,855.55|237,808.22
应付股利||
应付手续费及佣金||
应付分保账款||
持有待售负债||
一年内到期的非流动负债|67,202,375.38|97,742,706.45
其他流动负债|24,302,703.56|
流动负债合计|1,817,562,049.90|1,742,608,204.92
非流动负债：||
保险合同准备金||
长期借款||80,000,000.00
应付债券||
其中：优先股||
永续债||
租赁负债||
page|77
长期应付款||29,233,607.00
长期应付职工薪酬|1,655,563.87|1,858,452.33
预计负债||
递延收益|29,982,176.56|31,524,515.06
递延所得税负债||
其他非流动负债|206,603.77|
非流动负债合计|31,844,344.20|142,616,574.39
负债合计|1,849,406,394.10|1,885,224,779.31
所有者权益：||
股本|212,144,720.00|212,144,720.00
其他权益工具||
其中：优先股||
永续债||
资本公积|869,550,616.13|869,550,616.13
减：库存股||
其他综合收益|412,117.40|-4,854,239.67
专项储备||
盈余公积|30,441,145.96|30,441,145.96
一般风险准备||
未分配利润|-418,940,785.93|341,967,454.42
归属于母公司所有者权益合计|693,607,813.56|1,449,249,696.84
少数股东权益|1,481,575.60|1,608,165.12
所有者权益合计|695,089,389.16|1,450,857,861.96
负债和所有者权益总计|2,544,495,783.26|3,336,082,641.27
