page|80
项目|2020 年度|2019 年度
一、营业总收入|1,646,469,671.19|1,839,913,629.72
其中：营业收入|1,646,469,671.19|1,839,913,629.72
利息收入||
已赚保费||
手续费及佣金收入||
二、营业总成本|1,905,548,468.12|1,821,400,910.52
其中：营业成本|1,600,154,027.82|1,529,928,001.35
利息支出||
手续费及佣金支出||
退保金||
赔付支出净额||
提取保险责任合同准备金净额||
保单红利支出||
分保费用||
税金及附加|2,789,617.03|5,527,412.91
销售费用|44,805,919.70|48,120,938.03
管理费用|111,579,582.64|79,478,475.58
研发费用|111,192,552.87|102,343,705.65
财务费用|35,026,768.06|56,002,377.00
其中：利息费用|32,964,419.08|52,846,300.93
page|81
利息收入|2,547,756.23|3,719,826.50
加：其他收益|27,523,084.53|30,197,872.39
投资收益（损失以“－”号填列）|5,964,818.24|-7,839,529.47
其中：对联营企业和合营企业的投资收益|-4,862,364.20|-7,967,376.14
以摊余成本计量的金融资产终止确认收益||
汇兑收益（损失以“-”号填列）||
净敞口套期收益（损失以“－”号填列）||
公允价值变动收益（损失以“－”号填列）||
信用减值损失（损失以“-”号填列）|-175,633,954.55|-18,687,511.00
资产减值损失（损失以“-”号填列）|-379,533,314.98|4,255,219.01
资产处置收益（损失以“-”号填列）|23,444.05|
三、营业利润（亏损以“－”号填列）|-780,734,719.64|26,438,770.13
加：营业外收入|3,127,939.81|1,345,201.25
减：营业外支出|2,741,527.36|3,725,594.93
四、利润总额（亏损总额以“－”号填列）|-780,348,307.19|24,058,376.45
减：所得税费用|-35,756,542.77|-5,989,206.91
五、净利润（净亏损以“－”号填列）|-744,591,764.42|30,047,583.36
（一）按经营持续性分类||
1.持续经营净利润（净亏损以“－”号填列）|-744,591,764.42|30,047,583.36
2.终止经营净利润（净亏损以“－”号填列）||
（二）按所有权归属分类||
1.归属于母公司股东的净利润|-744,955,174.90|30,433,054.17
2.少数股东损益|363,410.48|-385,470.81
六、其他综合收益的税后净额|5,266,357.07|6,960,097.30
归属母公司所有者的其他综合收益的税后净额|5,266,357.07|6,960,097.30
（一）不能重分类进损益的其他综|5,266,357.07|6,960,097.30
page|82
合收益||
1.重新计量设定受益计划变动额||
2.权益法下不能转损益的其他综合收益||
3.其他权益工具投资公允价值变动|5,266,357.07|6,960,097.30
4.企业自身信用风险公允价值变动||
5.其他||
（二）将重分类进损益的其他综合收益||
1.权益法下可转损益的其他综合收益||
2.其他债权投资公允价值变动||
3.金融资产重分类计入其他综合收益的金额||
4.其他债权投资信用减值准备||
5.现金流量套期储备||
6.外币财务报表折算差额||
7.其他||
归属于少数股东的其他综合收益的税后净额||
七、综合收益总额|-739,325,407.35|37,007,680.66
归属于母公司所有者的综合收益总额|-739,688,817.83|37,393,151.47
归属于少数股东的综合收益总额|363,410.48|-385,470.81
八、每股收益：||
（一）基本每股收益|-3.5115|0.1435
（二）稀释每股收益|-3.5115|0.1435
