page|110
项目|2020 年度|2019 年度
一、经营活动产生的现金流量：||
销售商品、提供劳务收到的现金|838,395,327.60|723,054,915.93
客户存款和同业存放款项净增加额||
向中央银行借款净增加额||
向其他金融机构拆入资金净增加额||
收到原保险合同保费取得的现金||
收到再保业务现金净额||
保户储金及投资款净增加额||
收取利息、手续费及佣金的现金||
拆入资金净增加额||
回购业务资金净增加额||
代理买卖证券收到的现金净额||
收到的税费返还||
收到其他与经营活动有关的现金|37,365,926.54|36,359,853.85
经营活动现金流入小计|875,761,254.14|759,414,769.78
购买商品、接受劳务支付的现金|756,836,691.23|544,171,062.96
page|111
客户贷款及垫款净增加额||
存放中央银行和同业款项净增加额||
支付原保险合同赔付款项的现金||
拆出资金净增加额||
支付利息、手续费及佣金的现金||
支付保单红利的现金||
支付给职工以及为职工支付的现金|41,458,704.85|29,183,816.82
支付的各项税费|24,195,289.63|7,013,836.24
支付其他与经营活动有关的现金|40,810,417.77|51,307,501.34
经营活动现金流出小计|863,301,103.48|631,676,217.36
经营活动产生的现金流量净额|12,460,150.66|127,738,552.42
二、投资活动产生的现金流量：||
收回投资收到的现金||
取得投资收益收到的现金||
处置固定资产、无形资产和其他长期资产收回的现金净额|108,575.01|1,972.87
处置子公司及其他营业单位收到的现金净额||
收到其他与投资活动有关的现金||
投资活动现金流入小计|108,575.01|1,972.87
购建固定资产、无形资产和其他长期资产支付的现金|30,461,005.26|45,028,715.27
投资支付的现金||
质押贷款净增加额||
取得子公司及其他营业单位支付的现金净额||
支付其他与投资活动有关的现金||
投资活动现金流出小计|30,461,005.26|45,028,715.27
投资活动产生的现金流量净额|-30,352,430.25|-45,026,742.40
三、筹资活动产生的现金流量：||
吸收投资收到的现金|245,000,000.00|
其中：子公司吸收少数股东投资收到的现金||
取得借款收到的现金|40,000,000.00|10,000,000.00
page|112
收到其他与筹资活动有关的现金|19,339,688.85|40,255,997.81
筹资活动现金流入小计|304,339,688.85|50,255,997.81
偿还债务支付的现金|10,000,000.00|40,000,000.00
分配股利、利润或偿付利息支付的现金|3,560,488.02|4,235,682.48
其中：子公司支付给少数股东的股利、利润||
支付其他与筹资活动有关的现金|45,124,018.99|34,068,487.80
筹资活动现金流出小计|58,684,507.01|78,304,170.28
筹资活动产生的现金流量净额|245,655,181.84|-28,048,172.47
四、汇率变动对现金及现金等价物的影响||
五、现金及现金等价物净增加额|227,762,902.25|54,663,637.55
加：期初现金及现金等价物余额|118,130,419.00|63,466,781.45
六、期末现金及现金等价物余额|345,893,321.25|118,130,419.00
