page|69
项目|2020 年 12 月 31 日|2019 年 12 月 31 日
流动资产：||
货币资金|192,291,295.11|270,891,724.52
结算备付金||
拆出资金||
交易性金融资产||
衍生金融资产||
应收票据|131,045,931.08|107,921,590.94
page|70
应收账款|466,483,866.08|459,174,260.21
应收款项融资||
预付款项|12,822,256.74|3,266,719.68
应收保费||
应收分保账款||
应收分保合同准备金||
其他应收款|62,553,086.90|64,387,460.32
其中：应收利息||
应收股利||
买入返售金融资产||
存货|200,064,160.84|174,309,016.90
合同资产||
持有待售资产||
一年内到期的非流动资产||
其他流动资产|6,439,689.69|2,827,323.27
流动资产合计|1,071,700,286.44|1,082,778,095.84
非流动资产：||
发放贷款和垫款||
债权投资||
其他债权投资||
长期应收款||
长期股权投资|187,381,116.81|179,601,655.19
其他权益工具投资|7,336,403.80|9,307,032.20
其他非流动金融资产||
投资性房地产|102,972,987.16|88,405,749.07
固定资产|523,734,938.62|482,184,147.69
在建工程|161,673,017.31|106,997,008.52
生产性生物资产||
油气资产||
使用权资产||
无形资产|65,494,835.25|69,997,294.26
开发支出||
商誉||
长期待摊费用|16,543,357.13|11,675,592.22
page|71
递延所得税资产|66,220,273.50|58,071,706.48
其他非流动资产|33,021,348.65|38,442,612.37
非流动资产合计|1,164,378,278.23|1,044,682,798.00
资产总计|2,236,078,564.67|2,127,460,893.84
流动负债：||
短期借款|128,814,444.46|61,000,000.00
向中央银行借款||
拆入资金||
交易性金融负债||
衍生金融负债||
应付票据|100,230,491.54|300,748,548.03
应付账款|355,109,356.51|361,601,415.79
预收款项|585,866.50|6,816,301.81
合同负债|6,355,278.18|
卖出回购金融资产款||
吸收存款及同业存放||
代理买卖证券款||
代理承销证券款||
应付职工薪酬|33,492,141.95|31,452,632.16
应交税费|7,177,908.76|7,095,161.19
其他应付款|26,020,767.32|19,470,917.89
其中：应付利息||176,757.30
应付股利||
应付手续费及佣金||
应付分保账款||
持有待售负债||
一年内到期的非流动负债|30,737,610.24|
其他流动负债|157,328,064.26|
流动负债合计|845,851,929.72|788,184,976.87
非流动负债：||
保险合同准备金||
长期借款|96,916,820.27|82,850,280.00
应付债券||
其中：优先股||
page|72
永续债||
租赁负债||
长期应付款|614,675.91|
长期应付职工薪酬||
预计负债||
递延收益|41,719,991.31|59,632,400.78
递延所得税负债||107,441.10
其他非流动负债||
非流动负债合计|139,251,487.49|142,590,121.88
负债合计|985,103,417.21|930,775,098.75
所有者权益：||
股本|535,794,963.00|534,744,963.00
其他权益工具||
其中：优先股||
永续债||
资本公积|359,707,333.84|350,061,854.16
减：库存股|4,200,000.00|
其他综合收益|-3,405,036.57|-3,362,437.63
专项储备||
盈余公积|31,657,610.03|31,657,610.03
一般风险准备||
未分配利润|326,589,981.71|278,437,858.39
归属于母公司所有者权益合计|1,246,144,852.01|1,191,539,847.95
少数股东权益|4,830,295.45|5,145,947.14
所有者权益合计|1,250,975,147.46|1,196,685,795.09
负债和所有者权益总计|2,236,078,564.67|2,127,460,893.84
