page|87
项目|2020 年 12 月 31 日|2019 年 12 月 31 日
流动资产：||
货币资金|505,751,254.80|1,380,003,415.92
结算备付金||
拆出资金||
交易性金融资产||
衍生金融资产||
应收票据|725,000.00|300,000.00
应收账款|2,308,657,385.74|4,072,938,447.14
应收款项融资||
预付款项|15,075,208.12|38,115,486.64
应收保费||
应收分保账款||
应收分保合同准备金||
其他应收款|403,941,486.51|131,363,149.65
其中：应收利息||
应收股利|11,250,000.00|
买入返售金融资产||
存货|143,829,835.87|807,697,466.42
合同资产|1,240,582,570.41|
持有待售资产||
一年内到期的非流动资产|350,253,859.67|211,023,938.53
其他流动资产|436,311,940.76|433,729,779.77
流动资产合计|5,405,128,541.88|7,075,171,684.07
非流动资产：||
发放贷款和垫款||
债权投资||
其他债权投资||
长期应收款|6,278,660,741.89|6,746,356,292.50
长期股权投资|796,787,471.98|541,710,276.74
其他权益工具投资|333,800,635.58|309,187,711.96
其他非流动金融资产|33,450,000.00|90,450,000.00
page|88
投资性房地产|21,997,157.22|26,633,351.62
固定资产|452,142,879.77|452,520,492.74
在建工程|7,984,241.64|24,051,103.86
生产性生物资产|1,147,768.71|1,622,707.47
油气资产||
使用权资产||
无形资产|1,638,170,601.31|509,099,375.10
开发支出||
商誉|9,592,964.45|99,738,207.20
长期待摊费用|51,063,628.46|74,864,124.75
递延所得税资产|99,218,999.24|160,392,898.99
其他非流动资产|86,934,716.02|71,451,098.13
非流动资产合计|9,810,951,806.27|9,108,077,641.06
资产总计|15,216,080,348.15|16,183,249,325.13
流动负债：||
短期借款|1,287,769,388.16|1,435,292,131.18
向中央银行借款||
拆入资金||
交易性金融负债||
衍生金融负债||
应付票据|66,438,365.70|109,103,175.73
应付账款|2,415,043,839.12|3,187,674,795.68
预收款项||56,808,976.23
合同负债|80,405,225.38|
卖出回购金融资产款||
吸收存款及同业存放||
代理买卖证券款||
代理承销证券款||
应付职工薪酬|23,466,629.42|33,839,727.60
应交税费|48,410,333.06|32,806,300.58
其他应付款|134,516,560.22|393,016,608.80
其中：应付利息||
应付股利||7,043,156.97
应付手续费及佣金||
应付分保账款||
持有待售负债||
page|89
一年内到期的非流动负债|1,545,825,417.84|1,423,001,883.31
其他流动负债|361,323,833.79|520,876,639.21
流动负债合计|5,963,199,592.69|7,192,420,238.32
非流动负债：||
保险合同准备金||
长期借款|3,252,729,404.76|3,235,362,229.56
应付债券||
其中：优先股||
永续债||
租赁负债||
长期应付款|4,610,317.60|4,868,016.72
长期应付职工薪酬||
预计负债||
递延收益|65,384,788.59|71,038,321.44
递延所得税负债||
其他非流动负债|436,461,987.20|331,813,877.23
非流动负债合计|3,759,186,498.15|3,643,082,444.95
负债合计|9,722,386,090.84|10,835,502,683.27
所有者权益：||
股本|1,604,242,081.00|1,604,242,081.00
其他权益工具|789,481,132.10|789,481,132.10
其中：优先股|789,481,132.10|789,481,132.10
永续债||
资本公积|281,775,884.91|280,750,966.07
减：库存股||
其他综合收益|-33,109,630.19|-29,686,318.00
专项储备||
盈余公积|474,453,939.46|427,620,993.78
一般风险准备||
未分配利润|1,699,265,477.50|1,383,428,302.45
归属于母公司所有者权益合计|4,816,108,884.78|4,455,837,157.40
少数股东权益|677,585,372.53|891,909,484.46
所有者权益合计|5,493,694,257.31|5,347,746,641.86
负债和所有者权益总计|15,216,080,348.15|16,183,249,325.13
