page|101
项目|2020 年 12 月 31 日|2019 年 12 月 31 日
流动资产：||
货币资金|203,472,997.00|128,878,593.62
结算备付金||
拆出资金||
交易性金融资产|32,961,717.12|
衍生金融资产||
应收票据||2,014,000.00
应收账款|183,900,644.60|116,796,454.65
应收款项融资|6,300,000.00|4,906,900.00
预付款项|47,337,080.28|31,708,510.72
应收保费||
应收分保账款||
应收分保合同准备金||
其他应收款|9,791,022.35|5,539,651.34
其中：应收利息||
应收股利||
买入返售金融资产||
存货|735,572,024.63|654,914,201.86
合同资产||
持有待售资产||
一年内到期的非流动资产|40,931,242.88|
其他流动资产|33,755,003.09|241,542,842.74
流动资产合计|1,294,021,731.95|1,186,301,154.93
非流动资产：||
发放贷款和垫款||
债权投资||
page|102
其他债权投资||
长期应收款|25,701,700.95|
长期股权投资|35,745,660.56|36,814,912.87
其他权益工具投资||
其他非流动金融资产||
投资性房地产|1,111,499.51|1,233,588.22
固定资产|368,386,683.29|356,524,054.26
在建工程|97,470,341.12|13,515,956.62
生产性生物资产||
油气资产||
使用权资产||
无形资产|102,202,226.73|102,240,961.24
开发支出||
商誉|342,788,833.46|373,412,152.54
长期待摊费用|2,153,465.31|
递延所得税资产|16,852,022.93|8,574,928.68
其他非流动资产|45,036,831.96|8,214,068.15
非流动资产合计|1,037,449,265.82|900,530,622.58
资产总计|2,331,470,997.77|2,086,831,777.51
流动负债：||
短期借款|75,607,674.70|
向中央银行借款||
拆入资金||
交易性金融负债|23,802,520.77|116,370,684.00
衍生金融负债||
应付票据|27,487,073.04|21,722,736.32
应付账款|238,140,025.56|96,181,229.44
预收款项||29,502,199.49
合同负债|28,765,526.46|
卖出回购金融资产款||
吸收存款及同业存放||
代理买卖证券款||
代理承销证券款||
应付职工薪酬|11,111,888.67|9,599,552.59
page|103
应交税费|17,409,269.51|13,337,105.07
其他应付款|260,606,381.10|275,118,606.66
其中：应付利息|85,191.27|58,997,239.65
应付股利||
应付手续费及佣金||
应付分保账款||
持有待售负债||
一年内到期的非流动负债|73,352,617.86|35,125,000.00
其他流动负债|3,483,452.44|
流动负债合计|759,766,430.11|596,957,113.57
非流动负债：||
保险合同准备金||
长期借款|190,745,000.00|231,825,000.00
应付债券||
其中：优先股||
永续债||
租赁负债||
长期应付款|4,125,234.63|
长期应付职工薪酬||
预计负债|1,144,818.15|
递延收益|12,901,000.00|23,188,000.00
递延所得税负债|30,679,722.74|15,010,408.77
其他非流动负债|483,877.72|
非流动负债合计|240,079,653.24|270,023,408.77
负债合计|999,846,083.35|866,980,522.34
所有者权益：||
股本|317,601,000.00|317,601,000.00
其他权益工具||
其中：优先股||
永续债||
资本公积|250,853,975.75|232,621,198.45
减：库存股||
其他综合收益|-6,138.34|-678,840.18
专项储备|2,736,604.07|2,059,597.80
page|104
盈余公积|55,817,951.98|49,993,725.16
一般风险准备||
未分配利润|431,445,966.10|373,523,524.53
归属于母公司所有者权益合计|1,058,449,359.56|975,120,205.76
少数股东权益|273,175,554.86|244,731,049.41
所有者权益合计|1,331,624,914.42|1,219,851,255.17
负债和所有者权益总计|2,331,470,997.77|2,086,831,777.51
