page|115
项目|2020 年度|2019 年度
一、营业总收入|909,566,133.16|662,029,241.06
其中：营业收入|909,566,133.16|662,029,241.06
利息收入||
已赚保费||
手续费及佣金收入||
page|116
二、营业总成本|746,909,553.18|543,838,332.96
其中：营业成本|297,164,182.85|188,199,220.45
利息支出||
手续费及佣金支出||
退保金||
赔付支出净额||
提取保险责任合同准备金净额||
保单红利支出||
分保费用||
税金及附加|6,267,863.80|9,807,274.57
销售费用|204,274,725.41|150,446,942.46
管理费用|112,315,505.39|83,859,750.30
研发费用|123,070,060.91|107,483,859.00
财务费用|3,817,214.82|4,041,286.18
其中：利息费用|6,959,501.35|4,974,221.04
利息收入|4,622,363.62|669,497.42
加：其他收益|12,892,024.24|8,466,677.64
投资收益（损失以“－”号填列）|5,111,544.23|5,099,309.22
其中：对联营企业和合营企业的投资收益|1,403.53|
以摊余成本计量的金融资产终止确认收益||
汇兑收益（损失以“-”号填列）||
净敞口套期收益（损失以“－”号填列）||
公允价值变动收益（损失以“－”号填列）|-32,480.80|403,400.30
信用减值损失（损失以“-”号填列）|-3,122,046.93|-2,381,895.27
资产减值损失（损失以“-”号填列）||
资产处置收益（损失以“-”号填列）|183,100.94|-2,230.35
三、营业利润（亏损以“－”号填列）|177,688,721.66|129,776,169.64
加：营业外收入|103,583.72|399,510.53
减：营业外支出|959,547.47|374,426.58
四、利润总额（亏损总额以“－”号填列）|176,832,757.91|129,801,253.59
减：所得税费用|20,046,220.90|10,771,921.42
五、净利润（净亏损以“－”号填列）|156,786,537.01|119,029,332.17
（一）按经营持续性分类||
1.持续经营净利润（净亏损以“－”号填列）|156,786,537.01|119,029,332.17
page|117
2.终止经营净利润（净亏损以“－”号填列）||
（二）按所有权归属分类||
1.归属于母公司股东的净利润|156,786,537.01|119,029,332.17
2.少数股东损益||
六、其他综合收益的税后净额|-130,500.94|7,953.95
归属母公司所有者的其他综合收益的税后净额|-130,500.94|7,953.95
（一）不能重分类进损益的其他综合收益|-90,024.58|
1.重新计量设定受益计划变动额||
2.权益法下不能转损益的其他综合收益||
3.其他权益工具投资公允价值变动|-90,024.58|
4.企业自身信用风险公允价值变动||
5.其他||
（二）将重分类进损益的其他综合收益|-40,476.36|7,953.95
1.权益法下可转损益的其他综合收益||
2.其他债权投资公允价值变动||
3.金融资产重分类计入其他综合收益的金额||
4.其他债权投资信用减值准备||
5.现金流量套期储备||
6.外币财务报表折算差额|-40,476.36|7,953.95
7.其他||
归属于少数股东的其他综合收益的税后净额||
七、综合收益总额|156,656,036.07|119,037,286.12
归属于母公司所有者的综合收益总额|156,656,036.07|119,037,286.12
归属于少数股东的综合收益总额||
八、每股收益：||
（一）基本每股收益|1.95|1.75
（二）稀释每股收益|1.95|1.75
