page|81
项目|附注|2020 年 12 月 31 日|2019 年 12 月 31 日
流动资产：|||
货币资金||1,826,529,174.21|2,623,890,241.25
结算备付金|||
拆出资金|||
交易性金融资产||1,026,532,891.06|51,778,932.64
衍生金融资产|||
应收票据|||
应收账款||65,791,837.00|61,892,154.84
应收款项融资|||
预付款项||43,696,429.62|50,256,726.99
应收保费|||
应收分保账款|||
应收分保合同准备金|||
其他应收款||79,873,346.20|73,272,180.73
其中：应收利息|||
应收股利|||
买入返售金融资产|||
存货||309,852,475.75|317,860,077.47
合同资产|||
持有待售资产|||
一年内到期的非流动资产|||
其他流动资产||23,184,147.21|5,027,377.13
流动资产合计||3,375,460,301.05|3,183,977,691.05
非流动资产：|||
发放贷款和垫款|||
债权投资|||
其他债权投资|||
长期应收款|||
长期股权投资|||
page|82
项目|附注|2020 年 12 月 31 日|2019 年 12 月 31 日
其他权益工具投资|||
其他非流动金融资产|||
投资性房地产|||
固定资产||577,233,227.17|545,930,243.20
在建工程||8,845,335.50|50,239,386.53
生产性生物资产|||
油气资产|||
使用权资产|||
无形资产||33,497,014.99|35,461,878.87
开发支出|||
商誉|||
长期待摊费用||49,679,074.63|59,674,604.00
递延所得税资产||54,064,462.31|49,293,073.14
其他非流动资产|||
非流动资产合计||723,319,114.60|740,599,185.74
资产总计||4,098,779,415.65|3,924,576,876.79
流动负债：|||
短期借款|||
向中央银行借款|||
拆入资金|||
交易性金融负债|||
衍生金融负债|||
应付票据|||
应付账款||104,318,961.45|160,348,546.08
预收款项|||156,319,691.22
合同负债||143,550,941.83|
卖出回购金融资产款|||
吸收存款及同业存放|||
代理买卖证券款|||
代理承销证券款|||
应付职工薪酬||45,156,914.75|49,873,349.56
应交税费||165,625,902.92|114,933,339.24
其他应付款||84,576,010.69|60,927,326.14
其中：应付利息|||
应付股利|||
应付手续费及佣金|||
应付分保账款|||
持有待售负债|||
一年内到期的非流动负债|||
其他流动负债||92,797,946.80|48,229,062.06
page|83
项目|附注|2020 年 12 月 31 日|2019 年 12 月 31 日
流动负债合计||636,026,678.44|590,631,314.30
非流动负债：|||
保险合同准备金|||
长期借款|||
应付债券|||
其中：优先股|||
永续债|||
租赁负债|||
长期应付款|||
长期应付职工薪酬|||
预计负债|||
递延收益||18,039,580.07|19,418,401.55
递延所得税负债||4,077,375.66|3,799,649.72
其他非流动负债|||
非流动负债合计||22,116,955.73|23,218,051.27
负债合计||658,143,634.17|613,849,365.57
所有者权益（或股东权益）：|||
实收资本（或股本）||481,200,000.00|401,000,000.00
其他权益工具|||
其中：优先股|||
永续债|||
资本公积||1,508,776,451.55|1,588,976,451.55
减：库存股||100,613,252.40|
其他综合收益||783,732.09|-880,276.23
专项储备|||
盈余公积||240,600,000.00|207,649,055.75
一般风险准备|||
未分配利润||1,308,374,560.07|1,112,468,272.47
归属于母公司所有者权益（或股东权益）合计||3,439,121,491.31|3,309,213,503.54
少数股东权益||1,514,290.17|1,514,007.68
所有者权益（或股东权益）合计||3,440,635,781.48|3,310,727,511.22
负债和所有者权益（或股东权益）总计||4,098,779,415.65|3,924,576,876.79
