page|66
项目|附注|2020年度|2019年度
一、经营活动产生的现金流量：|||
销售商品、提供劳务收到的现金||3,948,778,378.41|3,351,794,166.18
客户存款和同业存放款项净增加额|||
向中央银行借款净增加额|||
向其他金融机构拆入资金净增加额|||
收到原保险合同保费取得的现金|||
收到再保业务现金净额|||
保户储金及投资款净增加额|||
收取利息、手续费及佣金的现金|||
拆入资金净增加额|||
回购业务资金净增加额|||
代理买卖证券收到的现金净额|||
收到的税费返还||1,635,059.00|7,616,207.33
收到其他与经营活动有关的现金|七、78|13,552,290.02|8,932,536.22
经营活动现金流入小计||3,963,965,727.43|3,368,342,909.73
购买商品、接受劳务支付的现金||4,008,641,677.25|3,196,754,943.71
客户贷款及垫款净增加额|||
存放中央银行和同业款项净增加额|||
支付原保险合同赔付款项的现金|||
拆出资金净增加额|||
page|67
支付利息、手续费及佣金的现金|||
支付保单红利的现金|||
支付给职工及为职工支付的现金||58,144,063.30|50,948,812.33
支付的各项税费||56,336,602.49|43,415,501.81
支付其他与经营活动有关的现金|七、78|59,546,024.76|54,642,946.10
经营活动现金流出小计||4,182,668,367.80|3,345,762,203.95
经营活动产生的现金流量净额||-218,702,640.37|22,580,705.78
二、投资活动产生的现金流量：|||
收回投资收到的现金|||
取得投资收益收到的现金|||
处置固定资产、无形资产和其他长期资产收回的现金净额||2,000.00|193,743.37
处置子公司及其他营业单位收到的现金净额|||
收到其他与投资活动有关的现金|七、78|2,172,702.54|4,449,247.94
投资活动现金流入小计||2,174,702.54|4,642,991.31
购建固定资产、无形资产和其他长期资产支付的现金||82,981,615.81|97,067,265.13
投资支付的现金||10,000,000.00|400,000.00
质押贷款净增加额|||
取得子公司及其他营业单位支付的现金净额|七、79|1,556,169.62|
支付其他与投资活动有关的现金|||
投资活动现金流出小计||94,537,785.43|97,467,265.13
投资活动产生的现金流量净额||-92,363,082.89|-92,824,273.82
三、筹资活动产生的现金流量：|||
吸收投资收到的现金|||
其中：子公司吸收少数股东投资收到的现金|||
取得借款收到的现金||460,000,000.00|320,000,000.00
收到其他与筹资活动有关的现金|||
筹资活动现金流入小计||460,000,000.00|320,000,000.00
偿还债务支付的现金||275,000,000.00|305,000,000.00
分配股利、利润或偿付利息支付的现金||48,014,558.06|42,831,404.20
其中：子公司支付给少数股东的股利、利润|||
支付其他与筹资活动有关的现金|||
筹资活动现金流出小计||323,014,558.06|347,831,404.20
筹资活动产生的现金流||136,985,441.94|-27,831,404.20
page|68
量净额|||
四、汇率变动对现金及现金等价物的影响||-1,273,918.37|1,185,231.45
五、现金及现金等价物净增加额  七、79||-175,354,199.69|-96,889,740.79
加：期初现金及现金等价物余额|七、79|288,357,941.26|385,247,682.05
六、期末现金及现金等价物余额  七、79||113,003,741.57|288,357,941.26
