page|52
项目|2020 年 12 月 31 日|2019 年 12 月 31 日
流动资产：||
货币资金|68,209,577,022.61|63,238,825,723.79
结算备付金||
拆出资金||
交易性金融资产||
衍生金融资产||
应收票据|18,568,421,154.30|14,643,149,595.72
应收账款|41,496,170.35|134,449,693.03
应收款项融资|2,024,442,016.72|3,450,166,659.06
预付款项|247,259,080.42|231,909,140.09
应收保费||
应收分保账款||
应收分保合同准备金||
其他应收款|36,199,607.12|1,248,644,572.40
其中：应收利息||1,215,275,214.91
应收股利||
买入返售金融资产||
存货|13,228,273,631.45|13,679,619,615.41
合同资产||
持有待售资产||
一年内到期的非流动资产||
其他流动资产||
流动资产合计|102,355,668,682.97|96,626,764,999.50
非流动资产：||
发放贷款和垫款||
债权投资||
其他债权投资||
长期应收款||
长期股权投资|1,849,977,103.30|1,021,778,731.59
page|53
其他权益工具投资||
其他非流动金融资产|1,200,000.00|1,200,000.00
投资性房地产||
固定资产|5,866,880,860.03|6,108,745,912.72
在建工程|1,482,098,184.64|812,428,248.30
生产性生物资产||
油气资产||
使用权资产||
无形资产|433,611,890.55|410,155,227.81
开发支出||
商誉|1,621,619.53|1,621,619.53
长期待摊费用|122,881,072.66|91,601,331.96
递延所得税资产|1,486,071,579.95|1,157,391,979.00
其他非流动资产|293,128,020.09|165,284,283.25
非流动资产合计|11,537,470,330.75|9,770,207,334.16
资产总计|113,893,139,013.72|106,396,972,333.66
流动负债：||
短期借款||
向中央银行借款||
拆入资金||
交易性金融负债||
衍生金融负债||
应付票据|763,628,891.84|419,485,425.61
应付账款|3,382,875,146.71|3,257,672,975.56
预收款项|23,949,793.92|12,530,706,854.77
合同负债|8,618,543,467.25|
卖出回购金融资产款||
吸收存款及同业存放||
代理买卖证券款||
代理承销证券款||
应付职工薪酬|3,629,524,988.52|3,594,886,729.81
应交税费|5,542,200,330.67|7,939,166,588.84
其他应付款|2,800,763,582.13|2,292,680,733.51
其中：应付利息||
page|54
应付股利|37,918,093.23|
应付手续费及佣金||
应付分保账款||
持有待售负债||
一年内到期的非流动负债||
其他流动负债|1,117,452,799.61|
流动负债合计|25,878,939,000.65|30,034,599,308.10
非流动负债：||
保险合同准备金||
长期借款||
应付债券||
其中：优先股||
永续债||
租赁负债||
长期应付款||
长期应付职工薪酬||
预计负债||
递延收益|255,953,368.36|266,325,368.40
递延所得税负债||
其他非流动负债||
非流动负债合计|255,953,368.36|266,325,368.40
负债合计|26,134,892,369.01|30,300,924,676.50
所有者权益：||
股本|3,881,608,005.00|3,881,608,005.00
其他权益工具||
其中：优先股||
永续债||
资本公积|2,682,647,086.15|2,682,647,086.15
减：库存股||
其他综合收益||
专项储备||
盈余公积|19,698,525,995.51|16,092,197,023.01
一般风险准备||
未分配利润|59,443,191,559.08|51,634,248,548.06
page|55
归属于母公司所有者权益合计|85,705,972,645.74|74,290,700,662.22
少数股东权益|2,052,273,998.97|1,805,346,994.94
所有者权益合计|87,758,246,644.71|76,096,047,657.16
负债和所有者权益总计|113,893,139,013.72|106,396,972,333.66
