page|51
项目|附注|2020 年 12 月 31 日|2019 年 12 月 31 日
流动资产：|||
货币资金|七、1|2,168,518,918.44|1,256,763,100.71
结算备付金|||
拆出资金|||
交易性金融资产|七、2|2,949,562,162.69|1,772,631,270.77
衍生金融资产|||
应收票据|七、4|1,033,187,838.05|792,450,098.18
应收账款|七、5|862,083,647.61|909,684,702.14
应收款项融资|||
预付款项|七、7|31,159,405.93|72,885,030.39
应收保费|||
应收分保账款|||
应收分保合同准备金|||
其他应收款|七、8|2,246,631.55|3,270,394.77
其中：应收利息|||
应收股利|||
买入返售金融资产|||
存货|七、9|1,550,036,241.15|1,503,821,450.92
合同资产|||
持有待售资产|||
一年内到期的非流动资产|||
其他流动资产|七、13|21,796,400.28|29,471,391.65
流动资产合计||8,618,591,245.70|6,340,977,439.53
非流动资产：|||
发放贷款和垫款|||
债权投资|||
其他债权投资|||
长期应收款|||
长期股权投资|||
其他权益工具投资|七、18|1,000,000.00|1,000,000.00
其他非流动金融资产|||
投资性房地产|||
固定资产|七、21|1,877,487,013.59|1,213,579,182.38
在建工程|七、22|417,678,302.83|510,367,119.64
生产性生物资产|||
油气资产|||
使用权资产|||
无形资产|七、26|382,044,213.43|386,104,565.43
开发支出|||
商誉|||
长期待摊费用|七、29|67,185,181.16|81,238,954.18
递延所得税资产|七、30|19,400,165.93|20,977,314.11
page|52
其他非流动资产|七、31|44,628,562.32|
非流动资产合计||2,809,423,439.26|2,213,267,135.74
资产总计||11,428,014,684.96|8,554,244,575.27
流动负债：|||
短期借款|七、32||211,239,250.00
向中央银行借款|||
拆入资金|||
交易性金融负债|||
衍生金融负债|||
应付票据|七、35|1,420,198,394.22|1,176,755,686.97
应付账款|七、36|2,071,637,233.44|1,851,628,598.75
预收款项|七、37||1,925,642.93
合同负债|七、38|25,225,229.97|
卖出回购金融资产款|||
吸收存款及同业存放|||
代理买卖证券款|||
代理承销证券款|||
应付职工薪酬|七、39|156,214,385.40|78,801,961.46
应交税费|七、40|158,208,559.37|69,244,489.99
其他应付款|七、41|7,258,839.84|5,609,990.16
其中：应付利息|||
应付股利|||
应付手续费及佣金|||
应付分保账款|||
持有待售负债|||
一年内到期的非流动负债|||
其他流动负债|七、44|38,545,162.43|24,453,278.62
流动负债合计||3,877,287,804.67|3,419,658,898.88
非流动负债：|||
保险合同准备金|||
长期借款|||
应付债券|七、46|1,322,949,123.44|
其中：优先股|||
永续债|||
租赁负债|||
长期应付款|七、48|226,637,173.23|217,642,998.89
长期应付职工薪酬|||
预计负债|七、50|30,247,920.73|12,297,039.88
递延收益|七、51|12,068,796.53|
递延所得税负债|七、30|39,407,990.25|19,385,760.76
其他非流动负债|||
非流动负债合计||1,631,311,004.18|249,325,799.53
负债合计||5,508,598,808.85|3,668,984,698.41
所有者权益（或股东权益）：|||
实收资本（或股本）|七、53|276,155,232.00|276,155,232.00
其他权益工具|七、54|150,841,343.76|
其中：优先股|||
永续债|||
page|53
资本公积|七、55|2,659,384,213.12|2,659,384,213.12
减：库存股|||
其他综合收益|七、57|1,077,939.62|1,143,684.68
专项储备|||
盈余公积|七、59|179,346,065.82|179,346,065.82
一般风险准备|||
未分配利润|七、60|2,652,611,081.79|1,769,230,681.24
归属于母公司所有者权益（或股东权益）合计||5,919,415,876.11|4,885,259,876.86
少数股东权益|||
所有者权益（或股东权益）合计||5,919,415,876.11|4,885,259,876.86
负债和所有者权益（或股东权益）总计||11,428,014,684.96|8,554,244,575.27
