page|97
项目|附注|2020年度|2019年度
一、经营活动产生的现金流量：|||
销售商品、提供劳务收到的现金||357,530,118.20|372,152,394.00
客户存款和同业存放款项净增加额|||
向中央银行借款净增加额|||
向其他金融机构拆入资金净增加额|||
收到原保险合同保费取得的现金|||
收到再保业务现金净额|||
保户储金及投资款净增加额|||
收取利息、手续费及佣金的现金|||
拆入资金净增加额|||
回购业务资金净增加额|||
代理买卖证券收到的现金净额|||
收到的税费返还||958,934.90|2,037,963.75
收到其他与经营活动有关的现金||9,383,681.95|6,169,417.15
经营活动现金流入小计||367,872,735.05|380,359,774.90
购买商品、接受劳务支付的现金||196,922,938.56|195,884,597.57
客户贷款及垫款净增加额|||
存放中央银行和同业款项净增加额|||
支付原保险合同赔付款项的现金|||
拆出资金净增加额|||
支付利息、手续费及佣金的现金|||
支付保单红利的现金|||
支付给职工及为职工支付的现金||68,562,645.77|67,357,177.18
支付的各项税费||20,388,284.05|21,529,563.60
支付其他与经营活动有关的现金||30,651,578.04|37,132,322.27
经营活动现金流出小计||316,525,446.42|321,903,660.62
page|98
经营活动产生的现金流量净额||51,347,288.63|58,456,114.28
二、投资活动产生的现金流量：|||
收回投资收到的现金||454,500,000.00|1,030,500,000.00
取得投资收益收到的现金||1,959,425.82|4,941,566.57
处置固定资产、无形资产和其他长期资产收回的现金净额||887,159.00|781.99
处置子公司及其他营业单位收到的现金净额|||
收到其他与投资活动有关的现金|||
投资活动现金流入小计||457,346,584.82|1,035,442,348.56
购建固定资产、无形资产和其他长期资产支付的现金||74,301,487.17|65,840,426.24
投资支付的现金||454,500,000.00|1,030,500,000.00
质押贷款净增加额|||
取得子公司及其他营业单位支付的现金净额|||
支付其他与投资活动有关的现金||570,213.23|
投资活动现金流出小计||529,371,700.40|1,096,340,426.24
投资活动产生的现金流量净额||-72,025,115.58|-60,898,077.68
三、筹资活动产生的现金流量：|||
吸收投资收到的现金|||104,000,000.00
其中：子公司吸收少数股东投资收到的现金|||
取得借款收到的现金||7,000,000.00|14,500,000.00
收到其他与筹资活动有关的现金|||
筹资活动现金流入小计||7,000,000.00|118,500,000.00
偿还债务支付的现金||12,000,000.00|14,500,000.00
分配股利、利润或偿付利息支付的现金||221,067.01|20,646,840.12
其中：子公司支付给少数股东的股利、利润|||
支付其他与筹资活动有关的现金||6,172,400.00|
筹资活动现金流出小计||18,393,467.01|35,146,840.12
筹资活动产生的现金流量净额||-11,393,467.01|83,353,159.88
四、汇率变动对现金及现金等价物的影响||-3,367,617.23|327,834.42
五、现金及现金等价物净增加额||-35,438,911.19|81,239,030.90
加：期初现金及现金等价物余额||186,397,798.08|105,158,767.18
六、期末现金及现金等价物余额||150,958,886.89|186,397,798.08
