page|75
项目|附注|2020年度|2019年度
一、经营活动产生的现金流量：|||
销售商品、提供劳务收到的现金||2,131,738,711.25|1,937,183,346.18
客户存款和同业存放款项净增加额|||
向中央银行借款净增加额|||
向其他金融机构拆入资金净增加额|||
收到原保险合同保费取得的现金|||
收到再保业务现金净额|||
保户储金及投资款净增加额|||
page|76
收取利息、手续费及佣金的现金|||
拆入资金净增加额|||
回购业务资金净增加额|||
代理买卖证券收到的现金净额|||
收到的税费返还||4,401,192.88|4,755,976.49
收到其他与经营活动有关的现金||35,770,778.53|28,382,015.32
经营活动现金流入小计||2,171,910,682.66|1,970,321,337.99
购买商品、接受劳务支付的现金||1,184,332,221.85|1,141,230,535.89
客户贷款及垫款净增加额|||
存放中央银行和同业款项净增加额|||
支付原保险合同赔付款项的现金|||
拆出资金净增加额|||
支付利息、手续费及佣金的现金|||
支付保单红利的现金|||
支付给职工及为职工支付的现金||368,188,115.04|355,212,071.56
支付的各项税费||82,869,008.12|93,873,626.38
支付其他与经营活动有关的现金||192,157,313.50|213,401,989.07
经营活动现金流出小计||1,827,546,658.51|1,803,718,222.90
经营活动产生的现金流量净额||344,364,024.15|166,603,115.09
二、投资活动产生的现金流量：|||
收回投资收到的现金||20,467,800.00|38,100,000.00
取得投资收益收到的现金||3,761,746.05|100,120.00
处置固定资产、无形资产和其他长期资产收回的现金净额||1,303,252.60|320,363.79
处置子公司及其他营业单位收到的现金净额|||
收到其他与投资活动有关的现金||930,085,087.52|850,706,372.50
投资活动现金流入小计||955,617,886.17|889,226,856.29
购建固定资产、无形资产和其他长期资产支付的现金||139,591,520.28|115,837,555.79
投资支付的现金||19,850,000.00|44,000,000.00
质押贷款净增加额|||
取得子公司及其他营业单位支付的现金净额||79,042,309.25|19,520,000.00
支付其他与投资活动有关的现金||875,136,381.77|836,000,000.00
投资活动现金流出小计||1,113,620,211.30|1,015,357,555.79
page|77
投资活动产生的现金流量净额||-158,002,325.13|-126,130,699.50
三、筹资活动产生的现金流量：|||
吸收投资收到的现金||29,988,600.32|300,000.00
其中：子公司吸收少数股东投资收到的现金|||300,000.00
取得借款收到的现金||553,269,150.72|924,792,641.51
收到其他与筹资活动有关的现金|||235,292,230.30
筹资活动现金流入小计||583,257,751.04|1,160,384,871.81
偿还债务支付的现金||584,242,079.37|426,500,000.00
分配股利、利润或偿付利息支付的现金||46,121,126.63|46,677,696.60
其中：子公司支付给少数股东的股利、利润||2,634,000.00|
支付其他与筹资活动有关的现金||284,988,757.74|147,962,764.84
筹资活动现金流出小计||915,351,963.74|621,140,461.44
筹资活动产生的现金流量净额||-332,094,212.70|539,244,410.37
四、汇率变动对现金及现金等价物的影响||-3,371,236.96|274,279.30
五、现金及现金等价物净增加额||-149,103,750.64|579,991,105.26
加：期初现金及现金等价物余额||904,995,420.58|325,004,315.32
六、期末现金及现金等价物余额||755,891,669.94|904,995,420.58
