page|80
项目|2020 年 12 月 31 日|2019 年 12 月 31 日
流动资产：||
货币资金|1,678,216,447.32|549,611,771.64
结算备付金||
拆出资金||
交易性金融资产||
衍生金融资产||
应收票据||
应收账款|150,189,981.87|153,923,116.61
应收款项融资||
预付款项|9,548,108.06|17,980,853.60
应收保费||
应收分保账款||
应收分保合同准备金||
其他应收款|66,704,340.13|78,488,687.80
其中：应收利息||11,760,621.53
应收股利||
买入返售金融资产||
存货|664,176,730.14|764,750,039.97
合同资产||
持有待售资产||
一年内到期的非流动资产||
其他流动资产|8,098,085.54|4,508,185.07
流动资产合计|2,576,933,693.06|1,569,262,654.69
非流动资产：||
发放贷款和垫款||
债权投资||
其他债权投资||
长期应收款||
长期股权投资||
其他权益工具投资||
其他非流动金融资产||
投资性房地产||
page|81
固定资产|304,349,493.46|87,696,871.89
在建工程|460,908,647.90|603,608,545.39
生产性生物资产||
油气资产||
使用权资产||
无形资产|92,074,395.73|92,996,486.27
开发支出||
商誉||
长期待摊费用|80,531,056.56|120,566,970.54
递延所得税资产|71,363,092.18|78,932,559.04
其他非流动资产|1,595,314.26|1,619,696.18
非流动资产合计|1,010,822,000.09|985,421,129.31
资产总计|3,587,755,693.15|2,554,683,784.00
流动负债：||
短期借款||
向中央银行借款||
拆入资金||
交易性金融负债||
衍生金融负债||
应付票据|1,537,928.78|2,178,027.38
应付账款|277,575,214.89|223,667,812.25
预收款项||62,905,433.08
合同负债|96,191,898.02|
卖出回购金融资产款||
吸收存款及同业存放||
代理买卖证券款||
代理承销证券款||
应付职工薪酬|136,979,498.93|131,675,810.56
应交税费|33,981,749.96|44,478,092.54
其他应付款|97,039,367.14|107,508,215.37
其中：应付利息||
应付股利||
应付手续费及佣金||
应付分保账款||
page|82
持有待售负债||
一年内到期的非流动负债|5,073.99|1,591,033.72
其他流动负债|22,506,997.66|7,446,924.65
流动负债合计|665,817,729.37|581,451,349.55
非流动负债：||
保险合同准备金||
长期借款||
应付债券||
其中：优先股||
永续债||
租赁负债||
长期应付款|1,365.28|6,440.38
长期应付职工薪酬||
预计负债||
递延收益|2,125,100.00|2,225,100.00
递延所得税负债||
其他非流动负债||
非流动负债合计|2,126,465.28|2,231,540.38
负债合计|667,944,194.65|583,682,889.93
所有者权益：||
股本|426,666,700.00|320,000,000.00
其他权益工具||
其中：优先股||
永续债||
资本公积|1,225,589,283.19|463,382,086.73
减：库存股||
其他综合收益|11,062,494.44|13,378,320.14
专项储备||
盈余公积|198,805,579.11|180,400,327.37
一般风险准备||
未分配利润|1,057,687,441.76|993,840,159.83
归属于母公司所有者权益合计|2,919,811,498.50|1,971,000,894.07
少数股东权益||
所有者权益合计|2,919,811,498.50|1,971,000,894.07
page|83
负债和所有者权益总计|3,587,755,693.15|2,554,683,784.00
