page|74
项目|2020 年 12 月 31 日|2019 年 12 月 31 日
流动资产：||
货币资金|440,830,611.30|373,212,810.77
结算备付金||
拆出资金||
交易性金融资产||
衍生金融资产|8,145,482.54|1,141,867.14
应收票据|27,955,000.00|25,218,116.01
应收账款|321,320,486.85|428,060,595.71
应收款项融资|1,580,000.00|
预付款项|16,703,315.69|24,264,857.53
应收保费||
应收分保账款||
应收分保合同准备金||
其他应收款|17,451,582.62|16,312,814.05
其中：应收利息|361,595.71|582,126.65
应收股利||
买入返售金融资产||
存货|371,772,377.23|514,641,876.57
合同资产|95,349,148.27|0.00
持有待售资产||
一年内到期的非流动资产||
其他流动资产|9,175,153.94|9,896,588.71
流动资产合计|1,310,283,158.44|1,392,749,526.49
非流动资产：||
发放贷款和垫款||
page|75
债权投资||
其他债权投资||
长期应收款||
长期股权投资|7,024,484.78|6,842,589.70
其他权益工具投资||
其他非流动金融资产||
投资性房地产||
固定资产|250,963,677.67|258,807,952.67
在建工程||
生产性生物资产||
油气资产||
使用权资产||
无形资产|326,390,250.98|316,381,257.29
开发支出||
商誉|307,573,899.19|299,544,399.89
长期待摊费用|11,021,479.07|9,773,430.85
递延所得税资产|64,741,887.42|55,802,851.40
其他非流动资产||
非流动资产合计|967,715,679.11|947,152,481.80
资产总计|2,277,998,837.55|2,339,902,008.29
流动负债：||
短期借款|54,336,407.77|63,011,000.00
向中央银行借款||
拆入资金||
交易性金融负债||
衍生金融负债|3,458,251.61|528,575.86
应付票据|39,243,961.64|28,244,708.76
应付账款|179,533,761.54|196,115,407.16
预收款项||119,072,039.79
合同负债|136,424,970.92|0.00
卖出回购金融资产款||
吸收存款及同业存放||
代理买卖证券款||
代理承销证券款||
page|76
应付职工薪酬|100,145,707.54|51,970,908.21
应交税费|33,617,845.41|35,297,968.88
其他应付款|153,944,715.80|300,499,505.49
其中：应付利息|511,947.65|697,810.62
应付股利||
应付手续费及佣金||
应付分保账款||
持有待售负债||
一年内到期的非流动负债||
其他流动负债|43,410,123.81|13,645,973.28
流动负债合计|744,115,746.04|808,386,087.43
非流动负债：||
保险合同准备金||
长期借款|333,670,000.00|234,000,000.00
应付债券||
其中：优先股||
永续债||
租赁负债||
长期应付款|253,789,954.30|157,009,928.59
长期应付职工薪酬|43,045,489.78|41,068,240.01
预计负债|26,184,673.14|16,314,515.57
递延收益|11,873,233.46|14,174,288.14
递延所得税负债|115,731,102.89|111,829,101.63
其他非流动负债||
非流动负债合计|784,294,453.57|574,396,073.94
负债合计|1,528,410,199.61|1,382,782,161.37
所有者权益：||
股本|270,000,000.00|270,000,000.00
其他权益工具||
其中：优先股||
永续债||
资本公积|221,729,449.33|221,729,449.33
减：库存股||
其他综合收益|65,961,902.58|43,766,119.74
page|77
专项储备||
盈余公积|40,365,901.56|40,365,901.56
一般风险准备||
未分配利润|2,357,995.15|210,073,750.58
归属于母公司所有者权益合计|600,415,248.62|785,935,221.21
少数股东权益|149,173,389.32|171,184,625.71
所有者权益合计|749,588,637.94|957,119,846.92
负债和所有者权益总计|2,277,998,837.55|2,339,902,008.29
