page|107
项目|2020 年度|2019 年度
一、经营活动产生的现金流量：||
销售商品、提供劳务收到的现金|2,339,030,874.70|2,570,733,136.22
客户存款和同业存放款项净增加额||
向中央银行借款净增加额||
向其他金融机构拆入资金净增加额||
收到原保险合同保费取得的现金||
收到再保业务现金净额||
保户储金及投资款净增加额||
收取利息、手续费及佣金的现金||
拆入资金净增加额||
回购业务资金净增加额||
代理买卖证券收到的现金净额||
page|108
收到的税费返还|40,988,366.19|54,643,862.42
收到其他与经营活动有关的现金|188,898,204.54|115,674,699.35
经营活动现金流入小计|2,568,917,445.43|2,741,051,697.99
购买商品、接受劳务支付的现金|1,506,034,767.56|1,777,063,996.87
客户贷款及垫款净增加额||
存放中央银行和同业款项净增加额||
支付原保险合同赔付款项的现金||
拆出资金净增加额||
支付利息、手续费及佣金的现金||
支付保单红利的现金||
支付给职工以及为职工支付的现金|294,065,806.67|307,047,255.94
支付的各项税费|60,289,642.51|105,875,762.15
支付其他与经营活动有关的现金|211,937,371.04|247,785,709.60
经营活动现金流出小计|2,072,327,587.78|2,437,772,724.56
经营活动产生的现金流量净额|496,589,857.65|303,278,973.43
二、投资活动产生的现金流量：||
收回投资收到的现金|68,332,125.00|441,795.53
取得投资收益收到的现金|34,432,673.92|512,589.04
处置固定资产、无形资产和其他长期资产收回的现金净额|49,434,456.61|11,931,282.59
处置子公司及其他营业单位收到的现金净额|13,290,000.00|10,074,646.80
收到其他与投资活动有关的现金|113,548,792.84|62,000,000.00
投资活动现金流入小计|279,038,048.37|84,960,313.96
购建固定资产、无形资产和其他长期资产支付的现金|267,768,468.45|363,106,189.14
投资支付的现金|181,227,190.00|43,750,000.00
质押贷款净增加额||
取得子公司及其他营业单位支付的现金净额||29,220,243.37
支付其他与投资活动有关的现金|117,697,965.52|57,107,708.65
投资活动现金流出小计|566,693,623.97|493,184,141.16
投资活动产生的现金流量净额|-287,655,575.60|-408,223,827.20
三、筹资活动产生的现金流量：||
page|109
吸收投资收到的现金||
其中：子公司吸收少数股东投资收到的现金||
取得借款收到的现金|2,080,954,384.72|2,195,531,668.91
收到其他与筹资活动有关的现金|669,165,851.62|982,287,101.59
筹资活动现金流入小计|2,750,120,236.34|3,177,818,770.50
偿还债务支付的现金|2,046,272,584.69|2,057,824,173.18
分配股利、利润或偿付利息支付的现金|84,765,725.53|123,265,842.65
其中：子公司支付给少数股东的股利、利润||
支付其他与筹资活动有关的现金|937,235,152.68|1,009,369,579.73
筹资活动现金流出小计|3,068,273,462.90|3,190,459,595.56
筹资活动产生的现金流量净额|-318,153,226.56|-12,640,825.06
四、汇率变动对现金及现金等价物的影响|-8,554,390.88|5,080,580.80
五、现金及现金等价物净增加额|-117,773,335.39|-112,505,098.03
加：期初现金及现金等价物余额|555,360,621.03|667,865,719.06
六、期末现金及现金等价物余额|437,587,285.64|555,360,621.03
