page|97
项目|2020 年度|2019 年度
一、经营活动产生的现金流量：||
销售商品、提供劳务收到的现金|2,435,801,214.80|3,064,502,961.66
客户存款和同业存放款项净增加额||
向中央银行借款净增加额||
向其他金融机构拆入资金净增加额||
收到原保险合同保费取得的现金||
收到再保业务现金净额||
保户储金及投资款净增加额||
收取利息、手续费及佣金的现金||
拆入资金净增加额||
回购业务资金净增加额||
代理买卖证券收到的现金净额||
收到的税费返还|93,985,100.04|68,153,404.20
收到其他与经营活动有关的现金|111,370,476.55|68,759,529.82
经营活动现金流入小计|2,641,156,791.39|3,201,415,895.68
购买商品、接受劳务支付的现金|1,386,576,277.05|1,740,657,577.52
page|98
客户贷款及垫款净增加额||
存放中央银行和同业款项净增加额||
支付原保险合同赔付款项的现金||
拆出资金净增加额||
支付利息、手续费及佣金的现金||
支付保单红利的现金||
支付给职工以及为职工支付的现金|611,217,116.18|646,971,092.60
支付的各项税费|96,878,099.12|118,941,100.23
支付其他与经营活动有关的现金|500,075,046.27|669,334,099.17
经营活动现金流出小计|2,594,746,538.62|3,175,903,869.52
经营活动产生的现金流量净额|46,410,252.77|25,512,026.16
二、投资活动产生的现金流量：||
收回投资收到的现金|99,401,532.27|368,794,839.01
取得投资收益收到的现金||
处置固定资产、无形资产和其他长期资产收回的现金净额|311,263,728.85|66,034,953.41
处置子公司及其他营业单位收到的现金净额||
收到其他与投资活动有关的现金|676,950.00|8,784,490.00
投资活动现金流入小计|411,342,211.12|443,614,282.42
购建固定资产、无形资产和其他长期资产支付的现金|235,651,143.60|360,944,427.25
投资支付的现金|92,716,000.00|367,828,246.62
质押贷款净增加额||
取得子公司及其他营业单位支付的现金净额||
支付其他与投资活动有关的现金|7,250,000.00|14,673,290.78
投资活动现金流出小计|335,617,143.60|743,445,964.65
投资活动产生的现金流量净额|75,725,067.52|-299,831,682.23
三、筹资活动产生的现金流量：||
吸收投资收到的现金||960,000.00
其中：子公司吸收少数股东投资收到的现金||960,000.00
取得借款收到的现金|1,426,200,000.00|1,255,700,000.00
page|99
收到其他与筹资活动有关的现金||1,963,784.38
筹资活动现金流入小计|1,426,200,000.00|1,258,623,784.38
偿还债务支付的现金|1,278,700,000.00|969,000,000.00
分配股利、利润或偿付利息支付的现金|62,368,314.76|104,868,137.56
其中：子公司支付给少数股东的股利、利润||
支付其他与筹资活动有关的现金||9,999,887.96
筹资活动现金流出小计|1,341,068,314.76|1,083,868,025.52
筹资活动产生的现金流量净额|85,131,685.24|174,755,758.86
四、汇率变动对现金及现金等价物的影响|-16,745,191.28|3,823,221.70
五、现金及现金等价物净增加额|190,521,814.25|-95,740,675.51
加：期初现金及现金等价物余额|394,341,679.18|490,082,354.69
六、期末现金及现金等价物余额|584,863,493.43|394,341,679.18
