page|75
项目|2020 年度|2019 年度
一、经营活动产生的现金流量：||
销售商品、提供劳务收到的现金|523,183,665.14|676,863,416.29
客户存款和同业存放款项净增加额||
向中央银行借款净增加额||
向其他金融机构拆入资金净增加额||
收到原保险合同保费取得的现金||
收到再保业务现金净额||
保户储金及投资款净增加额||
收取利息、手续费及佣金的现金||
拆入资金净增加额||
回购业务资金净增加额||
代理买卖证券收到的现金净额||
收到的税费返还|17,958,693.67|5,721,595.89
收到其他与经营活动有关的现金|160,696,253.41|661,483,732.91
经营活动现金流入小计|701,838,612.22|1,344,068,745.09
购买商品、接受劳务支付的现金|89,030,612.01|540,447,869.32
客户贷款及垫款净增加额||
存放中央银行和同业款项净增加额||
支付原保险合同赔付款项的现金||
拆出资金净增加额||
支付利息、手续费及佣金的现金||
支付保单红利的现金||
支付给职工以及为职工支付的现金|115,777,753.39|105,665,234.49
支付的各项税费|52,201,316.47|69,988,652.16
支付其他与经营活动有关的现金|302,406,407.53|472,633,578.70
经营活动现金流出小计|559,416,089.40|1,188,735,334.67
经营活动产生的现金流量净额|142,422,522.82|155,333,410.42
二、投资活动产生的现金流量：||
收回投资收到的现金|335,807,697.40|134,020,527.64
取得投资收益收到的现金|20,269,116.40|2,442.89
处置固定资产、无形资产和其他长期资产收回的现金净额|62,000.00|882.00
处置子公司及其他营业单位收到的现金净额|23,731,416.18|
page|76
收到其他与投资活动有关的现金|3,000,000.00|
投资活动现金流入小计|382,870,229.98|134,023,852.53
购建固定资产、无形资产和其他长期资产支付的现金|154,726,543.85|397,934,515.75
投资支付的现金|10,826,260.25|15,020,527.64
质押贷款净增加额||
取得子公司及其他营业单位支付的现金净额||
支付其他与投资活动有关的现金|52,350,000.00|176,542,525.14
投资活动现金流出小计|217,902,804.10|589,497,568.53
投资活动产生的现金流量净额|164,967,425.88|-455,473,716.00
三、筹资活动产生的现金流量：||
吸收投资收到的现金||
其中：子公司吸收少数股东投资收到的现金||
取得借款收到的现金|268,259,372.79|377,139,445.24
收到其他与筹资活动有关的现金||60,000,000.00
筹资活动现金流入小计|268,259,372.79|437,139,445.24
偿还债务支付的现金|252,200,000.00|148,400,000.00
分配股利、利润或偿付利息支付的现金|52,853,114.73|54,002,051.06
其中：子公司支付给少数股东的股利、利润|225,000.00|450,000.00
支付其他与筹资活动有关的现金|66,377,521.34|68,789,521.00
筹资活动现金流出小计|371,430,636.07|271,191,572.06
筹资活动产生的现金流量净额|-103,171,263.28|165,947,873.18
四、汇率变动对现金及现金等价物的影响||
五、现金及现金等价物净增加额|204,218,685.42|-134,192,432.40
加：期初现金及现金等价物余额|181,214,804.21|315,407,236.61
六、期末现金及现金等价物余额|385,433,489.63|181,214,804.21
