page|80
项目|2020 年度|2019 年度
一、经营活动产生的现金流量：||
销售商品、提供劳务收到的现金|707,577,040.52|598,247,902.89
客户存款和同业存放款项净增加额||
向中央银行借款净增加额||
向其他金融机构拆入资金净增加额||
收到原保险合同保费取得的现金||
收到再保业务现金净额||
保户储金及投资款净增加额||
收取利息、手续费及佣金的现金||
拆入资金净增加额||
回购业务资金净增加额||
代理买卖证券收到的现金净额||
收到的税费返还|972,951.69|2,150,866.98
收到其他与经营活动有关的现金|6,599,479.87|5,754,439.82
经营活动现金流入小计|715,149,472.08|606,153,209.69
购买商品、接受劳务支付的现金|440,618,256.87|415,391,213.49
客户贷款及垫款净增加额||
存放中央银行和同业款项净增加额||
支付原保险合同赔付款项的现金||
page|81
拆出资金净增加额||
支付利息、手续费及佣金的现金||
支付保单红利的现金||
支付给职工以及为职工支付的现金|107,015,363.62|117,252,467.97
支付的各项税费|20,808,455.58|32,166,569.02
支付其他与经营活动有关的现金|101,479,491.56|62,482,017.66
经营活动现金流出小计|669,921,567.63|627,292,268.14
经营活动产生的现金流量净额|45,227,904.45|-21,139,058.45
二、投资活动产生的现金流量：||
收回投资收到的现金|50,000.87|9,999.13
取得投资收益收到的现金|369.45|1,181.76
处置固定资产、无形资产和其他长期资产收回的现金净额|400.00|
处置子公司及其他营业单位收到的现金净额||
收到其他与投资活动有关的现金||
投资活动现金流入小计|50,770.32|11,180.89
购建固定资产、无形资产和其他长期资产支付的现金|99,890,999.39|43,176,278.63
投资支付的现金|103,233,378.22|208,741,165.75
质押贷款净增加额||
取得子公司及其他营业单位支付的现金净额||
支付其他与投资活动有关的现金||
投资活动现金流出小计|203,124,377.61|251,917,444.38
投资活动产生的现金流量净额|-203,073,607.29|-251,906,263.49
三、筹资活动产生的现金流量：||
吸收投资收到的现金|444,443,386.39|258,824.00
其中：子公司吸收少数股东投资收到的现金||258,824.00
取得借款收到的现金|493,913,279.00|333,950,000.00
收到其他与筹资活动有关的现金||
筹资活动现金流入小计|938,356,665.39|334,208,824.00
偿还债务支付的现金|412,014,285.66|99,357,142.83
分配股利、利润或偿付利息支付的现金|21,145,260.15|22,057,034.87
其中：子公司支付给少数股东的股利、利润||
支付其他与筹资活动有关的现金||
筹资活动现金流出小计|433,159,545.81|121,414,177.70
筹资活动产生的现金流量净额|505,197,119.58|212,794,646.30
page|82
四、汇率变动对现金及现金等价物的影响|35,125.98|1,111,062.08
五、现金及现金等价物净增加额|347,386,542.72|-59,139,613.56
加：期初现金及现金等价物余额|90,395,151.70|149,534,765.26
六、期末现金及现金等价物余额|437,781,694.42|90,395,151.70
