page|85
项目|2020 年 12 月 31 日|2019 年 12 月 31 日
流动资产：||
货币资金|954,779,335.22|598,280,374.21
结算备付金||
拆出资金||
交易性金融资产|70,000,000.00|90,000,000.00
衍生金融资产||
应收票据|48,743,602.41|160,867,610.77
应收账款|1,668,203,170.89|767,182,890.55
应收款项融资|4,946,554.40|
预付款项|150,083,790.47|64,348,721.10
应收保费||
应收分保账款||
应收分保合同准备金||
其他应收款|24,894,354.70|25,319,669.13
其中：应收利息||
应收股利||
买入返售金融资产||
存货|1,445,117,265.72|731,089,941.31
合同资产|4,086,504.62|
page|86
持有待售资产||
一年内到期的非流动资产||
其他流动资产|132,999,774.34|96,079,547.15
流动资产合计|4,503,854,352.77|2,533,168,754.22
非流动资产：||
发放贷款和垫款||
债权投资||
其他债权投资||
长期应收款||
长期股权投资||
其他权益工具投资|30,093,400.00|25,093,400.00
其他非流动金融资产||
投资性房地产|21,718,049.88|22,855,752.00
固定资产|810,150,429.68|720,800,898.95
在建工程|42,862,402.40|93,178,627.96
生产性生物资产||
油气资产||
使用权资产||
无形资产|448,814,165.88|367,726,055.64
开发支出||153,539,799.30
商誉|278,124,783.91|278,124,783.91
长期待摊费用|15,359,289.39|12,614,152.14
递延所得税资产|104,840,726.61|81,948,285.19
其他非流动资产|82,928,259.66|43,281,137.94
非流动资产合计|1,834,891,507.41|1,799,162,893.03
资产总计|6,338,745,860.18|4,332,331,647.25
流动负债：||
短期借款|810,000,000.00|150,000,000.00
向中央银行借款||
拆入资金||
交易性金融负债||
衍生金融负债||
应付票据|117,524,174.98|44,741,914.85
应付账款|458,973,002.21|285,990,504.76
page|87
预收款项||36,743,201.82
合同负债|232,076,277.78|
卖出回购金融资产款||
吸收存款及同业存放||
代理买卖证券款||
代理承销证券款||
应付职工薪酬|73,331,180.76|74,791,365.42
应交税费|18,606,471.16|9,413,305.81
其他应付款|27,031,105.31|34,141,196.96
其中：应付利息||
应付股利||
应付手续费及佣金||
应付分保账款||
持有待售负债||
一年内到期的非流动负债||
其他流动负债|2,385,014.18|
流动负债合计|1,739,927,226.38|635,821,489.62
非流动负债：||
保险合同准备金||
长期借款|50,000,000.00|
应付债券||
其中：优先股||
永续债||
租赁负债||
长期应付款||
长期应付职工薪酬||
预计负债|5,785,046.64|1,270,818.03
递延收益|135,936,400.56|106,588,368.93
递延所得税负债|12,448,558.96|13,159,735.66
其他非流动负债|42,000,000.00|42,000,000.00
非流动负债合计|246,170,006.16|163,018,922.62
负债合计|1,986,097,232.54|798,840,412.24
所有者权益：||
股本|1,591,852,878.00|936,384,046.00
page|88
其他权益工具||
其中：优先股||
永续债||
资本公积|1,099,918,493.59|1,755,387,325.59
减：库存股||
其他综合收益|5,036,002.71|4,420,232.52
专项储备|12,880,003.77|7,879,278.34
盈余公积|69,849,409.04|67,269,281.00
一般风险准备||
未分配利润|1,573,111,840.53|762,151,071.56
归属于母公司所有者权益合计|4,352,648,627.64|3,533,491,235.01
少数股东权益||
所有者权益合计|4,352,648,627.64|3,533,491,235.01
负债和所有者权益总计|6,338,745,860.18|4,332,331,647.25
