page|89
项目|2020 年 12 月 31 日|2019 年 12 月 31 日
流动资产：||
货币资金|7,243,186,362.29|4,300,144,848.67
结算备付金||
拆出资金||
交易性金融资产|14,301,978,905.17|17,976,767,209.45
衍生金融资产||
应收票据|613,496,333.71|659,266,780.81
应收账款|4,225,230.90|16,080,618.65
应收款项融资||
预付款项|9,358,846.48|200,115,325.19
应收保费||
应收分保账款||
应收分保合同准备金||
其他应收款|30,318,938.67|37,521,590.52
其中：应收利息||
应收股利||
买入返售金融资产||
存货|14,852,694,146.30|14,433,244,696.27
合同资产||
持有待售资产||
一年内到期的非流动资产||
其他流动资产|182,837,070.99|183,119,654.47
流动资产合计|37,238,095,834.51|37,806,260,724.03
非流动资产：||
发放贷款和垫款||
债权投资||
其他债权投资||
page|90
长期应收款||
长期股权投资|29,528,377.16|25,361,651.38
其他权益工具投资||
其他非流动金融资产|6,366,958,225.81|5,050,851,671.16
投资性房地产||
固定资产|6,882,953,634.34|7,256,557,503.85
在建工程|223,468,482.24|263,153,505.12
生产性生物资产||
油气资产||
使用权资产||
无形资产|1,713,526,693.10|1,747,134,144.14
开发支出||
商誉|276,001,989.95|276,001,989.95
长期待摊费用|127,071.76|254,143.60
递延所得税资产|925,921,403.51|825,064,057.57
其他非流动资产|209,677,594.21|204,398,450.18
非流动资产合计|16,628,163,472.08|15,648,777,116.95
资产总计|53,866,259,306.59|53,455,037,840.98
流动负债：||
短期借款||
向中央银行借款||
拆入资金||
交易性金融负债||
衍生金融负债||
应付票据||
应付账款|1,151,871,136.29|1,330,649,116.82
预收款项||6,753,595,187.64
合同负债|8,801,346,891.32|
卖出回购金融资产款||
吸收存款及同业存放||
代理买卖证券款||
代理承销证券款||
应付职工薪酬|196,241,487.31|116,094,163.25
应交税费|2,152,806,156.43|1,815,288,006.47
page|91
其他应付款|1,556,699,290.45|6,521,146,762.07
其中：应付利息||
应付股利||
应付手续费及佣金||
应付分保账款||
持有待售负债||
一年内到期的非流动负债||
其他流动负债|798,216,651.49|
流动负债合计|14,657,181,613.29|16,536,773,236.25
非流动负债：||
保险合同准备金||
长期借款|36,360.00|72,723.00
应付债券||
其中：优先股||
永续债||
租赁负债||
长期应付款|197,049,341.93|197,623,728.85
长期应付职工薪酬||
预计负债||
递延收益|85,999,500.00|89,756,500.00
递延所得税负债|456,339,414.38|139,259,083.16
其他非流动负债||
非流动负债合计|739,424,616.31|426,712,035.01
负债合计|15,396,606,229.60|16,963,485,271.26
所有者权益：||
股本|1,506,988,000.00|1,506,988,000.00
其他权益工具||
其中：优先股||
永续债||
资本公积|741,532,550.13|741,532,550.13
减：库存股|1,002,128,680.79|
其他综合收益|-5,213,248.93|-3,608,771.16
专项储备||
盈余公积|753,494,000.00|753,494,000.00
page|92
一般风险准备||
未分配利润|36,489,911,363.13|33,510,429,712.50
归属于母公司所有者权益合计|38,484,583,983.54|36,508,835,491.47
少数股东权益|-14,930,906.55|-17,282,921.75
所有者权益合计|38,469,653,076.99|36,491,552,569.72
负债和所有者权益总计|53,866,259,306.59|53,455,037,840.98
