page|98
项目|2020 年度|2019 年度
一、经营活动产生的现金流量：||
销售商品、提供劳务收到的现金|853,707,984.35|899,398,123.17
客户存款和同业存放款项净增加额||
向中央银行借款净增加额||
向其他金融机构拆入资金净增加额||
收到原保险合同保费取得的现金||
收到再保业务现金净额||
保户储金及投资款净增加额||
收取利息、手续费及佣金的现金||
拆入资金净增加额||
回购业务资金净增加额||
代理买卖证券收到的现金净额||
收到的税费返还|3,169,739.63|10,124,598.86
收到其他与经营活动有关的现金|177,679,150.99|124,335,708.22
经营活动现金流入小计|1,034,556,874.97|1,033,858,430.25
购买商品、接受劳务支付的现金|456,795,047.14|453,050,036.46
客户贷款及垫款净增加额||
存放中央银行和同业款项净增加额||
支付原保险合同赔付款项的现金||
拆出资金净增加额||
支付利息、手续费及佣金的现金||
支付保单红利的现金||
page|99
支付给职工以及为职工支付的现金|257,446,966.73|300,503,741.69
支付的各项税费|29,176,235.61|72,158,705.20
支付其他与经营活动有关的现金|297,084,246.33|204,084,272.51
经营活动现金流出小计|1,040,502,495.81|1,029,796,755.86
经营活动产生的现金流量净额|-5,945,620.84|4,061,674.39
二、投资活动产生的现金流量：||
收回投资收到的现金||
取得投资收益收到的现金|22,346,921.95|817,177.20
处置固定资产、无形资产和其他长期资产收回的现金净额|1,288,473.01|268,038.06
处置子公司及其他营业单位收到的现金净额|207,356,203.02|148,574,782.69
收到其他与投资活动有关的现金|20,719,794.82|
投资活动现金流入小计|251,711,392.80|149,659,997.95
购建固定资产、无形资产和其他长期资产支付的现金|40,208,666.80|75,214,520.88
投资支付的现金|12,546,000.00|7,432,500.00
质押贷款净增加额||
取得子公司及其他营业单位支付的现金净额||
支付其他与投资活动有关的现金||
投资活动现金流出小计|52,754,666.80|82,647,020.88
投资活动产生的现金流量净额|198,956,726.00|67,012,977.07
三、筹资活动产生的现金流量：||
吸收投资收到的现金||3,539,860.00
其中：子公司吸收少数股东投资收到的现金||3,539,860.00
取得借款收到的现金|374,210,876.37|600,846,912.00
收到其他与筹资活动有关的现金|8,000,000.00|255,090,000.00
筹资活动现金流入小计|382,210,876.37|859,476,772.00
偿还债务支付的现金|605,315,000.00|602,729,320.00
分配股利、利润或偿付利息支付的现金|29,420,712.34|81,161,693.62
其中：子公司支付给少数股东的股利、利润||
支付其他与筹资活动有关的现金|33,792,666.67|234,540,000.00
page|100
筹资活动现金流出小计|668,528,379.01|918,431,013.62
筹资活动产生的现金流量净额|-286,317,502.64|-58,954,241.62
四、汇率变动对现金及现金等价物的影响|-3,674,198.35|643,486.73
五、现金及现金等价物净增加额|-96,980,595.83|12,763,896.57
加：期初现金及现金等价物余额|153,992,566.08|141,228,669.51
六、期末现金及现金等价物余额|57,011,970.25|153,992,566.08
