page|46
项目|附注|2020 年 12 月 31 日|2019 年 12 月 31 日
流动资产：|||
货币资金||41,528,586.31|48,230,815.21
结算备付金|||
拆出资金|||
交易性金融资产||229,348,391.28|152,399,577.11
衍生金融资产|||
应收票据||429,490.40|563,960.15
应收账款||168,282,068.05|169,014,451.53
应收款项融资|||
预付款项||3,902,149.80|2,477,156.20
应收保费|||
应收分保账款|||
应收分保合同准备金|||
其他应收款||14,320,676.45|14,448,390.85
其中：应收利息|||
应收股利|||
买入返售金融资产|||
存货||189,900,384.97|148,749,234.37
合同资产|||
持有待售资产|||
一年内到期的非流动资产|||
其他流动资产||2,765,676.68|338,641.84
流动资产合计||650,477,423.94|536,222,227.26
非流动资产：|||
发放贷款和垫款|||
债权投资|||
其他债权投资|||
长期应收款|||
长期股权投资|||
其他权益工具投资|||
其他非流动金融资产|||
投资性房地产||2,499,708.85|
固定资产||159,815,155.23|160,796,582.33
在建工程||20,993,956.15|4,703,529.34
生产性生物资产|||
油气资产|||
使用权资产|||
无形资产||52,183,675.47|52,764,556.88
开发支出|||
商誉|||
长期待摊费用|||
递延所得税资产||7,970,753.88|6,052,869.53
page|47
其他非流动资产||10,231,885.83|6,861,199.34
非流动资产合计||253,695,135.41|231,178,737.42
资产总计||904,172,559.35|767,400,964.68
流动负债：|||
短期借款|||
向中央银行借款|||
拆入资金|||
交易性金融负债|||
衍生金融负债|||
应付票据||48,006,568.80|53,944,610.00
应付账款||200,785,160.02|147,577,837.40
预收款项|||4,465,770.71
合同负债||5,335,565.67|
卖出回购金融资产款|||
吸收存款及同业存放|||
代理买卖证券款|||
代理承销证券款|||
应付职工薪酬||22,907,873.09|19,400,796.98
应交税费||2,304,101.70|6,422,603.65
其他应付款||2,898,210.76|5,196,572.01
其中：应付利息|||
应付股利|||
应付手续费及佣金|||
应付分保账款|||
持有待售负债|||
一年内到期的非流动负债|||
其他流动负债|||
流动负债合计||282,237,480.04|237,008,190.75
非流动负债：|||
保险合同准备金|||
长期借款|||
应付债券|||
其中：优先股|||
永续债|||
租赁负债|||
长期应付款|||
长期应付职工薪酬|||
预计负债|||3,829,595.00
递延收益||12,735,480.12|14,281,231.63
递延所得税负债||10,094,697.18|6,964,784.20
其他非流动负债||15,521,886.81|
非流动负债合计||38,352,064.11|25,075,610.83
负债合计||320,589,544.15|262,083,801.58
所有者权益（或股东权益）：|||
实收资本（或股本）||100,000,000.00|100,000,000.00
其他权益工具|||
其中：优先股|||
永续债|||
page|48
资本公积||183,262,489.07|183,262,489.07
减：库存股|||
其他综合收益|||
专项储备|||
盈余公积||43,943,826.39|31,832,059.80
一般风险准备|||
未分配利润||256,376,699.74|190,222,614.23
归属于母公司所有者权益（或股东权益）合计||583,583,015.2|505,317,163.10
少数股东权益|||
所有者权益（或股东权益）合计||583,583,015.2|505,317,163.10
负债和所有者权益（或股东权益）总计||904,172,559.35|767,400,964.68
