page|58
项目|2020 年 12 月 31 日|2019 年 12 月 31 日
流动资产：||
货币资金|1,144,981,639.18|1,226,298,523.21
结算备付金||
拆出资金||
page|59
交易性金融资产|65,117,948.00|121,707,500.00
衍生金融资产||
应收票据|145,541,508.59|49,956,837.70
应收账款|524,826,028.59|657,472,564.52
应收款项融资||
预付款项|115,342,436.99|24,021,236.01
应收保费||
应收分保账款||
应收分保合同准备金||
其他应收款|36,590,178.95|105,082,805.17
其中：应收利息||
应收股利||
买入返售金融资产||
存货|927,021,335.19|865,899,135.58
合同资产||
持有待售资产|175,797.58|
一年内到期的非流动资产||
其他流动资产|141,323,704.00|106,482,470.47
流动资产合计|3,100,920,577.07|3,156,921,072.66
非流动资产：||
发放贷款和垫款||
债权投资||
其他债权投资||
长期应收款||
长期股权投资|289,035,084.02|318,013,499.70
其他权益工具投资||
其他非流动金融资产|61,393,877.55|63,606,230.81
投资性房地产||
固定资产|741,200,035.80|806,605,757.09
在建工程|166,154,900.56|87,720,473.66
生产性生物资产||
油气资产||
使用权资产||
无形资产|122,895,960.51|121,817,853.78
page|60
开发支出||
商誉||
长期待摊费用|3,783,149.79|16,240,905.79
递延所得税资产|121,842,108.37|107,066,765.32
其他非流动资产|15,611,767.76|34,784,711.58
非流动资产合计|1,521,916,884.36|1,555,856,197.73
资产总计|4,622,837,461.43|4,712,777,270.39
流动负债：||
短期借款||1,000,000.00
向中央银行借款||
拆入资金||
交易性金融负债||
衍生金融负债||
应付票据|372,705,000.00|622,530,000.00
应付账款|898,083,165.70|946,995,480.84
预收款项||97,728,549.66
合同负债|91,421,789.08|
卖出回购金融资产款||
吸收存款及同业存放||
代理买卖证券款||
代理承销证券款||
应付职工薪酬|77,823,344.61|73,734,439.17
应交税费|96,668,510.57|48,819,965.63
其他应付款|162,275,572.37|120,100,055.33
其中：应付利息||
应付股利||1,217,607.68
应付手续费及佣金||
应付分保账款||
持有待售负债||
一年内到期的非流动负债||
其他流动负债|102,141,127.62|
流动负债合计|1,801,118,509.95|1,910,908,490.63
非流动负债：||
保险合同准备金||
page|61
长期借款||
应付债券||
其中：优先股||
永续债||
租赁负债||
长期应付款||
长期应付职工薪酬||
预计负债|17,473,282.71|5,430,647.92
递延收益|87,399,118.62|93,924,017.22
递延所得税负债|33,233,004.62|28,825,209.75
其他非流动负债||
非流动负债合计|138,105,405.95|128,179,874.89
负债合计|1,939,223,915.90|2,039,088,365.52
所有者权益：||
股本|453,536,000.00|453,536,000.00
其他权益工具||
其中：优先股||
永续债||
资本公积|1,376,558,551.15|1,369,464,871.97
减：库存股||
其他综合收益|102,548,980.12|102,351,553.67
专项储备||
盈余公积|202,536,503.31|196,672,676.28
一般风险准备||
未分配利润|610,325,187.30|576,231,314.24
归属于母公司所有者权益合计|2,745,505,221.88|2,698,256,416.16
少数股东权益|-61,891,676.35|-24,567,511.29
所有者权益合计|2,683,613,545.53|2,673,688,904.87
负债和所有者权益总计|4,622,837,461.43|4,712,777,270.39
