page|102
项目|2020 年 12 月 31 日|2019 年 12 月 31 日
流动资产：||
货币资金|169,605,818.18|228,364,499.70
结算备付金||
拆出资金||
交易性金融资产|25,292,365.43|19,463,751.33
衍生金融资产||
应收票据|30,640,000.00|
应收账款|71,811,629.68|76,070,279.45
应收款项融资|1,050,000.00|120,650,166.72
预付款项|95,584,825.80|147,978,467.79
应收保费||
应收分保账款||
应收分保合同准备金||
其他应收款|12,830,706.75|7,978,867.84
其中：应收利息||
应收股利||
买入返售金融资产||
存货|218,800,783.69|163,552,771.57
合同资产||
持有待售资产||
一年内到期的非流动资产||
page|103
其他流动资产|144,236,379.62|151,986,767.56
流动资产合计|769,852,509.15|916,045,571.96
非流动资产：||
发放贷款和垫款||
债权投资||
其他债权投资||
长期应收款||
长期股权投资|42,844,567.83|40,592,315.49
其他权益工具投资|40,145,105.75|28,500,000.00
其他非流动金融资产||
投资性房地产|1,843,003.37|1,972,338.05
固定资产|341,528,789.84|363,181,414.11
在建工程|591,115,919.66|31,625,120.48
生产性生物资产||
油气资产||
使用权资产||
无形资产|56,699,864.40|58,169,633.04
开发支出||
商誉||
长期待摊费用|15,481,964.88|6,637,168.14
递延所得税资产|46,100,092.76|15,749,921.19
其他非流动资产|15,575,218.52|40,795,846.10
非流动资产合计|1,151,334,527.01|587,223,756.60
资产总计|1,921,187,036.16|1,503,269,328.56
流动负债：||
短期借款|199,781,642.60|149,961,000.00
向中央银行借款||
拆入资金||
交易性金融负债||
衍生金融负债||
应付票据|19,900,000.00|15,000,000.00
应付账款|101,020,002.67|79,781,013.87
预收款项||37,563,477.73
合同负债|37,020,392.12|
page|104
卖出回购金融资产款||
吸收存款及同业存放||
代理买卖证券款||
代理承销证券款||
应付职工薪酬|4,980,480.20|24,231,199.34
应交税费|8,421,082.60|3,993,540.12
其他应付款|91,363,924.91|82,823,301.10
其中：应付利息|443,653.00|443,653.00
应付股利||19,600,000.00
应付手续费及佣金||
应付分保账款||
持有待售负债||
一年内到期的非流动负债|291,900,000.00|
其他流动负债|4,728,883.19|
流动负债合计|759,116,408.29|393,353,532.16
非流动负债：||
保险合同准备金||
长期借款|124,700,000.00|
应付债券||
其中：优先股||
永续债||
租赁负债||
长期应付款|14,365,300.00|44,365,300.00
长期应付职工薪酬|24,314,889.45|21,845,810.11
预计负债|436,583.45|
递延收益|797,946.79|1,341,498.50
递延所得税负债|12,122,936.04|8,713,397.66
其他非流动负债||
非流动负债合计|176,737,655.73|76,266,006.27
负债合计|935,854,064.02|469,619,538.43
所有者权益：||
股本|519,875,356.00|519,875,356.00
其他权益工具||
其中：优先股||
page|105
永续债||
资本公积|6,971,640.68|6,971,640.68
减：库存股||
其他综合收益|14,330,115.92|7,006,818.81
专项储备||2,992,875.34
盈余公积|215,812,810.37|215,812,810.37
一般风险准备||
未分配利润|151,916,494.91|189,353,413.90
归属于母公司所有者权益合计|908,906,417.88|942,012,915.10
少数股东权益|76,426,554.26|91,636,875.03
所有者权益合计|985,332,972.14|1,033,649,790.13
负债和所有者权益总计|1,921,187,036.16|1,503,269,328.56
