page|95
项目|2020 年 12 月 31 日|2019 年 12 月 31 日
流动资产：||
货币资金|365,475,487.06|458,224,121.40
结算备付金||
拆出资金||
交易性金融资产|104,022,016.03|41,336,368.77
衍生金融资产||
应收票据|2,558,592.00|41,336,800.00
应收账款|529,707,795.49|668,560,700.13
应收款项融资||
预付款项|98,386,248.93|183,587,391.39
应收保费||
应收分保账款||
应收分保合同准备金||
其他应收款|539,906,550.20|790,563,497.11
其中：应收利息|463,399.16|446,476.80
应收股利|62,726,197.74|72,937,577.50
买入返售金融资产||
存货|506,361,997.50|425,973,676.96
合同资产|18,739,199.52|
持有待售资产||
一年内到期的非流动资产|56,048,279.50|43,858,316.54
其他流动资产|33,817,873.13|39,991,555.14
流动资产合计|2,255,024,039.36|2,693,432,427.44
非流动资产：||
发放贷款和垫款||
债权投资||
page|96
其他债权投资||
长期应收款|17,018,203.64|36,972,689.43
长期股权投资|149,345,645.20|262,625,002.06
其他权益工具投资|208,646,762.45|263,926,724.03
其他非流动金融资产|225,658,700.00|371,685,046.25
投资性房地产||
固定资产|288,821,437.09|281,652,690.39
在建工程||
生产性生物资产||
油气资产||
使用权资产||
无形资产|457,515,470.22|460,384,856.27
开发支出|70,237,610.81|110,790,741.50
商誉|601,138,322.48|2,861,546,563.04
长期待摊费用|35,222,685.32|44,593,236.12
递延所得税资产|227,105,701.30|269,184,968.84
其他非流动资产|2,800,000.00|
非流动资产合计|2,283,510,538.51|4,963,362,517.93
资产总计|4,538,534,577.87|7,656,794,945.37
流动负债：||
短期借款|517,396,303.73|774,440,841.95
向中央银行借款||
拆入资金||
交易性金融负债||
衍生金融负债||
应付票据|92,000,000.00|22,011,139.20
应付账款|337,342,423.96|305,712,354.37
预收款项||466,411,253.20
合同负债|503,884,526.22|
卖出回购金融资产款||
吸收存款及同业存放||
代理买卖证券款||
代理承销证券款||
应付职工薪酬|80,766,675.77|65,164,974.36
page|97
应交税费|108,273,662.42|142,139,706.85
其他应付款|1,024,871,948.39|915,623,462.69
其中：应付利息|12,624,951.42|3,903,589.63
应付股利||
应付手续费及佣金||
应付分保账款||
持有待售负债||
一年内到期的非流动负债|242,389,766.69|364,630,437.23
其他流动负债|181,464,160.74|162,900,831.09
流动负债合计|3,088,389,467.92|3,219,035,000.94
非流动负债：||
保险合同准备金||
长期借款|419,392,000.00|542,451,000.00
应付债券||
其中：优先股||
永续债||
租赁负债||
长期应付款|43,266,308.23|81,980,720.04
长期应付职工薪酬||
预计负债|16,127,220.04|218,695.66
递延收益|85,705,980.34|193,493,284.81
递延所得税负债|10,560,479.46|19,027,501.85
其他非流动负债|19,060,768.46|19,264,964.04
非流动负债合计|594,112,756.53|856,436,166.40
负债合计|3,682,502,224.45|4,075,471,167.34
所有者权益：||
股本|868,324,647.00|868,324,647.00
其他权益工具||
其中：优先股||
永续债||
资本公积|2,919,184,295.49|2,912,136,548.52
减：库存股||
其他综合收益|20,445,488.52|50,218,235.41
专项储备||
page|98
盈余公积|16,517,050.20|16,241,850.20
一般风险准备||
未分配利润|-3,062,667,950.98|-498,605,299.67
归属于母公司所有者权益合计|761,803,530.23|3,348,315,981.46
少数股东权益|94,228,823.19|233,007,796.57
所有者权益合计|856,032,353.42|3,581,323,778.03
负债和所有者权益总计|4,538,534,577.87|7,656,794,945.37
