page|67
项目|附注|2020 年度|2019 年度
一、营业总收入||523,542,622.75|733,955,922.91
其中：营业收入||523,542,622.75|733,955,922.91
利息收入|||
已赚保费|||
手续费及佣金收入|||
二、营业总成本||733,778,903.69|968,321,148.03
其中：营业成本||215,711,356.14|281,800,688.37
利息支出|||
手续费及佣金支出|||
退保金|||
赔付支出净额|||
提取保险责任准备金净额|||
保单红利支出|||
分保费用|||
税金及附加||5,419,095.11|7,165,876.82
销售费用||77,017,096.83|86,263,420.22
管理费用||246,628,154.92|319,712,133.29
研发费用||191,129,422.76|277,602,144.99
财务费用||-2,126,222.07|-4,223,115.66
其中：利息费用||2,064,614.25|
利息收入||4,245,853.74|4,367,363.92
加：其他收益||12,108,463.62|14,057,315.87
投资收益（损失以“－”号填列）|||-121,850.09
其中：对联营企业和合营企业的投资收益|||
page|68
项目|附注|2020 年度|2019 年度
以摊余成本计量的金融资产终止确认收益|||
汇兑收益（损失以“－”号填列）|||
净敞口套期收益（损失以“-”号填列）|||
公允价值变动收益（损失以“－”号填列）|||-7,236,347.78
信用减值损失（损失以“-”号填列）||-27,171,022.30|1,777,330,602.44
资产减值损失（损失以“-”号填列）||-110,845,045.02|-46,856,546.52
资产处置收益（损失以“－”号填列）||-15,760,736.17|-13,990.84
三、营业利润（亏损以“－”号填列）||-351,904,620.81|1,502,793,957.96
加：营业外收入||406,341.38|149,614.01
减：营业外支出||8,255,817.45|189,152.40
四、利润总额（亏损总额以“－”号填列）||-359,754,096.88|1,502,754,419.57
减：所得税费用||2,417,584.53|538,708.13
五、净利润（净亏损以“－”号填列）||-362,171,681.41|1,502,215,711.44
（一）按经营持续性分类|||
1.持续经营净利润（净亏损以“－”号填列）||-362,171,681.41|1,502,215,711.44
2.终止经营净利润（净亏损以“－”号填列）|||
（二）按所有权归属分类|||
1.归属于母公司股东的净利润（净亏损以“-”号填列）||-361,478,294.33|1,502,873,390.31
2.少数股东损益（净亏损以“-”号填列）||-693,387.08|-657,678.87
六、其他综合收益的税后净额||2,035,311.97|926,491.48
（一）归属母公司所有者的其他综合收益的税后净额||2,035,311.97|926,491.48
1．不能重分类进损益的其他综合收益||2,121,444.30|153,099.19
（1）重新计量设定受益计划变动额|||
（2）权益法下不能转损益的其他综合收益|||
（3）其他权益工具投资公允价值变动||2,121,444.30|153,099.19
（4）企业自身信用风险公允价值变动|||
2．将重分类进损益的其他综合收益||-86,132.33|773,392.29
（1）权益法下可转损益的其他综合收益|||
（2）其他债权投资公允价值变动|||
（3）金融资产重分类计入其他综合收益的金额|||
（4）其他债权投资信用减值准备|||
（5）现金流量套期储备|||
（6）外币财务报表折算差额||-86,132.33|773,392.29
（7）其他|||
（二）归属于少数股东的其他综合收益|||
page|69
项目|附注|2020 年度|2019 年度
的税后净额|||
七、综合收益总额||-360,136,369.44|1,503,142,202.92
（一）归属于母公司所有者的综合收益总额||-359,442,982.36|1,503,799,881.79
（二）归属于少数股东的综合收益总额||-693,387.08|-657,678.87
八、每股收益：|||
（一）基本每股收益(元/股)||-0.5728|2.3815
（二）稀释每股收益(元/股)||-0.5728|2.3815
