page|57
项目|附注|2020 年 12 月 31 日|2019 年 12 月 31 日
流动资产：|||
货币资金|七、1|283,695,395.88|230,476,515.06
结算备付金|||
拆出资金|||
交易性金融资产|七、2|989,832,965.15|953,595,833.36
衍生金融资产|||
应收票据|||
应收账款|七、5|249,442,200.95|238,743,155.73
应收款项融资|||
预付款项|七、7|508,113.18|1,267,339.43
应收保费|||
应收分保账款|||
应收分保合同准备金|||
其他应收款|七、8|10,203,691.07|7,493,799.99
其中：应收利息|||
应收股利|||
买入返售金融资产|||
存货|七、9|409,331.26|760,583.76
合同资产|||不适用
持有待售资产|||
一年内到期的非流动资产|||
其他流动资产|七、13|17,612.35|89,413.67
流动资产合计||1,534,109,309.84|1,432,426,641.00
非流动资产：|||
发放贷款和垫款|||
债权投资|七、14|205,270,833.33|
其他债权投资|||
长期应收款|||
长期股权投资|七、17|35,637,728.11|31,891,495.15
其他权益工具投资|||
page|58
其他非流动金融资产|||
投资性房地产|||
固定资产|七、21|2,627,983,656.20|2,728,431,028.00
在建工程|七、22|6,414,405.31|6,650,311.54
生产性生物资产|||
油气资产|||
使用权资产|||
无形资产|七、26|126,282,445.48|131,076,070.19
开发支出|||
商誉|||
长期待摊费用|七、29|189,163,159.53|212,943,954.94
递延所得税资产|七、30|7,252,313.27|8,550,206.10
其他非流动资产|七、31|2,810,916.12|4,145,164.48
非流动资产合计||3,200,815,457.35|3,123,688,230.40
资产总计||4,734,924,767.19|4,556,114,871.40
流动负债：|||
短期借款|七、32|8,511,741.67|
向中央银行借款|||
拆入资金|||
交易性金融负债|||
衍生金融负债|||
应付票据|七、35|130,868,604.29|
应付账款|七、36|239,630,035.73|218,530,358.46
预收款项|七、37|14,622,591.74|30,387,540.95
合同负债|七、38|26,237,742.06|
卖出回购金融资产款|||
吸收存款及同业存放|||
代理买卖证券款|||
代理承销证券款|||
应付职工薪酬|七、39|136,278,185.91|141,017,067.56
应交税费|七、40|37,482,176.08|64,853,583.08
其他应付款|七、41|139,440,192.22|126,273,426.12
其中：应付利息|||
应付股利|||
应付手续费及佣金|||
应付分保账款|||
持有待售负债|||
page|59
一年内到期的非流动负债|||
其他流动负债|七、44|1,574,264.51|
流动负债合计||734,645,534.21|581,061,976.17
非流动负债：|||
保险合同准备金|||
长期借款|||
应付债券|||
其中：优先股|||
永续债|||
租赁负债|||
长期应付款|||
长期应付职工薪酬|||
预计负债|||
递延收益|七、51|10,452,937.64|16,606,269.80
递延所得税负债|七、30|1,458,241.29|
其他非流动负债|||
非流动负债合计||11,911,178.93|16,606,269.80
负债合计||746,556,713.14|597,668,245.97
所有者权益（或股东权益）：|||
实收资本（或股本）|七、53|297,810,000.00|297,810,000.00
其他权益工具|||
其中：优先股|||
永续债|||
资本公积|七、55|180,987,949.91|180,987,949.91
减：库存股|||
其他综合收益|||
专项储备|||
盈余公积|七、59|489,996,140.68|489,996,140.68
一般风险准备|||
未分配利润|七、60|2,780,759,168.91|2,767,098,638.14
归属于母公司所有者权益（或股东权益）合计||3,749,553,259.50|3,735,892,728.73
少数股东权益||238,814,794.55|222,553,896.70
所有者权益（或股东权益）合计||3,988,368,054.05|3,958,446,625.43
负债和所有者权益（或股东权益）总计||4,734,924,767.19|4,556,114,871.40
