page|106
项目|2020 年度|2019 年度
一、营业总收入|1,105,975,660.51|781,439,077.18
其中：营业收入|1,105,975,660.51|781,439,077.18
利息收入||
已赚保费||
手续费及佣金收入||
二、营业总成本|996,174,849.96|968,963,945.43
其中：营业成本|720,786,721.40|566,844,124.95
利息支出||
手续费及佣金支出||
退保金||
赔付支出净额||
提取保险责任合同准备金净额||
page|107
保单红利支出||
分保费用||
税金及附加|9,138,436.37|6,626,019.04
销售费用|87,767,558.31|136,795,463.42
管理费用|121,807,959.45|148,514,759.85
研发费用|34,642,205.02|38,227,917.10
财务费用|22,031,969.41|71,955,661.07
其中：利息费用|20,186,103.88|70,148,172.34
利息收入|184,101.13|179,698.35
加：其他收益|51,530,586.56|9,415,725.45
投资收益（损失以“－”号填列）|-2,721,036.91|-659,425.29
其中：对联营企业和合营企业的投资收益|-4,623,525.68|-21,652,299.71
以摊余成本计量的金融资产终止确认收益||
汇兑收益（损失以“-”号填列）||
净敞口套期收益（损失以“－”号填列）||
公允价值变动收益（损失以“－”号填列）|3,519,916.25|
信用减值损失（损失以“-”号填列）|-7,594,920.85|-881,558,984.49
资产减值损失（损失以“-”号填列）|636,218.52|-77,147,305.37
资产处置收益（损失以“-”号填列）|566,042.83|308,160.67
三、营业利润（亏损以“－”号填列）|155,737,616.95|-1,137,166,697.28
加：营业外收入|4,640,434.81|5,669,262.47
减：营业外支出|77,209,151.45|240,034,341.07
四、利润总额（亏损总额以“－”号填列）|83,168,900.31|-1,371,531,775.88
减：所得税费用|21,112,123.24|11,266,845.56
五、净利润（净亏损以“－”号填列）|62,056,777.07|-1,382,798,621.44
（一）按经营持续性分类||
1.持续经营净利润（净亏损以“－”号填列）|62,056,777.07|-1,382,798,621.44
page|108
2.终止经营净利润（净亏损以“－”号填列）||
（二）按所有权归属分类||
1.归属于母公司股东的净利润|58,309,771.84|-1,366,532,070.61
2.少数股东损益|3,747,005.23|-16,266,550.83
六、其他综合收益的税后净额|-18,544,716.69|7,007,620.01
归属母公司所有者的其他综合收益的税后净额|-16,705,609.36|6,312,596.83
（一）不能重分类进损益的其他综合收益|-16,700,281.10|6,311,258.88
1.重新计量设定受益计划变动额||
2.权益法下不能转损益的其他综合收益||
3.其他权益工具投资公允价值变动|-16,700,281.10|6,311,258.88
4.企业自身信用风险公允价值变动||
5.其他||
（二）将重分类进损益的其他综合收益|-5,328.26|1,337.95
1.权益法下可转损益的其他综合收益||
2.其他债权投资公允价值变动||
3.金融资产重分类计入其他综合收益的金额||
4.其他债权投资信用减值准备||
5.现金流量套期储备||
6.外币财务报表折算差额|-5,328.26|1,337.95
7.其他||
归属于少数股东的其他综合收益的税后净额|-1,839,107.33|695,023.18
七、综合收益总额|43,512,060.38|-1,375,791,001.43
归属于母公司所有者的综合收益总额|41,604,162.48|-1,360,219,473.78
page|109
归属于少数股东的综合收益总额|1,907,897.90|-15,571,527.65
八、每股收益：||
（一）基本每股收益|0.0530|-1.2424
（二）稀释每股收益|0.0530|-1.2424
