page|77
项目|2020 年度|2019 年度
一、经营活动产生的现金流量：||
销售商品、提供劳务收到的现金|3,667,558,553.21|3,963,613,544.02
客户存款和同业存放款项净增加额||
向中央银行借款净增加额||
向其他金融机构拆入资金净增加额||
收到原保险合同保费取得的现金||
收到再保业务现金净额||
保户储金及投资款净增加额||
收取利息、手续费及佣金的现金||
拆入资金净增加额||
回购业务资金净增加额||
代理买卖证券收到的现金净额||
收到的税费返还|2,561,154.58|
收到其他与经营活动有关的现金|15,211,915.33|11,882,930.54
经营活动现金流入小计|3,685,331,623.12|3,975,496,474.56
购买商品、接受劳务支付的现金|2,410,133,101.03|2,689,551,638.15
page|78
客户贷款及垫款净增加额||
存放中央银行和同业款项净增加额||
支付原保险合同赔付款项的现金||
拆出资金净增加额||
支付利息、手续费及佣金的现金||
支付保单红利的现金||
支付给职工以及为职工支付的现金|464,284,199.16|527,378,797.99
支付的各项税费|192,731,936.97|234,885,696.25
支付其他与经营活动有关的现金|284,540,303.64|316,197,170.08
经营活动现金流出小计|3,351,689,540.80|3,768,013,302.47
经营活动产生的现金流量净额|333,642,082.32|207,483,172.09
二、投资活动产生的现金流量：||
收回投资收到的现金|474,500,000.00|16,505,442.93
取得投资收益收到的现金|9,855,754.94|25,055,434.92
处置固定资产、无形资产和其他长期资产收回的现金净额|451,971.00|16,291,691.43
处置子公司及其他营业单位收到的现金净额||
收到其他与投资活动有关的现金|629,500,000.00|2,506,143,102.85
投资活动现金流入小计|1,114,307,725.94|2,563,995,672.13
购建固定资产、无形资产和其他长期资产支付的现金|25,155,077.93|191,342,911.19
投资支付的现金||193,174.33
质押贷款净增加额||
取得子公司及其他营业单位支付的现金净额||
支付其他与投资活动有关的现金|742,643,102.85|2,115,000,000.00
投资活动现金流出小计|767,798,180.78|2,306,536,085.52
投资活动产生的现金流量净额|346,509,545.16|257,459,586.61
三、筹资活动产生的现金流量：||
吸收投资收到的现金||
其中：子公司吸收少数股东投资收到的现金||
取得借款收到的现金|1,111,691,448.89|1,030,532,008.32
page|79
收到其他与筹资活动有关的现金|5,318,151.82|3,078,103.38
筹资活动现金流入小计|1,117,009,600.71|1,033,610,111.70
偿还债务支付的现金|1,312,399,688.89|1,445,000,000.00
分配股利、利润或偿付利息支付的现金|142,457,662.00|77,433,555.63
其中：子公司支付给少数股东的股利、利润||
支付其他与筹资活动有关的现金|3,078,103.38|3,143,213.40
筹资活动现金流出小计|1,457,935,454.27|1,525,576,769.03
筹资活动产生的现金流量净额|-340,925,853.56|-491,966,657.33
四、汇率变动对现金及现金等价物的影响|-4,516,271.85|691,255.08
五、现金及现金等价物净增加额|334,709,502.07|-26,332,643.55
加：期初现金及现金等价物余额|470,802,533.47|497,135,177.02
六、期末现金及现金等价物余额|805,512,035.54|470,802,533.47
