page|73
项目|2020 年 12 月 31 日|2019 年 12 月 31 日
流动资产：||
货币资金|71,846,539.49|16,080,788.18
结算备付金||
拆出资金||
交易性金融资产||
衍生金融资产||
应收票据||
应收账款|45,822,660.47|51,868,519.49
应收款项融资|3,649,254.67|9,897,386.57
预付款项|3,034,613.92|33,724,000.59
应收保费||
应收分保账款||
应收分保合同准备金||
其他应收款|15,736,674.46|58,255,943.73
其中：应收利息||
应收股利||
买入返售金融资产||
存货|63,391,290.51|87,124,337.79
合同资产||
持有待售资产||
一年内到期的非流动资产||
其他流动资产|4,019,116.12|3,346,759.81
流动资产合计|207,500,149.64|260,297,736.16
非流动资产：||
发放贷款和垫款||
page|74
债权投资||
其他债权投资||
长期应收款||
长期股权投资||
其他权益工具投资||
其他非流动金融资产||
投资性房地产||
固定资产|326,100,841.20|345,561,018.21
在建工程||6,296,768.33
生产性生物资产||
油气资产||
使用权资产||
无形资产|35,736,026.67|37,803,351.53
开发支出|2,524,431.17|3,537,739.96
商誉||
长期待摊费用||
递延所得税资产|11,293,659.35|9,242,114.13
其他非流动资产|31,800,000.00|
非流动资产合计|407,454,958.39|402,440,992.16
资产总计|614,955,108.03|662,738,728.32
流动负债：||
短期借款|212,862,396.55|216,362,397.55
向中央银行借款||
拆入资金||
交易性金融负债||
衍生金融负债||
应付票据||
应付账款|51,780,522.85|46,948,942.80
预收款项||9,742,021.20
合同负债|8,738,855.70|
卖出回购金融资产款||
吸收存款及同业存放||
代理买卖证券款||
代理承销证券款||
page|75
应付职工薪酬|8,117,206.10|8,687,229.98
应交税费|10,853,679.55|12,960,049.72
其他应付款|90,881,856.21|47,563,237.49
其中：应付利息||
应付股利||
应付手续费及佣金||
应付分保账款||
持有待售负债||
一年内到期的非流动负债|812,793,051.08|
其他流动负债|1,136,051.24|
流动负债合计|1,197,163,619.28|342,263,878.74
非流动负债：||
保险合同准备金||
长期借款||24,500,000.00
应付债券||
其中：优先股||
永续债||
租赁负债||
长期应付款||
长期应付职工薪酬||
预计负债|303,244,357.46|102,000,000.00
递延收益|18,973,559.60|23,249,489.88
递延所得税负债||
其他非流动负债||
非流动负债合计|322,217,917.06|149,749,489.88
负债合计|1,519,381,536.34|492,013,368.62
所有者权益：||
股本|753,778,212.00|753,778,212.00
其他权益工具||
其中：优先股||
永续债||
资本公积|384,316,933.32|384,316,933.32
减：库存股||
其他综合收益|-47,041,100.00|-47,041,100.00
page|76
专项储备||
盈余公积|23,326,052.58|23,326,052.58
一般风险准备||
未分配利润|-2,018,806,526.21|-943,654,738.20
归属于母公司所有者权益合计|-904,426,428.31|170,725,359.70
少数股东权益||
所有者权益合计|-904,426,428.31|170,725,359.70
负债和所有者权益总计|614,955,108.03|662,738,728.32
