page|114
项目|2020 年度|2019 年度
一、营业总收入|580,791,544.30|702,153,143.62
其中：营业收入|580,791,544.30|702,153,143.62
利息收入||
已赚保费||
手续费及佣金收入||
二、营业总成本|669,673,629.30|868,329,379.82
其中：营业成本|489,235,803.10|578,679,426.40
利息支出||
手续费及佣金支出||
退保金||
赔付支出净额||
提取保险责任合同准备金净额||
保单红利支出||
分保费用||
税金及附加|8,237,456.95|11,107,273.35
销售费用|24,940,001.42|98,267,355.88
管理费用|84,553,798.15|109,909,126.05
研发费用||
财务费用|62,706,569.68|70,366,198.14
其中：利息费用|67,595,534.25|70,204,445.89
利息收入|4,235,665.24|2,746,232.55
加：其他收益|32,423,601.13|9,335,552.64
投资收益（损失以“－”号填列）|98,230,043.93|193,435.43
其中：对联营企业和合营企业的投资收益|-937,425.55|-780,614.57
以摊余成本计量的金融资产终止确认收益||
汇兑收益（损失以“-”号填列）||
净敞口套期收益（损失以“－”号填列）||
公允价值变动收益（损失以“－”号填列）|-2,541,000.00|4,295,500.00
信用减值损失（损失以“-”号填|-34,672,411.31|-98,659,155.81
page|115
列）||
资产减值损失（损失以“-”号填列）|-2,175,169.35|-18,829,839.75
资产处置收益（损失以“-”号填列）|26,211,417.07|12,207,920.77
三、营业利润（亏损以“－”号填列）|28,594,396.47|-257,632,822.92
加：营业外收入|2,334,424.98|5,411,816.04
减：营业外支出|140,642.25|5,953,055.38
四、利润总额（亏损总额以“－”号填列）|30,788,179.20|-258,174,062.26
减：所得税费用|-5,933,499.61|-21,373,476.97
五、净利润（净亏损以“－”号填列）|36,721,678.81|-236,800,585.29
（一）按经营持续性分类||
1.持续经营净利润（净亏损以“－”号填列）|81,108,868.31|-100,164,609.61
2.终止经营净利润（净亏损以“－”号填列）|-44,387,189.50|-136,635,975.68
（二）按所有权归属分类||
1.归属于母公司股东的净利润|36,383,347.08|-235,965,814.03
2.少数股东损益|338,331.73|-834,771.26
六、其他综合收益的税后净额|-12,289,712.63|-281,108.30
归属母公司所有者的其他综合收益的税后净额|-12,289,712.63|-281,108.30
（一）不能重分类进损益的其他综合收益|-12,319,170.79|-575,991.81
1.重新计量设定受益计划变动额||
2.权益法下不能转损益的其他综合收益||
3.其他权益工具投资公允价值变动|-12,319,170.79|-575,991.81
4.企业自身信用风险公允价值变动||
5.其他||
（二）将重分类进损益的其他综合收益|29,458.16|294,883.51
1.权益法下可转损益的其他综合收益||
page|116
2.其他债权投资公允价值变动||
3.金融资产重分类计入其他综合收益的金额||
4.其他债权投资信用减值准备||
5.现金流量套期储备||
6.外币财务报表折算差额||-127,109.49
7.其他|29,458.16|421,993.00
归属于少数股东的其他综合收益的税后净额||
七、综合收益总额|24,431,966.18|-237,081,693.59
归属于母公司所有者的综合收益总额|24,093,634.45|-236,246,922.33
归属于少数股东的综合收益总额|338,331.73|-834,771.26
八、每股收益：||
（一）基本每股收益|0.11|-0.7
（二）稀释每股收益|0.11|-0.7
