page|131
贵阳银行股份有限公司|||
合并资产负债表|||
2020 年 12 月 31 日|||人民币千元
资产|附注五|2020年12月31日|2019年12月31日
现金及存放中央银行款项|1|42,476,799|45,586,752
存放同业款项|2|9,980,382|9,037,684
衍生金融资产|3|54|-
买入返售金融资产|4|6,949,833|6,340,063
发放贷款及垫款|5|222,113,548|196,474,943
金融投资|6||
—交易性金融资产|6.1|36,242,947|35,166,808
—债权投资|6.2|187,343,305|192,283,705
—其他债权投资|6.3|49,147,615|43,750,868
—其他权益工具投资|6.4|293,844|293,844
长期应收款|7|24,553,318|22,074,373
固定资产|8|3,996,446|4,182,962
无形资产|9|185,877|173,702
递延所得税资产|10|3,874,899|2,766,653
其他资产|11|3,521,477|2,266,933
资产总计||590,680,344|560,399,290
