page|59
项目|附注|2020 年 12 月 31 日|2019 年 12 月 31 日
流动资产：|||
货币资金||512,201,820.54|642,753,720.66
结算备付金|||
拆出资金|||
交易性金融资产||17,369,000.00|
衍生金融资产|||
应收票据||129,969,990.81|123,054,272.56
应收账款||742,377,270.66|704,345,947.91
应收款项融资|||
预付款项||27,621,091.65|23,243,265.03
应收保费|||
应收分保账款|||
应收分保合同准备金|||
其他应收款||31,722,130.76|18,252,025.69
page|60
其中：应收利息|||
应收股利|||
买入返售金融资产|||
存货||733,662,539.23|692,736,226.50
合同资产|||
持有待售资产|||
一年内到期的非流动资产|||
其他流动资产||35,715,229.16|69,394,244.67
流动资产合计||2,230,639,072.81|2,273,779,703.02
非流动资产：|||
发放贷款和垫款|||
债权投资|||
其他债权投资|||
长期应收款|||
长期股权投资||20,000,000.00|17,701,137.58
其他权益工具投资||60,000,000.00|50,000,000.00
其他非流动金融资产||47,842,335.15|35,362,109.43
投资性房地产||32,811,346.77|33,694,824.59
固定资产||944,658,020.43|867,803,942.48
在建工程||242,264,442.67|131,756,109.60
生产性生物资产|||
油气资产|||
使用权资产|||
无形资产||103,345,900.23|102,159,406.00
开发支出|||
商誉||165,925,945.97|158,734,731.81
长期待摊费用||917,724.02|1,613,818.35
递延所得税资产||28,653,380.27|31,221,023.82
其他非流动资产||36,276,616.21|46,726,694.43
非流动资产合计||1,682,695,711.72|1,476,773,798.09
资产总计||3,913,334,784.53|3,750,553,501.11
流动负债：|||
短期借款||363,177,806.06|243,633,192.52
向中央银行借款|||
拆入资金|||
交易性金融负债|||
衍生金融负债|||
应付票据||78,254,146.89|103,983,176.61
应付账款||595,168,953.90|560,984,196.60
预收款项||1,117,315.02|8,586,876.73
合同负债||11,331,950.99|
卖出回购金融资产款|||
吸收存款及同业存放|||
代理买卖证券款|||
代理承销证券款|||
应付职工薪酬||143,070,084.87|102,373,654.71
应交税费||47,353,181.94|50,027,383.43
其他应付款||35,216,480.27|55,274,913.20
page|61
其中：应付利息|||
应付股利|||1,297,397.50
应付手续费及佣金|||
应付分保账款|||
持有待售负债|||
一年内到期的非流动负债||380,454,269.58|286,757,423.32
其他流动负债||1,131,842.69|
流动负债合计||1,656,276,032.21|1,411,620,817.12
非流动负债：|||
保险合同准备金|||
长期借款||542,007,777.99|585,670,128.04
应付债券|||
其中：优先股|||
永续债|||
租赁负债|||
长期应付款||268,369,653.48|400,886,047.78
长期应付职工薪酬|||
预计负债||19,325,426.14|700,723.99
递延收益||54,137,675.69|61,905,144.19
递延所得税负债||738,724.09|238,665.83
其他非流动负债|||
非流动负债合计||884,579,257.39|1,049,400,709.83
负债合计||2,540,855,289.60|2,461,021,526.95
所有者权益（或股东权益）：|||
实收资本（或股本）||165,133,017.00|166,077,947.00
其他权益工具|||
其中：优先股|||
永续债|||
资本公积||129,481,566.23|166,027,101.83
减：库存股||21,957,606.00|38,067,169.00
其他综合收益||15,662,341.60|10,847,477.73
专项储备|||
盈余公积||51,150,891.12|40,833,615.84
一般风险准备|||
未分配利润||811,205,774.04|689,502,340.48
归属于母公司所有者权益（或股东权益）合计||1,150,675,983.99|1,035,221,313.88
少数股东权益||221,803,510.94|254,310,660.28
所有者权益（或股东权益）合计||1,372,479,494.93|1,289,531,974.16
负债和所有者权益（或股东权益）总计||3,913,334,784.53|3,750,553,501.11
