page|95
项目|2020 年度|2019 年度
一、营业总收入|427,984,778.72|585,575,782.24
其中：营业收入|427,984,778.72|585,575,782.24
利息收入|44,583,780.89|11,425,603.53
已赚保费||
手续费及佣金收入||
二、营业总成本|592,244,192.12|733,105,670.62
其中：营业成本|418,702,339.26|535,266,772.86
利息支出||
手续费及佣金支出||
退保金||
赔付支出净额||
page|96
提取保险责任合同准备金净额||
保单红利支出||
分保费用||
税金及附加|8,136,160.01|8,713,307.00
销售费用|22,811,520.19|33,717,272.75
管理费用|100,210,578.23|104,472,892.42
研发费用|4,212,312.93|8,225,525.06
财务费用|38,171,281.50|42,709,900.53
其中：利息费用|69,459,108.71|61,394,558.35
利息收入|44,583,780.89|11,425,603.53
加：其他收益|12,054,875.27|10,787,351.74
投资收益（损失以“－”号填列）|-10,302,162.82|384,064.39
其中：对联营企业和合营企业的投资收益|-13,869,261.98|-1,600,000.00
以摊余成本计量的金融资产终止确认收益||
汇兑收益（损失以“-”号填列）||
净敞口套期收益（损失以“－”号填列）||
公允价值变动收益（损失以“－”号填列）|42,236.73|1,575,061.32
信用减值损失（损失以“-”号填列）|-211,130,527.24|-200,214,888.63
资产减值损失（损失以“-”号填列）|-18,368,239.50|-543,873,078.39
资产处置收益（损失以“-”号填列）|87,084,492.12|-176,391.74
三、营业利润（亏损以“－”号填列）|-304,878,738.84|-879,047,769.69
加：营业外收入|10,089,149.10|104,713.65
减：营业外支出|4,756,871.64|150,259,321.69
四、利润总额（亏损总额以“－”号填列）|-299,546,461.38|-1,029,202,377.73
减：所得税费用|33,920.00|271,395.11
五、净利润（净亏损以“－”号填列）|-299,580,381.38|-1,029,473,772.84
page|97
（一）按经营持续性分类||
1.持续经营净利润（净亏损以“－”号填列）|-299,580,381.38|-1,029,473,772.84
2.终止经营净利润（净亏损以“－”号填列）||
（二）按所有权归属分类||
1.归属于母公司股东的净利润|-299,413,811.66|-1,020,993,843.41
2.少数股东损益|-166,569.72|-8,479,929.43
六、其他综合收益的税后净额|-4,328,641.45|1,403,628.24
归属母公司所有者的其他综合收益的税后净额|-4,328,641.45|1,403,628.24
（一）不能重分类进损益的其他综合收益||
1.重新计量设定受益计划变动额||
2.权益法下不能转损益的其他综合收益||
3.其他权益工具投资公允价值变动||
4.企业自身信用风险公允价值变动||
5.其他||
（二）将重分类进损益的其他综合收益|-4,328,641.45|1,403,628.24
1.权益法下可转损益的其他综合收益||
2.其他债权投资公允价值变动||
3.金融资产重分类计入其他综合收益的金额||
4.其他债权投资信用减值准备||
5.现金流量套期储备||
6.外币财务报表折算差额|-4,328,641.45|1,403,628.24
7.其他||
归属于少数股东的其他综合收益的税后净额||
page|98
七、综合收益总额|-303,909,022.83|-1,028,070,144.60
归属于母公司所有者的综合收益总额|-303,742,453.11|-1,019,590,215.17
归属于少数股东的综合收益总额|-166,569.72|-8,479,929.43
八、每股收益：||
（一）基本每股收益|-0.40|-1.350
（二）稀释每股收益|-0.40|-1.350
