page|214
项目|2020 年度|2019 年度
一、营业总收入|733,776,474.04|521,535,156.76
其中：营业收入|733,776,474.04|521,535,156.76
利息收入||
已赚保费||
手续费及佣金收入||
二、营业总成本|748,685,335.44|599,525,466.71
其中：营业成本|482,079,244.23|355,894,118.51
利息支出||
手续费及佣金支出||
退保金||
赔付支出净额||
提取保险责任合同准备金净额||
保单红利支出||
分保费用||
税金及附加|4,943,693.38|3,498,213.30
销售费用|104,613,062.75|93,636,000.96
管理费用|84,885,287.20|90,471,189.41
研发费用|70,215,895.26|53,884,610.41
page|215
财务费用|1,948,152.62|2,141,334.12
其中：利息费用|2,309,601.75|4,261,018.72
利息收入|3,206,083.15|3,440,275.02
加：其他收益|18,820,793.51|9,908,008.20
投资收益（损失以“－”号填列）|1,150,474.39|4,256,270.43
其中：对联营企业和合营企业的投资收益||
以摊余成本计量的金融资产终止确认收益||
汇兑收益（损失以“-”号填列）||
净敞口套期收益（损失以“－”号填列）||
公允价值变动收益（损失以“－”号填列）|473,462,500.00|284,028,857.92
信用减值损失（损失以“-”号填列）|-79,538,415.41|-49,163,051.23
资产减值损失（损失以“-”号填列）|-363,816,938.28|-33,862,634.71
资产处置收益（损失以“-”号填列）|83,067.66|
三、营业利润（亏损以“－”号填列）|35,252,620.47|137,177,140.66
加：营业外收入|180,561.19|74,658,049.58
减：营业外支出|12,920,378.37|119,650,044.87
四、利润总额（亏损总额以“－”号填列）|22,512,803.29|92,185,145.37
减：所得税费用|-13,078,946.33|36,148,737.25
五、净利润（净亏损以“－”号填列）|35,591,749.62|56,036,408.12
（一）按经营持续性分类||
1.持续经营净利润（净亏损以“－”号填列）|35,591,749.62|56,036,408.12
2.终止经营净利润（净亏损以“－”号填列）||
（二）按所有权归属分类||
1.归属于母公司股东的净利润|29,891,181.51|51,571,727.71
2.少数股东损益|5,700,568.11|4,464,680.41
page|216
六、其他综合收益的税后净额||
归属母公司所有者的其他综合收益的税后净额||
（一）不能重分类进损益的其他综合收益||
1.重新计量设定受益计划变动额||
2.权益法下不能转损益的其他综合收益||
3.其他权益工具投资公允价值变动||
4.企业自身信用风险公允价值变动||
5.其他||
（二）将重分类进损益的其他综合收益||
1.权益法下可转损益的其他综合收益||
2.其他债权投资公允价值变动|-108,610.90|-28,584.70
3.金融资产重分类计入其他综合收益的金额||
4.其他债权投资信用减值准备|108,610.90|28,584.70
5.现金流量套期储备||
6.外币财务报表折算差额||
7.其他||
归属于少数股东的其他综合收益的税后净额||
七、综合收益总额|35,591,749.62|56,036,408.12
归属于母公司所有者的综合收益总额|29,891,181.51|51,571,727.71
归属于少数股东的综合收益总额|5,700,568.11|4,464,680.41
八、每股收益：||
（一）基本每股收益|0.07|0.11
（二）稀释每股收益|0.07|0.11
