page|105
项目|附注|期末余额|期初余额
流动资产：|||
货币资金|五（一）|392,024,247.83|403,361,205.92
结算备付金|||
拆出资金|||
交易性金融资产|五（二）||
以公允价值计量且其变动计入当期损益的金融资产|||3,338,100.00
衍生金融资产|||
应收票据|五（三）|110,941,338.35|113,339,145.68
应收账款|五（四）|1,026,521,767.79|1,081,342,938.11
应收款项融资|五（五）|40,403,384.61|
预付款项|五（六）|38,357,527.99|96,762,694.49
应收保费|||
应收分保账款|||
应收分保合同准备金|||
其他应收款|五（七）|120,575,583.42|39,829,210.79
其中：应收利息|||
应收股利|||73,788.78
买入返售金融资产||-|
存货|五（八）|168,570,371.60|145,529,740.02
合同资产||-|
持有待售资产|五（九）|-|51,023,020.23
一年内到期的非流动资产|五（十）|-|48,268,820.77
其他流动资产|五（十一）|16,103,134.80|16,475,841.56
流动资产合计||1,913,497,356.39|1,999,270,717.57
非流动资产：|||
发放贷款和垫款|||
债权投资|||
可供出售金融资产|||295,854,660.61
其他债权投资|五（十二）||
持有至到期投资|||
长期应收款|五（十三）|533,418,016.20|488,620,100.83
长期股权投资|五（十四）|362,143,105.21|592,205,269.60
其他权益工具投资|五（十五）|192,063,820.00|
其他非流动金融资产||-|
投资性房地产|五（十六）|79,756,313.48|81,366,427.53
固定资产|五（十七）|486,431,394.71|509,931,677.25
在建工程|五（十八）|55,503,912.41|75,812,633.80
生产性生物资产|||
page|106
油气资产|||
使用权资产|||
无形资产|五（十九）|137,707,831.18|192,821,910.09
开发支出|五（二十）|2,472,918.11|2,368,786.31
商誉|五（二十一）|720,377,719.61|1,218,097,375.82
长期待摊费用|五（二十二）|4,156,807.99|1,803,777.36
递延所得税资产|五（二十三）|51,666,804.78|69,223,968.21
其他非流动资产|五（二十四）|15,834,571.25|9,015,296.62
非流动资产合计||2,641,533,214.93|3,537,121,884.03
资产总计||4,555,030,571.32|5,536,392,601.60
page|107
流动负债：|附注|期末余额|期初余额
短期借款|五（二十五）|532,434,411.81|632,892,952.98
向中央银行借款|||-
拆入资金|||-
交易性金融负债|||-
以公允价值计量且其变动计入当期损益的金融负债|||-
衍生金融负债|||-
应付票据|五（二十六）|150,000.00|68,459,921.05
应付账款|五（二十七）|271,757,468.61|287,503,147.17
预收款项|五（二十八）|97,016,619.44|215,992,813.67
卖出回购金融资产款|||-
吸收存款及同业存放|||-
代理买卖证券款|||-
代理承销证券款|||-
应付职工薪酬|五（二十九）|27,031,275.92|18,651,503.20
应交税费|五（三十）|58,715,679.61|78,927,159.41
其他应付款|五（三十一）|587,458,693.63|320,508,205.38
其中：应付利息|||-
应付股利||22,506,247.96|23,575,226.30
应付手续费及佣金|||-
应付分保账款|||-
合同负债|||-
持有待售负债|||-
一年内到期的非流动负债|五（三十二）|131,967,559.38|62,341,591.57
其他流动负债|五（三十三）|55,044,961.05|-
流动负债合计||1,761,576,669.45|1,685,277,294.43
非流动负债：|||-
保险合同准备金|||-
长期借款|五（三十四）||
page|108
||91,468,296.66|135,970,100.44
应付债券|||-
其中：优先股|||-
永续债|||-
租赁负债|||-
长期应付款|五（三十五）|95,263,926.35|103,662,643.83
长期应付职工薪酬|||-
预计负债|五（三十六）|13,479,182.15|
递延收益|五（三十七）|602,160.00|6,296,178.93
递延所得税负债|五（二十三）|6,119,017.57|8,569,465.03
其他非流动负债|||-       -
非流动负债合计||206,932,582.73|254,498,388.23
负债合计||1,968,509,252.18|1,939,775,682.66
所有者权益：|||-
股本|五（三十八）|712,113,257.00|712,113,257.00
其他权益工具|||-
其中：优先股|||-
永续债|||-
资本公积|五（三十九）|2,526,212,372.46|2,433,099,526.59
减：库存股|||-
其他综合收益|五（四十）|47,988,753.20|33,631,143.79
专项储备|五（四十一）|8,386,261.27|7,463,685.60
盈余公积|五（四十二）|25,671,103.21|25,671,103.21
一般风险准备|||-
未分配利润|五（四十三）|-1,118,692,928.95|93,448,352.15
归属于母公司所有者权益合计||2,201,678,818.19|3,305,427,068.34
少数股东权益||384,842,500.95|291,189,850.60
所有者权益合计||2,586,521,319.14|3,596,616,918.94
负债和所有者权益总计||4,555,030,571.32|5,536,392,601.60
