page|67
项目|附注|2020 年 12 月 31 日|2019 年 12 月 31 日
流动资产：|||
货币资金|七.1|1,738,474,892.39|746,483,415.65
结算备付金|||
拆出资金|||
交易性金融资产|||
衍生金融资产|||
应收票据|七.4|41,465,521.09|111,046,731.98
应收账款|七.5|178,344,705.40|133,231,454.90
应收款项融资|七.6|233,718.59|1,244,582.00
预付款项|七.7|1,128,995,884.34|1,315,962,490.77
应收保费|||
应收分保账款|||
应收分保合同准备金|||
其他应收款|七.8|12,125,560.94|45,358,046.30
其中：应收利息|||9,708,059.16
应收股利|||
买入返售金融资产|||
存货|七.9|631,235.82|1,302,409.10
合同资产|||
持有待售资产|||
一年内到期的非流动资产|七.12|38,651,323.96|133,664,620.76
其他流动资产|七.13|6,041,516,953.75|12,623,157,185.97
流动资产合计||9,180,439,796.28|15,111,450,937.43
非流动资产：|||
发放贷款和垫款|||
债权投资|||
其他债权投资|||
长期应收款|七.16|21,181,102.27|61,913,475.33
长期股权投资|七.17|421,006,175.05|361,238,956.05
其他权益工具投资|||
其他非流动金融资产|七.19|50,000,000.00|
投资性房地产|七.20|62,922,698.62|65,798,356.42
固定资产|七.21|3,277,381.69|3,453,001.29
在建工程|||
生产性生物资产|||
油气资产|||
使用权资产|||
无形资产|七.26|1,244,469.44|1,943,157.63
开发支出|||
商誉|||
长期待摊费用|||
递延所得税资产|七.30|426.03|45,942,828.41
page|68
其他非流动资产|七.31|735,200.41|1,004,333.71
非流动资产合计||560,367,453.51|541,294,108.84
资产总计||9,740,807,249.79|15,652,745,046.27
流动负债：|||
短期借款|七.32|303,832,944.48|258,933,930.00
向中央银行借款|||
拆入资金|||
交易性金融负债|||
衍生金融负债|||
应付票据|七.35|2,690,000,000.00|1,256,000,000.00
应付账款|七.36|184,514,431.94|41,447,191.48
预收款项|||877,239,226.79
合同负债|七.38|719,468,208.67|
卖出回购金融资产款|||
吸收存款及同业存放|||
代理买卖证券款|||
代理承销证券款|||
应付职工薪酬|七.39|14,285,493.30|8,465,753.40
应交税费|七.40|503,837,736.53|543,996,842.12
其他应付款|七.41|4,421,041,147.04|472,180,701.06
其中：应付利息||690,122,677.83|150,762,377.72
应付股利||119,801,980.09|119,801,980.09
应付手续费及佣金|||
应付分保账款|||
持有待售负债|||
一年内到期的非流动负债|七.43|347,800,901.49|480,930,000.00
其他流动负债|七.44|3,472,063,764.39|2,184,168,731.98
流动负债合计||12,656,844,627.84|6,123,362,376.83
非流动负债：|||
保险合同准备金|||
长期借款|七.45|553,309,273.72|873,785,768.84
应付债券|七.46||41,271,868.91
其中：优先股|||
永续债|||
租赁负债|||
长期应付款|七.48|3,842,336.30|3,842,336.30
长期应付职工薪酬|||
预计负债|七.50|600,000.00|1,926,040.10
递延收益|||
递延所得税负债|七.30|3,270,729.17|
其他非流动负债|||
非流动负债合计||561,022,339.19|920,826,014.15
负债合计||13,217,866,967.03|7,044,188,390.98
所有者权益（或股东权益）：|||
实收资本（或股本）|七.53|1,122,447,500.00|1,122,447,500.00
其他权益工具|||
其中：优先股|||
永续债|||
page|69
资本公积|七.55|4,038,883,027.35|4,038,883,027.35
减：库存股|||
其他综合收益|||
专项储备|||
盈余公积|七.59|103,502,698.19|103,502,698.19
一般风险准备||137,425,461.77|122,661,927.18
未分配利润|七.60|-8,960,109,125.06|2,578,768,838.20
归属于母公司所有者权益（或股东权益）合计||-3,557,850,437.75|7,966,263,990.92
少数股东权益||80,790,720.51|642,292,664.37
所有者权益（或股东权益）合计||-3,477,059,717.24|8,608,556,655.29
负债和所有者权益（或股东权益）总计||9,740,807,249.79|15,652,745,046.27
