page|63
项目|附注|2020 年度|2019 年度
一、营业总收入||17,786,683,374.72|21,427,094,520.39
其中：营业收入||17,786,683,374.72|21,427,094,520.39
利息收入|||
已赚保费|||
手续费及佣金收入|||
二、营业总成本||16,567,629,036.88|19,887,316,893.75
其中：营业成本||15,858,053,636.00|19,236,451,739.01
利息支出|||
手续费及佣金支出|||
退保金|||
赔付支出净额|||
提取保险责任准备金净额|||
保单红利支出|||
分保费用|||
税金及附加||67,316,216.85|103,397,275.78
销售费用||5,291,430.92|8,956,435.16
管理费用||376,526,454.61|398,850,835.38
研发费用||74,792,080.36|73,445,089.16
财务费用||185,649,218.14|66,215,519.26
其中：利息费用||237,562,260.87|185,416,827.88
利息收入||80,600,108.13|102,216,717.85
加：其他收益||15,408,551.81|10,622,628.74
投资收益（损失以“－”号填列）||24,799,746.89|29,115,518.51
其中：对联营企业和合营企业的投资收益||42,360,487.51|15,975,716.88
以摊余成本计量的金融|||
page|64
资产终止确认收益|||
汇兑收益（损失以“－”号填列）|||
净敞口套期收益（损失以“-”号填列）|||
公允价值变动收益（损失以“－”号填列）||406,480.00|35,283,046.98
信用减值损失（损失以“-”号填列）||-169,952,722.93|-128,237,835.76
资产减值损失（损失以“-”号填列）||38,022,355.19|-252,695.30
资产处置收益（损失以“－”号填列）||10,753,086.78|1,140,947.71
三、营业利润（亏损以“－”号填列）||1,138,491,835.58|1,487,449,237.52
加：营业外收入||2,078,628.31|410,393.84
减：营业外支出||17,459,804.49|9,792,723.92
四、利润总额（亏损总额以“－”号填列）||1,123,110,659.40|1,478,066,907.44
减：所得税费用||290,170,386.49|444,736,822.66
五、净利润（净亏损以“－”号填列）||832,940,272.91|1,033,330,084.78
（一）按经营持续性分类|||
1.持续经营净利润（净亏损以“－”号填列）||832,940,272.91|1,033,330,084.78
2.终止经营净利润（净亏损以“－”号填列）|||
（二）按所有权归属分类|||
1.归属于母公司股东的净利润（净亏损以“-”号填列）||808,940,712.64|1,020,747,158.55
2.少数股东损益（净亏损以“-”号填列）||23,999,560.27|12,582,926.23
六、其他综合收益的税后净额||9,793,109.34|-11,376,266.54
（一）归属母公司所有者的其他综合收益的税后净额||9,793,109.34|-11,376,266.54
1．不能重分类进损益的其他综合收益||-3,115,981.91|-3,634,113.04
（1）重新计量设定受益计划变动额|||
（2）权益法下不能转损益的其他综合收益|||
（3）其他权益工具投资公允价值变动||-3,115,981.91|-3,634,113.04
（4）企业自身信用风险公允价值变动|||
2．将重分类进损益的其他综合收益||12,909,091.25|-7,742,153.50
（1）权益法下可转损益的其他综合收益|||
（2）其他债权投资公允价值变动|||
（3）金融资产重分类计入其他综|||
page|65
合收益的金额|||
（4）其他债权投资信用减值准备|||
（5）现金流量套期储备|||
（6）外币财务报表折算差额||12,909,091.25|-7,742,153.50
（7）其他|||
（二）归属于少数股东的其他综合收益的税后净额|||
七、综合收益总额||842,733,382.25|1,021,953,818.24
（一）归属于母公司所有者的综合收益总额||818,733,821.98|1,009,370,892.01
（二）归属于少数股东的综合收益总额||23,999,560.27|12,582,926.23
八、每股收益：|||
（一）基本每股收益(元/股)||0.53|0.67
（二）稀释每股收益(元/股)||0.53|0.67
