page|74
项目|2020 年度|2019 年度
一、营业总收入|414,905,858.59|430,124,887.94
其中：营业收入|414,905,858.59|430,124,887.94
利息收入||
已赚保费||
手续费及佣金收入||
二、营业总成本|327,107,239.00|344,992,770.05
其中：营业成本|243,694,564.28|294,872,210.59
利息支出||
手续费及佣金支出||
退保金||
赔付支出净额||
提取保险责任合同准备金净额||
保单红利支出||
分保费用||
税金及附加|4,537,207.37|3,073,797.67
销售费用|26,227,365.96|11,926,302.75
管理费用|21,345,972.49|15,070,166.90
研发费用|28,737,567.93|20,343,053.62
财务费用|2,564,560.97|-292,761.48
其中：利息费用|703,715.59|
利息收入|887,120.86|295,225.19
加：其他收益|1,707,428.54|1,349,139.19
投资收益（损失以“－”号填|4,634,787.12|5,223,260.42
page|75
列）||
其中：对联营企业和合营企业的投资收益||
以摊余成本计量的金融资产终止确认收益||
汇兑收益（损失以“-”号填列）||
净敞口套期收益（损失以“－”号填列）||
公允价值变动收益（损失以“－”号填列）|91,079.73|48,555.43
信用减值损失（损失以“-”号填列）|-2,156,126.59|-4,564,763.99
资产减值损失（损失以“-”号填列）|249,999.88|-145,032.47
资产处置收益（损失以“-”号填列）|-49,951.78|-737.69
三、营业利润（亏损以“－”号填列）|92,275,836.49|87,042,538.78
加：营业外收入|400,992.00|
减：营业外支出|1,925,252.78|21,135.48
四、利润总额（亏损总额以“－”号填列）|90,751,575.71|87,021,403.30
减：所得税费用|11,131,199.21|11,112,821.41
五、净利润（净亏损以“－”号填列）|79,620,376.50|75,908,581.89
（一）按经营持续性分类||
1.持续经营净利润（净亏损以“－”号填列）|79,620,376.50|75,908,581.89
2.终止经营净利润（净亏损以“－”号填列）||
（二）按所有权归属分类||
1.归属于母公司股东的净利润|71,280,324.45|60,936,979.84
2.少数股东损益|8,340,052.05|14,971,602.05
六、其他综合收益的税后净额||
归属母公司所有者的其他综合收益的税后净额||
（一）不能重分类进损益的其他综合收益||
1.重新计量设定受益计划变动额||
page|76
2.权益法下不能转损益的其他综合收益||
3.其他权益工具投资公允价值变动||
4.企业自身信用风险公允价值变动||
5.其他||
（二）将重分类进损益的其他综合收益||
1.权益法下可转损益的其他综合收益||
2.其他债权投资公允价值变动||
3.金融资产重分类计入其他综合收益的金额||
4.其他债权投资信用减值准备||
5.现金流量套期储备||
6.外币财务报表折算差额||
7.其他||
归属于少数股东的其他综合收益的税后净额||
七、综合收益总额|79,620,376.50|75,908,581.89
归属于母公司所有者的综合收益总额|71,280,324.45|60,936,979.84
归属于少数股东的综合收益总额|8,340,052.05|14,971,602.05
八、每股收益：||
（一）基本每股收益|0.80|0.68
（二）稀释每股收益|0.78|0.68
