page|70
项目|2020 年 12 月 31 日|2019 年 12 月 31 日
流动资产：||
货币资金|798,859,151.37|1,249,904,079.06
结算备付金||
拆出资金||
交易性金融资产||
衍生金融资产||
应收票据|143,264,297.24|300,145,806.50
应收账款|911,405,913.06|1,361,026,671.81
应收款项融资|7,500,000.00|25,950,000.00
预付款项|745,772,955.78|483,416,908.81
应收保费||
应收分保账款||
应收分保合同准备金||
其他应收款|680,729,851.45|1,007,981,537.29
其中：应收利息||
应收股利||
买入返售金融资产||
存货|424,923,416.94|230,987,611.51
合同资产|692,859,894.17|
持有待售资产||
一年内到期的非流动资产||
其他流动资产|584,774,106.37|552,677,602.43
流动资产合计|4,990,089,586.38|5,212,090,217.41
非流动资产：||
发放贷款和垫款||
债权投资||
其他债权投资||
长期应收款||626,946,406.52
长期股权投资|32,844,642.93|53,268,338.02
其他权益工具投资|3,600,000.00|5,662,000.00
其他非流动金融资产||
投资性房地产|199,878,641.96|87,341,110.58
固定资产|1,738,943,294.20|1,762,526,349.31
在建工程|391,463,072.91|236,565,370.11
生产性生物资产||
油气资产||
page|71
使用权资产||
无形资产|743,753,116.51|823,650,017.55
开发支出|8,834,887.03|9,995,399.01
商誉|491,640,624.49|1,036,417,644.95
长期待摊费用|34,333,573.23|27,678,172.84
递延所得税资产|75,325,108.51|65,354,180.53
其他非流动资产|9,048,321.63|10,631,967.18
非流动资产合计|3,729,665,283.40|4,746,036,956.60
资产总计|8,719,754,869.78|9,958,127,174.01
流动负债：||
短期借款|1,773,546,880.28|2,196,331,019.51
向中央银行借款||
拆入资金||
交易性金融负债||
衍生金融负债|278,000.00|9,997,400.00
应付票据|782,379,303.40|851,554,128.98
应付账款|272,720,402.22|431,367,673.51
预收款项||94,421,996.06
合同负债|101,167,341.58|
卖出回购金融资产款||
吸收存款及同业存放||
代理买卖证券款||
代理承销证券款||
应付职工薪酬|40,608,035.32|32,775,334.95
应交税费|27,419,095.73|62,518,997.01
其他应付款|596,534,049.44|492,839,551.28
其中：应付利息||
应付股利|6,302,240.00|4,381,600.00
应付手续费及佣金||
应付分保账款||
持有待售负债||
一年内到期的非流动负债|566,250,000.00|498,470,037.57
其他流动负债|432,950,442.41|236,072,833.11
流动负债合计|4,593,853,550.38|4,906,348,971.98
非流动负债：||
保险合同准备金||
长期借款|1,279,954,261.68|1,109,501,534.40
应付债券||
其中：优先股||
永续债||
租赁负债||
长期应付款|109,546,633.69|179,324,523.28
长期应付职工薪酬||
page|72
预计负债|22,599,581.51|39,217,319.66
递延收益|294,287,051.67|267,903,337.89
递延所得税负债|17,522,641.17|18,167,590.45
其他非流动负债||
非流动负债合计|1,723,910,169.72|1,614,114,305.68
负债合计|6,317,763,720.10|6,520,463,277.66
所有者权益：||
股本|562,368,594.00|562,368,594.00
其他权益工具||
其中：优先股||
永续债||
资本公积|1,345,766,923.67|1,374,429,067.55
减：库存股||
其他综合收益|-278,000.00|-9,997,400.00
专项储备|7,538,668.90|6,897,148.60
盈余公积|76,760,607.13|76,760,607.13
一般风险准备||
未分配利润|-59,924,147.68|892,449,468.24
归属于母公司所有者权益合计|1,932,232,646.02|2,902,907,485.52
少数股东权益|469,758,503.66|534,756,410.83
所有者权益合计|2,401,991,149.68|3,437,663,896.35
负债和所有者权益总计|8,719,754,869.78|9,958,127,174.01
