page|176
项目|2021 年 12 月 31 日|2020 年 12 月 31 日
流动资产：||
货币资金|467,884,656.16|191,467,411.54
结算备付金||
拆出资金||
交易性金融资产||8,069,078.24
衍生金融资产||
应收票据|343,214,263.49|268,160,819.87
应收账款|576,163,875.48|473,689,597.90
应收款项融资|26,978,590.89|56,310,773.89
预付款项|61,221,530.82|24,560,938.82
应收保费||
应收分保账款||
应收分保合同准备金||
其他应收款|24,154,189.83|13,132,506.69
其中：应收利息||
应收股利||
买入返售金融资产||
存货|893,069,771.21|545,680,258.11
合同资产||
持有待售资产||
一年内到期的非流动资产||
其他流动资产|59,127,385.64|42,721,196.33
流动资产合计|2,451,814,263.52|1,623,792,581.39
非流动资产：||
发放贷款和垫款||
债权投资||
page|177
其他债权投资||
长期应收款||
长期股权投资||
其他权益工具投资|250,000.00|250,000.00
其他非流动金融资产||
投资性房地产||12,935,202.57
固定资产|1,194,169,665.88|1,011,599,991.02
在建工程|1,227,073,740.11|468,834,332.63
生产性生物资产||
油气资产||
使用权资产|5,775,829.44|
无形资产|227,565,950.47|209,193,465.88
开发支出||
商誉|353,447,831.24|353,447,831.24
长期待摊费用|3,406,385.14|2,150,657.08
递延所得税资产|22,873,888.34|23,377,467.19
其他非流动资产|91,284,832.04|107,667,991.04
非流动资产合计|3,125,848,122.66|2,189,456,938.65
资产总计|5,577,662,386.18|3,813,249,520.04
流动负债：||
短期借款|656,245,603.47|389,801,057.80
向中央银行借款||
拆入资金||
交易性金融负债||
衍生金融负债||
应付票据|298,489,999.24|65,638,447.51
应付账款|398,009,791.54|271,267,776.89
预收款项||
合同负债|13,837,355.28|11,405,458.00
卖出回购金融资产款||
吸收存款及同业存放||
代理买卖证券款||
代理承销证券款||
应付职工薪酬|70,240,937.52|58,220,331.10
page|178
应交税费|23,729,822.81|15,490,034.26
其他应付款|303,067,605.26|169,194,503.32
其中：应付利息||
应付股利||
应付手续费及佣金||
应付分保账款||
持有待售负债||
一年内到期的非流动负债|85,438,857.12|47,585,527.77
其他流动负债|314,676,786.75|196,340,890.84
流动负债合计|2,163,736,758.99|1,224,944,027.49
非流动负债：||
保险合同准备金||
长期借款|733,102,494.04|365,716,563.10
应付债券||
其中：优先股||
永续债||
租赁负债|1,984,316.13|
长期应付款||
长期应付职工薪酬||2,387,284.02
预计负债||
递延收益|38,493,541.72|27,972,364.90
递延所得税负债|14,293,222.41|12,066,349.92
其他非流动负债||
非流动负债合计|787,873,574.30|408,142,561.94
负债合计|2,951,610,333.29|1,633,086,589.43
所有者权益：||
股本|205,010,420.00|205,010,420.00
其他权益工具||
其中：优先股||
永续债||
资本公积|915,123,220.53|915,123,220.53
减：库存股||
其他综合收益|-7,488,664.98|-3,400,111.44
专项储备|1,535,545.63|1,784,388.03
page|179
盈余公积|61,606,208.06|53,534,605.60
一般风险准备||
未分配利润|1,345,044,638.12|983,365,468.45
归属于母公司所有者权益合计|2,520,831,367.36|2,155,417,991.17
少数股东权益|105,220,685.53|24,744,939.44
所有者权益合计|2,626,052,052.89|2,180,162,930.61
负债和所有者权益总计|5,577,662,386.18|3,813,249,520.04
