page|81
项目|2021 年度|2020 年度
一、经营活动产生的现金流量：||
销售商品、提供劳务收到的现金|6,352,081,901.74|5,793,210,468.39
客户存款和同业存放款项净增加额||
向中央银行借款净增加额||
向其他金融机构拆入资金净增加额||
收到原保险合同保费取得的现金||
收到再保业务现金净额||
保户储金及投资款净增加额||
收取利息、手续费及佣金的现||
page|82
金||
拆入资金净增加额||
回购业务资金净增加额||
代理买卖证券收到的现金净额||
收到的税费返还|308,455,063.95|331,508,519.89
收到其他与经营活动有关的现金|201,110,289.07|162,780,853.64
经营活动现金流入小计|6,861,647,254.76|6,287,499,841.92
购买商品、接受劳务支付的现金|4,442,131,851.81|3,740,355,870.59
客户贷款及垫款净增加额||
存放中央银行和同业款项净增加额||
支付原保险合同赔付款项的现金||
拆出资金净增加额||
支付利息、手续费及佣金的现金||
支付保单红利的现金||
支付给职工以及为职工支付的现金|713,862,792.54|616,130,443.43
支付的各项税费|458,393,673.71|238,050,085.52
支付其他与经营活动有关的现金|635,510,208.02|633,437,309.83
经营活动现金流出小计|6,249,898,526.08|5,227,973,709.37
经营活动产生的现金流量净额|611,748,728.68|1,059,526,132.55
二、投资活动产生的现金流量：||
收回投资收到的现金|539,479,936.99|807,127,251.67
取得投资收益收到的现金|19,625,467.72|14,700,000.00
处置固定资产、无形资产和其他长期资产收回的现金净额|3,875,261.93|16,680,673.61
处置子公司及其他营业单位收到的现金净额||
收到其他与投资活动有关的现金|77,932,846.02|102,878,474.93
投资活动现金流入小计|640,913,512.66|941,386,400.21
购建固定资产、无形资产和其|701,924,088.67|317,115,026.60
page|83
他长期资产支付的现金||
投资支付的现金|446,921,000.00|424,500,000.00
质押贷款净增加额||
取得子公司及其他营业单位支付的现金净额||
支付其他与投资活动有关的现金|7,459,569.00|93,405,523.02
投资活动现金流出小计|1,156,304,657.67|835,020,549.62
投资活动产生的现金流量净额|-515,391,145.01|106,365,850.59
三、筹资活动产生的现金流量：||
吸收投资收到的现金||
其中：子公司吸收少数股东投资收到的现金||
取得借款收到的现金|805,157,291.91|484,100,000.00
收到其他与筹资活动有关的现金||
筹资活动现金流入小计|805,157,291.91|484,100,000.00
偿还债务支付的现金|698,200,000.00|204,000,000.00
分配股利、利润或偿付利息支付的现金|301,916,284.82|201,351,277.03
其中：子公司支付给少数股东的股利、利润||
支付其他与筹资活动有关的现金|9,365,578.32|
筹资活动现金流出小计|1,009,481,863.14|405,351,277.03
筹资活动产生的现金流量净额|-204,324,571.23|78,748,722.97
四、汇率变动对现金及现金等价物的影响|-17,319,152.97|-38,275,272.21
五、现金及现金等价物净增加额|-125,286,140.53|1,206,365,433.90
加：期初现金及现金等价物余额|1,924,438,773.93|718,073,340.03
六、期末现金及现金等价物余额|1,799,152,633.40|1,924,438,773.93
