page|88
项目|2021 年 12 月 31 日|2020 年 12 月 31 日
流动资产：||
货币资金|372,469,867.84|325,120,821.40
结算备付金||
拆出资金||
交易性金融资产||250,000,000.00
衍生金融资产||
应收票据|49,675,102.93|71,367,650.86
应收账款|76,987,329.30|70,807,224.26
应收款项融资||
预付款项|14,488,601.65|13,302,547.28
应收保费||
应收分保账款||
应收分保合同准备金||
其他应收款|996,396.60|1,289,874.82
其中：应收利息||
应收股利||
买入返售金融资产||
存货|195,314,490.42|193,042,720.98
合同资产||
持有待售资产||
一年内到期的非流动资产||
其他流动资产|2,017,859.43|4,282,687.89
流动资产合计|711,949,648.17|929,213,527.49
非流动资产：||
发放贷款和垫款||
债权投资||
其他债权投资||
page|89
长期应收款||
长期股权投资||
其他权益工具投资||
其他非流动金融资产||
投资性房地产|6,084,789.71|6,249,594.65
固定资产|403,228,643.05|435,360,238.17
在建工程|198,455,818.14|118,865,434.66
生产性生物资产||
油气资产||
使用权资产||
无形资产|156,746,508.14|131,729,873.78
开发支出|15,403,176.55|34,465,089.66
商誉|542,395,075.28|565,452,171.77
长期待摊费用|192,500.09|262,500.05
递延所得税资产|17,176,253.64|18,265,653.65
其他非流动资产|14,564,018.74|16,251,911.61
非流动资产合计|1,354,246,783.34|1,326,902,468.00
资产总计|2,066,196,431.51|2,256,115,995.49
流动负债：||
短期借款|377,000,000.00|770,120,000.00
向中央银行借款||
拆入资金||
交易性金融负债||
衍生金融负债||
应付票据|8,388,668.74|27,522,081.94
应付账款|43,956,933.17|29,716,179.00
预收款项||
合同负债|31,064,050.12|26,115,686.74
卖出回购金融资产款||
吸收存款及同业存放||
代理买卖证券款||
代理承销证券款||
应付职工薪酬|10,511,051.26|8,293,974.55
应交税费|17,941,157.78|10,185,646.56
page|90
其他应付款|3,445,463.27|2,869,595.16
其中：应付利息|340,990.88|425,959.19
应付股利||
应付手续费及佣金||
应付分保账款||
持有待售负债||
一年内到期的非流动负债||
其他流动负债|4,034,627.34|3,392,012.56
流动负债合计|496,341,951.68|878,215,176.51
非流动负债：||
保险合同准备金||
长期借款||
应付债券|285,178,578.00|272,124,147.45
其中：优先股||
永续债||
租赁负债||
长期应付款||
长期应付职工薪酬||
预计负债||
递延收益|11,716,447.40|11,684,456.95
递延所得税负债|11,269,339.34|13,660,612.09
其他非流动负债||
非流动负债合计|308,164,364.74|297,469,216.49
负债合计|804,506,316.42|1,175,684,393.00
所有者权益：||
股本|221,643,927.00|203,517,849.00
其他权益工具|54,159,357.04|54,384,528.44
其中：优先股||
永续债||
资本公积|460,912,508.37|292,500,824.56
减：库存股||
其他综合收益||
专项储备|5,589,951.56|5,240,761.84
盈余公积|110,821,963.50|101,758,924.50
page|91
一般风险准备||
未分配利润|408,562,407.62|423,028,714.15
归属于母公司所有者权益合计|1,261,690,115.09|1,080,431,602.49
少数股东权益||
所有者权益合计|1,261,690,115.09|1,080,431,602.49
负债和所有者权益总计|2,066,196,431.51|2,256,115,995.49
