page|130
项目|附注|2021年度|2020年度
一、经营活动产生的现金流量：|||
销售商品、提供劳务收到的现金||4,326,049,637.43|1,889,021,717.56
客户存款和同业存放款项净增加额|||
向中央银行借款净增加额|||
向其他金融机构拆入资金净增加额|||
收到原保险合同保费取得的现金|||
收到再保业务现金净额|||
保户储金及投资款净增加额|||
收取利息、手续费及佣金的现金|||
拆入资金净增加额|||
回购业务资金净增加额|||
代理买卖证券收到的现金净额|||
收到的税费返还|||
收到其他与经营活动有关的现金|七、78（1）|108,330,512.53|124,687,640.45
经营活动现金流入小计||4,434,380,149.96|2,013,709,358.01
购买商品、接受劳务支付的现金||940,422,881.87|484,696,155.86
客户贷款及垫款净增加额|||
存放中央银行和同业款项净增加额|||
支付原保险合同赔付款项的现金|||
拆出资金净增加额|||
支付利息、手续费及佣金的现金|||
支付保单红利的现金|||
支付给职工及为职工支付的现金||553,608,084.61|345,977,919.79
支付的各项税费||295,758,640.81|145,344,642.16
支付其他与经营活动有关的现金|七、78（2）|962,642,935.83|569,484,155.80
经营活动现金流出小计||2,752,432,543.12|1,545,502,873.61
经营活动产生的现金流量净额||1,681,947,606.84|468,206,484.40
二、投资活动产生的现金流量：|||
收回投资收到的现金||62,555,521.47|153,257,000.00
取得投资收益收到的现金||11,105,152.48|5,779,435.57
处置固定资产、无形资产和其他长期资产收回的现金净额||8,194,208.10|2,734,723.39
page|131
处置子公司及其他营业单位收到的现金净额|||
收到其他与投资活动有关的现金|七、78（3）|52,539,553.76|499,506,338.80
投资活动现金流入小计||134,394,435.81|661,277,497.76
购建固定资产、无形资产和其他长期资产支付的现金||1,047,789,420.88|390,436,620.40
投资支付的现金||50,708,300.00|152,050,266.00
质押贷款净增加额|||
取得子公司及其他营业单位支付的现金净额|||
支付其他与投资活动有关的现金|七、78（4）|50,000,000.00|414,188,800.00
投资活动现金流出小计||1,148,497,720.88|956,675,686.40
投资活动产生的现金流量净额||-1,014,103,285.07|-295,398,188.64
三、筹资活动产生的现金流量：|||
吸收投资收到的现金||10,000,000.00|342,280,000.00
其中：子公司吸收少数股东投资收到的现金|||
取得借款收到的现金||240,353,017.76|90,366,929.80
收到其他与筹资活动有关的现金|七、78（5）|8,905,068.18|7,152,049.64
筹资活动现金流入小计||259,258,085.94|439,798,979.44
偿还债务支付的现金||77,598,972.00|33,767,957.80
分配股利、利润或偿付利息支付的现金||112,740,911.09|1,653,756.64
其中：子公司支付给少数股东的股利、利润|||
支付其他与筹资活动有关的现金|七、78（6）|16,132,757.42|24,586,260.82
筹资活动现金流出小计||206,472,640.51|60,007,975.26
筹资活动产生的现金流量净额||52,785,445.43|379,791,004.18
四、汇率变动对现金及现金等价物的影响||-8,745,856.61|-9,008,984.51
五、现金及现金等价物净增加额||711,883,910.59|543,590,315.43
加：期初现金及现金等价物余额||701,462,860.43|157,872,545.00
六、期末现金及现金等价物余额||1,413,346,771.02|701,462,860.43
