page|90
项目|附注|2021 年度|2020 年度
一、营业总收入||23,603,063,361|19,906,593,468
其中：营业收入|七（61）|23,603,063,361|19,906,593,468
利息收入|||
已赚保费|||
手续费及佣金收入|||
二、营业总成本||20,112,994,143|17,101,256,103
其中：营业成本|七（61）|15,129,053,236|12,640,913,159
利息支出|||
手续费及佣金支出|||
退保金|||
赔付支出净额|||
提取保险责任准备金净额|||
保单红利支出|||
分保费用|||
税金及附加|七（62）|204,629,142|198,182,840
销售费用|七（63）|1,150,992,397|1,051,202,141
管理费用|七（64）|1,944,179,027|1,901,093,252
研发费用|七（65）|997,203,019|815,579,258
财务费用|七（66）|686,937,322|494,285,453
其中：利息费用||318,940,791|354,752,403
利息收入||168,837,719|290,289,764
加：其他收益|七（68）|242,337,506|352,820,556
投资收益（损失以“－”号填列）|七（69）|62,948,150|70,997,066
其中：对联营企业和合营企业的投资收益||26,975,045|11,843,754
以摊余成本计量的金融资产终止确认收益|||
汇兑收益（损失以“－”号填列）|||
page|91
净敞口套期收益（损失以“-”号填列）|||
|公允价值变动收益（损失以“－”号填列）  七（71）|-9,396,901|-680,484
信用减值损失（损失以“-”号填列）|七（72）|-5,436,372|-5,986,645
资产减值损失（损失以“-”号填列）|七（73）|-18,976,018|-30,973,964
资产处置收益（损失以“－”号填列）|七（74）|484,341|75,117,728
三、营业利润（亏损以“－”号填列）||3,762,029,924|3,266,631,622
加：营业外收入|七（75）|217,974,835|57,628,048
减：营业外支出|七（76）|161,162,665|214,664,627
四、利润总额（亏损总额以“－”号填列）||3,818,842,094|3,109,595,043
减：所得税费用|七（77）|675,861,301|511,144,107
五、净利润（净亏损以“－”号填列）||3,142,980,793|2,598,450,936
（一）按经营持续性分类|||
1.持续经营净利润（净亏损以“－”号填列）||3,142,980,793|2,598,450,936
2.终止经营净利润（净亏损以“－”号填列）|||
（二）按所有权归属分类|||
1.归属于母公司股东的净利润（净亏损以“-”号填列）||3,146,167,091|2,600,776,459
2.少数股东损益（净亏损以“-”号填列）||-3,186,298|-2,325,523
六、其他综合收益的税后净额||-56,325,513|-494,996,289
（一）归属母公司所有者的其他综合收益的税后净额||-56,325,513|-494,996,289
1．不能重分类进损益的其他综合收益|||
（1）重新计量设定受益计划变动额|||
（2）权益法下不能转损益的其他综合收益|||
（3）其他权益工具投资公允价值变动|||
（4）企业自身信用风险公允价值变动|||
2．将重分类进损益的其他综合收益||-56,325,513|-494,996,289
（1）权益法下可转损益的其他综合收益|||
（2）其他债权投资公允价值变动|||
（3）金融资产重分类计入其他综合收益的金额|||
（4）其他债权投资信用减值准备|||
（5）现金流量套期储备|||
（6）外币财务报表折算差额|七（78）|-56,325,513|-494,996,289
（7）其他|||
（二）归属于少数股东的其他综合收益的税后净额|||
七、综合收益总额||3,086,655,280|2,103,454,647
（一）归属于母公司所有者的综合收益总额||3,089,841,578|2,105,780,170
（二）归属于少数股东的综合收益总额||-3,186,298|-2,325,523
八、每股收益：|||
（一）基本每股收益(元/股)||1.23|1.04
（二）稀释每股收益(元/股)||1.23|1.04
