page|68
项目|2021 年 12 月 31 日|2020 年 12 月 31 日
流动资产：||
货币资金|405,691,645.81|1,478,743,657.42
结算备付金||
拆出资金||
交易性金融资产||
衍生金融资产||
应收票据||
应收账款|1,067,774,533.58|960,462,606.69
应收款项融资|37,556,321.00|51,821,975.67
预付款项|16,318,667.79|68,383,555.60
应收保费||
应收分保账款||
应收分保合同准备金||
其他应收款|362,136,785.15|547,822,006.41
其中：应收利息||
应收股利|3,969,000.00|
买入返售金融资产||
存货|126,605,512.89|87,319,856.16
合同资产|304,551,704.97|437,551,340.44
持有待售资产||
一年内到期的非流动资产||
其他流动资产|105,350,622.74|94,050,797.64
流动资产合计|2,425,985,793.93|3,726,155,796.03
非流动资产：||
发放贷款和垫款||
债权投资||
page|69
其他债权投资||
长期应收款|216,802,084.53|218,116,582.05
长期股权投资|203,462,846.48|200,321,004.85
其他权益工具投资|9,837,868.74|9,556,138.81
其他非流动金融资产||
投资性房地产|28,259,579.01|29,421,367.86
固定资产|710,854,729.76|705,508,852.26
在建工程|2,919,080.95|25,813,281.25
生产性生物资产||
油气资产||
使用权资产||
无形资产|178,884,942.38|183,437,278.46
开发支出||
商誉||
长期待摊费用|954,612.14|1,075,340.08
递延所得税资产||6,266,488.19
其他非流动资产|6,550,071.86|6,213,815.09
非流动资产合计|1,358,525,815.85|1,385,730,148.90
资产总计|3,784,511,609.78|5,111,885,944.93
流动负债：||
短期借款|913,957,891.68|943,000,000.00
向中央银行借款||
拆入资金||
交易性金融负债||
衍生金融负债||
应付票据|381,579,028.03|816,445,496.84
应付账款|1,104,262,384.48|1,423,318,274.13
预收款项||
合同负债|73,977,912.91|38,265,986.42
卖出回购金融资产款||
吸收存款及同业存放||
代理买卖证券款||
代理承销证券款||
应付职工薪酬|31,399,791.36|37,199,528.72
page|70
应交税费|12,475,996.58|25,658,247.85
其他应付款|460,798,798.26|474,974,000.55
其中：应付利息||1,814,433.19
应付股利|1,652.82|773,663.16
应付手续费及佣金||
应付分保账款||
持有待售负债||
一年内到期的非流动负债|170,355,333.35|260,000,000.00
其他流动负债|7,526,126.23|2,546,840.69
流动负债合计|3,156,333,262.88|4,021,408,375.20
非流动负债：||
保险合同准备金||
长期借款|190,000,000.00|360,000,000.00
应付债券||
其中：优先股||
永续债||
租赁负债||
长期应付款|262,242.18|657,636.67
长期应付职工薪酬||
预计负债||
递延收益|107,357,285.89|119,624,599.74
递延所得税负债|1,025,680.31|983,420.83
其他非流动负债||
非流动负债合计|298,645,208.38|481,265,657.24
负债合计|3,454,978,471.26|4,502,674,032.44
所有者权益：||
股本|733,329,168.00|733,329,168.00
其他权益工具||
其中：优先股||
永续债||
资本公积|529,763,824.00|529,763,824.00
减：库存股||
其他综合收益|5,812,188.43|5,572,717.98
专项储备|17,190,175.20|14,855,358.52
page|71
盈余公积|47,367,283.00|47,367,283.00
一般风险准备||
未分配利润|-1,068,185,580.86|-803,997,868.15
归属于母公司所有者权益合计|265,277,057.77|526,890,483.35
少数股东权益|64,256,080.75|82,321,429.14
所有者权益合计|329,533,138.52|609,211,912.49
负债和所有者权益总计|3,784,511,609.78|5,111,885,944.93
