page|104
项目|附注|2021年度发生额|2020年度发生额 (已重述)
一、经营活动产生的现金流量：|||
销售商品、提供劳务收到的现金||258,696,913|162,234,164
收到其他与经营活动有关的现金|七、82(1)|11,845,898|236,109
经营活动现金流入小计||270,542,811|162,470,273
购买商品、接受劳务支付的现金||191,854,698|115,501,280
支付给职工以及为职工支付的现金||9,747,613|8,383,410
支付的各项税费||17,538,510|12,571,462
支付其他与经营活动有关的现金|七、82(2)|3,295,655|3,381,754
经营活动现金流出小计||222,436,476|139,837,906
经营活动产生的现金流量净额|七、83(1)|48,106,335|22,632,367
二、投资活动产生的现金流量：|||
收回投资收到的现金||5,863|2,315
取得投资收益收到的现金||1,621,371|864,709
处置固定资产、无形资产和其他长期资产收回的现金净额||114,983|111,107
收到其他与投资活动有关的现金|七、82(3)|4,117,171|3,952,758
投资活动现金流入小计||5,859,388|4,930,889
购建固定资产、无形资产和其他长期资产支付的现金||10,427,318|10,308,274
投资支付的现金||262,599|41,786
支付其他与投资活动有关的现金|七、82(4)|20,551,629|8,824,889
投资活动现金流出小计||31,241,546|19,174,949
投资活动使用的现金流量净额||(25,382,158)|(14,244,060)
三、筹资活动产生的现金流量：|||
吸收投资收到的现金||585,107|435,909
其中：子公司吸收少数股东投资收到的现金||585,107|435,909
取得借款收到的现金||24,218,881|36,478,940
发行债券收到的现金||2,997,000|4,995,170
筹资活动现金流入小计||27,800,988|41,910,019
偿还债务支付的现金||25,653,913|40,053,232
分配股利、利润或偿付利息支付的现金||7,230,194|7,138,530
其中：子公司支付给少数股东的股利||1,261,103|489,222
支付其他与筹资活动有关的现金|七、82(6)|1,613,902|193,213
筹资活动现金流出小计||34,498,009|47,384,975
筹资活动使用的现金流量净额||(6,697,021)|(5,474,956)
四、汇率变动对现金及现金等价物的影响||26,317|(10,391)
五、现金及现金等价物净增加额|七、83(1)|16,053,473|2,902,960
加：年初现金及现金等价物余额||15,041,758|12,138,798
六、年末现金及现金等价物余额|七、83(4)|31,095,231|15,041,758
