page|101
项目|2021 年度|2020 年度
一、经营活动产生的现金流量：||
销售商品、提供劳务收到的现金|5,203,753,559.93|4,725,340,987.44
客户存款和同业存放款项净增加额||
向中央银行借款净增加额||
向其他金融机构拆入资金净增加额||
收到原保险合同保费取得的现金||
收到再保业务现金净额||
保户储金及投资款净增加额||
收取利息、手续费及佣金的现||
page|102
金||
拆入资金净增加额||
回购业务资金净增加额||
代理买卖证券收到的现金净额||
收到的税费返还||
收到其他与经营活动有关的现金|126,199,770.18|119,834,692.87
经营活动现金流入小计|5,329,953,330.11|4,845,175,680.31
购买商品、接受劳务支付的现金|2,989,911,509.09|2,558,728,152.23
客户贷款及垫款净增加额||
存放中央银行和同业款项净增加额||
支付原保险合同赔付款项的现金||
拆出资金净增加额||
支付利息、手续费及佣金的现金||
支付保单红利的现金||
支付给职工以及为职工支付的现金|766,374,550.11|654,080,864.28
支付的各项税费|792,219,503.30|759,608,989.43
支付其他与经营活动有关的现金|176,472,158.76|184,076,615.77
经营活动现金流出小计|4,724,977,721.26|4,156,494,621.71
经营活动产生的现金流量净额|604,975,608.85|688,681,058.60
二、投资活动产生的现金流量：||
收回投资收到的现金|2,666,000,000.00|2,810,726,684.93
取得投资收益收到的现金|8,695,891.67|3,661,125.56
处置固定资产、无形资产和其他长期资产收回的现金净额|63,753,382.46|517,281.42
处置子公司及其他营业单位收到的现金净额||
收到其他与投资活动有关的现金|79,521,650.70|117,419,679.57
投资活动现金流入小计|2,817,970,924.83|2,932,324,771.48
购建固定资产、无形资产和其|252,814,873.48|292,533,014.65
page|103
他长期资产支付的现金||
投资支付的现金|2,833,000,000.00|6,267,426,684.93
质押贷款净增加额||
取得子公司及其他营业单位支付的现金净额||
支付其他与投资活动有关的现金||
投资活动现金流出小计|3,085,814,873.48|6,559,959,699.58
投资活动产生的现金流量净额|-267,843,948.65|-3,627,634,928.10
三、筹资活动产生的现金流量：||
吸收投资收到的现金||
其中：子公司吸收少数股东投资收到的现金||
取得借款收到的现金|1,160,812,989.56|1,244,375,030.00
收到其他与筹资活动有关的现金||
筹资活动现金流入小计|1,160,812,989.56|1,244,375,030.00
偿还债务支付的现金|1,034,353,889.00|500,000,000.00
分配股利、利润或偿付利息支付的现金|300,691,322.66|252,420,727.48
其中：子公司支付给少数股东的股利、利润|12,600,000.00|12,250,000.00
支付其他与筹资活动有关的现金|4,599,340.97|
筹资活动现金流出小计|1,339,644,552.63|752,420,727.48
筹资活动产生的现金流量净额|-178,831,563.07|491,954,302.52
四、汇率变动对现金及现金等价物的影响||
五、现金及现金等价物净增加额|158,300,097.13|-2,446,999,566.98
加：期初现金及现金等价物余额|1,353,888,286.71|3,800,887,853.69
六、期末现金及现金等价物余额|1,512,188,383.84|1,353,888,286.71
