page|89
项目|2021 年度|2020 年度
一、营业总收入|5,201,618,929.74|2,384,713,369.75
其中：营业收入|5,201,618,929.74|2,384,713,369.75
利息收入||
已赚保费||
手续费及佣金收入||
二、营业总成本|4,746,197,390.98|2,086,891,216.61
其中：营业成本|4,062,976,822.71|1,647,274,074.13
利息支出||
手续费及佣金支出||
退保金||
page|90
赔付支出净额||
提取保险责任合同准备金净额||
保单红利支出||
分保费用||
税金及附加|29,544,581.51|24,866,444.35
销售费用|185,510,746.88|113,011,438.17
管理费用|177,884,417.32|122,711,924.64
研发费用|342,286,905.66|173,030,352.67
财务费用|-52,006,083.10|5,996,982.65
其中：利息费用|9,957,883.29|32,582,103.91
利息收入|64,596,379.39|17,374,864.38
加：其他收益|64,670,430.23|74,541,331.57
投资收益（损失以“－”号填列）|466,070.01|20,667,125.35
其中：对联营企业和合营企业的投资收益||
以摊余成本计量的金融资产终止确认收益||
汇兑收益（损失以“-”号填列）||
净敞口套期收益（损失以“－”号填列）||
公允价值变动收益（损失以“－”号填列）||
信用减值损失（损失以“-”号填列）|-169,803,654.97|-109,147,241.81
资产减值损失（损失以“-”号填列）|-71,480,386.50|-64,977,544.75
资产处置收益（损失以“-”号填列）|-185,809.90|-5,574,851.22
三、营业利润（亏损以“－”号填列）|279,088,187.63|213,330,972.28
加：营业外收入|12,817,333.02|2,480,556.97
减：营业外支出|9,904,445.34|1,951,332.78
四、利润总额（亏损总额以“－”号填列）|282,001,075.31|213,860,196.47
减：所得税费用|-13,997,911.01|21,328,729.12
五、净利润（净亏损以“－”号填列）|295,998,986.32|192,531,467.35
page|91
（一）按经营持续性分类||
1.持续经营净利润（净亏损以“－”号填列）|295,998,986.32|192,555,358.44
2.终止经营净利润（净亏损以“－”号填列）||-23,891.09
（二）按所有权归属分类||
1.归属于母公司股东的净利润|311,390,993.43|190,692,121.08
2.少数股东损益|-15,392,007.11|1,839,346.27
六、其他综合收益的税后净额||
归属母公司所有者的其他综合收益的税后净额||
（一）不能重分类进损益的其他综合收益||
1.重新计量设定受益计划变动额||
2.权益法下不能转损益的其他综合收益||
3.其他权益工具投资公允价值变动||
4.企业自身信用风险公允价值变动||
5.其他||
（二）将重分类进损益的其他综合收益||
1.权益法下可转损益的其他综合收益||
2.其他债权投资公允价值变动||
3.金融资产重分类计入其他综合收益的金额||
4.其他债权投资信用减值准备||
5.现金流量套期储备||
6.外币财务报表折算差额||
7.其他||
归属于少数股东的其他综合收益的税后净额||
page|92
七、综合收益总额|295,998,986.32|192,531,467.35
归属于母公司所有者的综合收益总额|311,390,993.43|190,692,121.08
归属于少数股东的综合收益总额|-15,392,007.11|1,839,346.27
八、每股收益：||
（一）基本每股收益|0.48|0.32
（二）稀释每股收益|0.48|0.32
