page|76
项目|附注|2021 年 12 月 31 日|2020 年 12 月 31 日
流动资产：|||
货币资金|七、1|2,771,270,979|1,444,270,151
结算备付金|||
拆出资金|||
交易性金融资产|七、2|1,530,491,700|891,831,588
衍生金融资产|||
应收票据|七、4|418,221,770|274,422,718
应收账款|七、5|4,160,711,743|3,776,762,957
应收款项融资|七、6|84,479,696|138,133,247
预付款项|七、7|146,270,862|199,027,986
应收保费|||
应收分保账款|||
应收分保合同准备金|||
其他应收款|七、8|134,828,819|143,998,093
其中：应收利息|||
应收股利||624,793|625,908
买入返售金融资产|||
存货|七、9|2,763,022,541|2,337,549,891
合同资产|||
持有待售资产|||
一年内到期的非流动资产|||
其他流动资产|七、13|304,514,823|244,226,485
流动资产合计||12,313,812,933|9,450,223,116
非流动资产：|||
发放贷款和垫款|||
债权投资|||
其他债权投资|||
长期应收款|||
长期股权投资|七、17|1,684,470,508|1,636,031,916
其他权益工具投资|七、18|50,329,539|41,378,280
其他非流动金融资产|七、19|47,470,870|45,378,370
投资性房地产|||
固定资产|七、21|3,763,663,869|3,694,140,835
在建工程|七、22|608,357,734|258,911,145
生产性生物资产|||
油气资产|||
使用权资产|七、25|46,693,199|76,251,881
无形资产|七、26|314,484,005|342,005,409
开发支出|||
page|77
商誉|七、28|27,145,122|20,027,705
长期待摊费用|七、29|18,829,365|9,129,148
递延所得税资产|七、30|144,414,651|138,033,575
其他非流动资产|七、31|458,977,298|144,086,014
非流动资产合计||7,164,836,160|6,405,374,278
资产总计||19,478,649,093|15,855,597,394
流动负债：|||
短期借款|七、32|1,717,697,001|1,033,657,703
向中央银行借款|||
拆入资金|||
交易性金融负债|七、33|2,144,400|
衍生金融负债|||
应付票据|七、35|940,550,221|659,423,906
应付账款|七、36|1,773,023,142|1,539,623,899
预收款项|||
合同负债|七、38|762,017,133|360,704,641
卖出回购金融资产款|||
吸收存款及同业存放|||
代理买卖证券款|||
代理承销证券款|||
应付职工薪酬|七、39|260,469,853|252,632,361
应交税费|七、40|90,519,103|93,383,446
其他应付款|七、41|452,225,764|372,357,376
其中：应付利息|||
应付股利|||
应付手续费及佣金|||
应付分保账款|||
持有待售负债|||
一年内到期的非流动负债|七、43|533,393,055|39,960,759
其他流动负债|七、44|30,891,253|24,605,476
流动负债合计||6,562,930,925|4,376,349,567
非流动负债：|||
保险合同准备金|||
长期借款|七、45|1,289,500,000|524,700,000
应付债券|七、46|488,075,933|487,575,358
其中：优先股|||
永续债|||
租赁负债|七、47|37,516,751|58,456,419
长期应付款|||
长期应付职工薪酬|||
预计负债|||
递延收益|七、51|281,246,701|260,265,226
递延所得税负债|七、30|10,583,862|11,448,729
其他非流动负债|七、52|223,767,404|751,278,679
非流动负债合计||2,330,690,651|2,093,724,411
负债合计||8,893,621,576|6,470,073,978
所有者权益（或股东权益）：|||
实收资本（或股本）|七、53|757,905,108|757,905,108
page|78
其他权益工具|||
其中：优先股|||
永续债|||
资本公积|七、55|3,561,131,050|3,364,333,115
减：库存股|七、56|33,653,461|33,653,461
其他综合收益|七、57|-13,001,149|-5,912,422
专项储备|||
盈余公积|七、59|647,934,100|636,629,870
一般风险准备|||
未分配利润|七、60|4,861,682,295|4,328,187,622
归属于母公司所有者权益（或股东权益）合计||9,781,997,943|9,047,489,832
少数股东权益||803,029,574|338,033,584
所有者权益（或股东权益）合计||10,585,027,517|9,385,523,416
负债和所有者权益（或股东权益）总计||19,478,649,093|15,855,597,394
