page|111
项目|附注|2021年度|2020年度
一、经营活动产生的现金流量：|||
销售商品、提供劳务收到的现金||10,468,802,686.23|7,792,390,632.50
收到的税费返还||67,270,848.30|-
收到其他与经营活动有关的现金|五、54(1)|808,382,556.62|378,720,249.25
经营活动现金流入小计||11,344,456,091.15|8,171,110,881.75
购买商品、接受劳务支付的现金||2,004,305,961.00|1,654,191,015.57
支付给职工及为职工支付的现金||1,184,069,222.40|1,049,136,012.24
支付的各项税费||1,523,671,008.97|1,671,493,278.65
支付其他与经营活动有关的现金|五、54(2)|1,165,144,363.09|658,889,044.90
经营活动现金流出小计||5,877,190,555.46|5,033,709,351.36
经营活动产生的现金流量净额|五、55(1)a|5,467,265,535.69|3,137,401,530.39
二、投资活动产生的现金流量：|||
收回投资收到的现金||16,764,302,394.15|4,850,614,479.66
取得投资收益收到的现金||612,158,334.76|422,446,766.50
处置固定资产、无形资产和其他长期资产收回的现金净额||10,200,945.85|586,636.10
投资活动现金流入小计||17,386,661,674.76|5,273,647,882.26
page|112
购建固定资产、无形资产和其他长期资产支付的现金||3,318,806,957.19|4,245,496,267.18
投资支付的现金||20,456,074,224.57|6,728,019,383.36
投资活动现金流出小计||23,774,881,181.76|10,973,515,650.54
投资活动产生的现金流量净额||-6,388,219,507.00|-5,699,867,768.28
三、筹资活动产生的现金流量：|||
吸收投资收到的现金||354,530,000.67|647,110,000.00
其中：子公司吸收少数股东投资收到的现金||354,530,000.67|647,110,000.00
取得借款收到的现金||26,200,951,224.89|29,493,500,000.00
筹资活动现金流入小计||26,555,481,225.56|30,140,610,000.00
偿还债务支付的现金||22,435,284,685.27|24,591,540,000.00
分配股利、利润或偿付利息支付的现金||3,060,434,849.32|3,068,524,804.39
其中：子公司支付给少数股东的股利、利润||11,107,452.34|15,438,867.51
支付其他与筹资活动有关的现金|五、54(3)|-|16,500,000.00
筹资活动现金流出小计||25,495,719,534.59|27,676,564,804.39
筹资活动产生的现金流量净额||1,059,761,690.97|2,464,045,195.61
四、汇率变动对现金及现金等价物的影响||-|-
五、现金及现金等价物净增加额|五、55(1)b|138,807,719.66|-98,421,042.28
加：期初现金及现金等价物余额||350,989,093.35|449,410,135.63
六、期末现金及现金等价物余额|五、55(2)|489,796,813.01|350,989,093.35
