page|92
项目|2021 年度|2020 年度
一、经营活动产生的现金流量：||
销售商品、提供劳务收到的现金|974,373,893.30|886,712,207.45
客户存款和同业存放款项净增加额||
向中央银行借款净增加额||
向其他金融机构拆入资金净增加额||
收到原保险合同保费取得的现金||
收到再保业务现金净额||
保户储金及投资款净增加额||
收取利息、手续费及佣金的现金||
拆入资金净增加额||
回购业务资金净增加额||
代理买卖证券收到的现金净额||
收到的税费返还|30,229,535.00|31,538,798.34
收到其他与经营活动有关的现金|50,716,332.12|75,419,697.99
经营活动现金流入小计|1,055,319,760.42|993,670,703.78
购买商品、接受劳务支付的现金|615,244,019.48|532,014,131.86
客户贷款及垫款净增加额||
存放中央银行和同业款项净增加额||
支付原保险合同赔付款项的现金||
拆出资金净增加额||
page|93
支付利息、手续费及佣金的现金||
支付保单红利的现金||
支付给职工以及为职工支付的现金|145,981,008.36|140,137,162.51
支付的各项税费|81,377,279.60|96,515,062.82
支付其他与经营活动有关的现金|128,843,213.77|166,634,672.97
经营活动现金流出小计|971,445,521.21|935,301,030.16
经营活动产生的现金流量净额|83,874,239.21|58,369,673.62
二、投资活动产生的现金流量：||
收回投资收到的现金|510,880,000.00|174,750,002.00
取得投资收益收到的现金|19,561,821.54|47,113,843.53
处置固定资产、无形资产和其他长期资产收回的现金净额|278,250.94|52,008.00
处置子公司及其他营业单位收到的现金净额||
收到其他与投资活动有关的现金|400,000,000.00|372,000,000.00
投资活动现金流入小计|930,720,072.48|593,915,853.53
购建固定资产、无形资产和其他长期资产支付的现金|14,958,583.35|21,648,549.31
投资支付的现金|582,644,682.00|150,000,000.00
质押贷款净增加额||
取得子公司及其他营业单位支付的现金净额||
支付其他与投资活动有关的现金|266,000,000.00|576,000,000.00
投资活动现金流出小计|863,603,265.35|747,648,549.31
投资活动产生的现金流量净额|67,116,807.13|-153,732,695.78
三、筹资活动产生的现金流量：||
吸收投资收到的现金|435,000.00|2,750,000.00
其中：子公司吸收少数股东投资收到的现金|435,000.00|2,750,000.00
取得借款收到的现金|23,600,000.00|
收到其他与筹资活动有关的现金||
筹资活动现金流入小计|24,035,000.00|2,750,000.00
偿还债务支付的现金|22,700,000.00|
分配股利、利润或偿付利息支付的现金|41,700,386.35|57,561,663.10
其中：子公司支付给少数股东的股利、利润||5,321,908.47
支付其他与筹资活动有关的现金|1,481,159.91|
筹资活动现金流出小计|65,881,546.26|57,561,663.10
筹资活动产生的现金流量净额|-41,846,546.26|-54,811,663.10
page|94
四、汇率变动对现金及现金等价物的影响|-233,144.75|-129,647.95
五、现金及现金等价物净增加额|108,911,355.33|-150,304,333.21
加：期初现金及现金等价物余额|310,394,886.91|460,699,220.12
六、期末现金及现金等价物余额|419,306,242.24|310,394,886.91
