page|63
项目|附注|2021 年 12 月 31 日|2020 年 12 月 31 日
流动资产：|||
货币资金|1|2,323,436,127.95|1,110,395,229.86
结算备付金|||
拆出资金|||
page|64
交易性金融资产|2|25,043,123.96|106,456.70
衍生金融资产|||
应收票据|3|80,404,925.11|121,545,499.27
应收账款|4|1,733,808,749.61|1,188,376,409.64
应收款项融资|5|646,019,279.35|477,666,829.53
预付款项|6|32,642,847.19|16,653,037.23
应收保费|||
应收分保账款|||
应收分保合同准备金|||
其他应收款|7|22,826,386.42|14,043,057.42
其中：应收利息|||
应收股利|||
买入返售金融资产|||
存货|8|1,912,945,675.71|1,387,913,442.68
合同资产|||
持有待售资产|||
一年内到期的非流动资产|9|25,800,000.00|7,500,000.00
其他流动资产|10|47,030,702.26|55,642,769.98
流动资产合计||6,849,957,817.56|4,379,842,732.31
非流动资产：|||
发放贷款和垫款|||
债权投资|||
其他债权投资|||
长期应收款|11|74,000,000.00|68,800,000.00
长期股权投资|12|893,423,292.01|731,376,620.27
其他权益工具投资|13|20,519,993.24|10,834,292.70
其他非流动金融资产|14|747,749,799.54|62,109,803.22
投资性房地产|||
固定资产|15|3,969,713,296.71|3,029,104,484.28
在建工程|16|649,489,932.22|589,229,455.47
生产性生物资产|||
油气资产|||
使用权资产|17|3,564,521.31|
无形资产|18|278,242,083.03|226,836,371.79
开发支出|19|11,016,863.73|58,020,893.93
商誉|20|619,947.54|619,947.54
长期待摊费用|21|72,650,429.08|41,450,232.07
递延所得税资产|22|112,521,346.56|142,301,347.72
其他非流动资产|23|122,893,412.75|499,585,093.97
非流动资产合计||6,956,404,917.72|5,460,268,542.96
资产总计||13,806,362,735.28|9,840,111,275.27
流动负债：|||
短期借款|24|2,170,735,321.02|2,010,841,136.64
向中央银行借款|||
拆入资金|||
交易性金融负债|25||29,322,960.00
衍生金融负债|||
应付票据|26|102,329,617.66|129,073,623.81
page|65
应付账款|27|1,318,962,576.56|785,073,108.37
预收款项|||
合同负债|28|9,986,636.49|12,392,530.58
卖出回购金融资产款|||
吸收存款及同业存放|||
代理买卖证券款|||
代理承销证券款|||
应付职工薪酬|29|294,413,830.61|195,989,533.71
应交税费|30|159,739,473.57|33,054,018.18
其他应付款|31|16,278,166.13|11,619,610.15
其中：应付利息|||
应付股利|||
应付手续费及佣金|||
应付分保账款|||
持有待售负债|||
一年内到期的非流动负债|32|934,652,921.49|473,669,509.53
其他流动负债|33|1,196,484.39|1,285,774.07
流动负债合计||5,008,295,027.92|3,682,321,805.04
非流动负债：|||
保险合同准备金|||
长期借款|34|356,288,520.82|663,915,116.23
应付债券|||
其中：优先股|||
永续债|||
租赁负债|35|2,170,380.18|
长期应付款|36|701,939,117.90|621,716,121.62
长期应付职工薪酬|||
预计负债|||
递延收益|37|153,131,520.08|172,006,352.43
递延所得税负债|22|94,442,827.81|
其他非流动负债|38|381,515,555.24|192,931,111.11
非流动负债合计||1,689,487,922.03|1,650,568,701.39
负债合计||6,697,782,949.95|5,332,890,506.43
所有者权益（或股东权益）：|||
实收资本（或股本）|39|1,416,071,845.00|1,312,061,614.00
其他权益工具|||
其中：优先股|||
永续债|||
资本公积|40|2,137,327,410.97|784,644,818.63
减：库存股|||
其他综合收益|41|5,338,117.34|-3,699,005.26
专项储备|||
盈余公积|42|338,402,283.17|200,918,252.99
一般风险准备|||
未分配利润|43|2,513,357,098.01|1,154,108,525.71
归属于母公司所有者权益（或股东权益）合计||6,410,496,754.49|3,448,034,206.07
少数股东权益||698,083,030.84|1,059,186,562.77
page|66
所有者权益（或股东权益）合计||7,108,579,785.33|4,507,220,768.84
负债和所有者权益（或股东权益）总计||13,806,362,735.28|9,840,111,275.27
