page|76
项目|2021 年 12 月 31 日|2020 年 12 月 31 日
流动资产：||
货币资金|545,923,009.21|316,822,988.87
结算备付金||
拆出资金||
交易性金融资产|165,247,427.00|228,000,000.00
衍生金融资产||
应收票据||
应收账款|362,332,313.09|289,193,848.36
应收款项融资|284,186,325.12|266,262,117.32
预付款项|20,727,606.09|33,273,210.28
应收保费||
应收分保账款||
应收分保合同准备金||
其他应收款|10,319,629.33|3,330,860.50
其中：应收利息||
应收股利||
买入返售金融资产||
存货|315,956,982.48|396,697,181.77
page|77
合同资产||
持有待售资产||
一年内到期的非流动资产||
其他流动资产|6,083,133.75|42,191,264.73
流动资产合计|1,710,776,426.07|1,575,771,471.83
非流动资产：||
发放贷款和垫款||
债权投资||
其他债权投资||
长期应收款||
长期股权投资|62,372,084.41|60,503,353.54
其他权益工具投资||
其他非流动金融资产|196,373,043.00|131,292,899.65
投资性房地产||
固定资产|322,056,808.88|358,132,824.03
在建工程|33,523,279.61|49,319,344.94
生产性生物资产||
油气资产||
使用权资产|9,492,828.47|
无形资产|36,582,089.61|37,719,511.96
开发支出||
商誉||
长期待摊费用||
递延所得税资产|8,044,752.15|6,542,757.85
其他非流动资产|35,718,357.90|18,629,431.80
非流动资产合计|704,163,244.03|662,140,123.77
资产总计|2,414,939,670.10|2,237,911,595.60
流动负债：||
短期借款|211,865,895.51|288,529,155.87
向中央银行借款||
拆入资金||
交易性金融负债||
衍生金融负债||
应付票据|56,251,560.31|41,630,069.20
page|78
应付账款|131,238,232.28|146,175,441.35
预收款项|18,410,000.00|8,000,000.00
合同负债|4,495,087.91|10,054,944.39
卖出回购金融资产款||
吸收存款及同业存放||
代理买卖证券款||
代理承销证券款||
应付职工薪酬|49,465,617.72|49,021,005.85
应交税费|43,418,031.91|39,086,634.73
其他应付款|22,568,129.35|27,908,099.49
其中：应付利息||
应付股利||
应付手续费及佣金||
应付分保账款||
持有待售负债||
一年内到期的非流动负债|7,193,312.73|
其他流动负债|584,361.44|1,307,142.77
流动负债合计|545,490,229.16|611,712,493.65
非流动负债：||
保险合同准备金||
长期借款|45,061,875.00|45,066,000.00
应付债券||
其中：优先股||
永续债||
租赁负债|2,353,799.89|
长期应付款||
长期应付职工薪酬||
预计负债|809,000.00|869,163.30
递延收益|13,490,426.37|12,382,005.88
递延所得税负债|9,076,264.21|
其他非流动负债||
非流动负债合计|70,791,365.47|58,317,169.18
负债合计|616,281,594.63|670,029,662.83
所有者权益：||
page|79
股本|467,625,470.00|467,625,470.00
其他权益工具||
其中：优先股||
永续债||
资本公积|269,953,983.15|280,120,427.69
减：库存股||
其他综合收益||
专项储备||
盈余公积|75,624,849.97|75,003,863.64
一般风险准备||
未分配利润|636,118,273.71|546,942,881.49
归属于母公司所有者权益合计|1,449,322,576.83|1,369,692,642.82
少数股东权益|349,335,498.64|198,189,289.95
所有者权益合计|1,798,658,075.47|1,567,881,932.77
负债和所有者权益总计|2,414,939,670.10|2,237,911,595.60
