page|72
项目|附注|2021 年 12 月 31 日|2020 年 12 月 31 日
流动资产：|||
货币资金|七、1|325,318,523.82|300,066,621.91
结算备付金|||
拆出资金|||
交易性金融资产|七、2|160,264,005.96|509,906,947.97
衍生金融资产|||
应收票据|七、4|4,326,282.81|3,076,350.35
应收账款|七、5|257,632,860.15|77,933,385.24
应收款项融资|||
预付款项|七、7|20,081,909.05|8,499,332.14
应收保费|||
应收分保账款|||
应收分保合同准备金|||
其他应收款|七、8|17,492,736.48|10,585,517.50
其中：应收利息||0.00|0.00
应收股利||0.00|0.00
买入返售金融资产|||
存货|七、9|441,332,954.15|202,471,205.64
合同资产|||
持有待售资产|||
一年内到期的非流动资产|||
其他流动资产|七、13|277,701.98|5,893,992.60
流动资产合计||1,226,726,974.40|1,118,433,353.35
非流动资产：|||
发放贷款和垫款|||
债权投资|||
其他债权投资|||
长期应收款|||
长期股权投资|||
其他权益工具投资|||
其他非流动金融资产|||
投资性房地产|||
固定资产|七、21|532,852,673.32|217,410,623.15
在建工程|七、22|28,182,742.78|287,276,443.95
生产性生物资产|||
油气资产|||
使用权资产|七、25|28,412,583.13|0.00
无形资产|七、26|50,843,736.77|50,461,480.12
开发支出|||
商誉|||
长期待摊费用|||
递延所得税资产|七、30|574,388.07|7,532,514.06
其他非流动资产|七、31|704,954,367.44|605,125,716.93
非流动资产合计||1,345,820,491.51|1,167,806,778.21
page|73
资产总计||2,572,547,465.91|2,286,240,131.56
流动负债：|||
短期借款|||
向中央银行借款|||
拆入资金|||
交易性金融负债|||
衍生金融负债|||
应付票据|||
应付账款|七、36|14,908,230.95|13,701,703.19
预收款项|||
合同负债|七、38|3,375,215.76|1,910,232.17
卖出回购金融资产款|||
吸收存款及同业存放|||
代理买卖证券款|||
代理承销证券款|||
应付职工薪酬|七、39|14,065,131.75|11,794,223.52
应交税费|七、40|33,294,908.54|20,469,854.10
其他应付款|七、41|46,380.87|558,491.23
其中：应付利息|||
应付股利|||
应付手续费及佣金|||
应付分保账款|||
持有待售负债|||
一年内到期的非流动负债|七、43|12,537,439.41|0.00
其他流动负债|七、44|438,778.05|248,330.18
流动负债合计||78,666,085.33|48,682,834.39
非流动负债：|||
保险合同准备金|||
长期借款|||
应付债券|||
其中：优先股|||
永续债|||
租赁负债|七、47|16,774,157.13|
长期应付款|||
长期应付职工薪酬|||
预计负债|||
递延收益|七、51|6,346,035.28|12,500,107.30
递延所得税负债|七、30|684,360.77|1,336,042.20
其他非流动负债|||
非流动负债合计||23,804,553.18|13,836,149.50
负债合计||102,470,638.51|62,518,983.89
所有者权益（或股东权益）：|||
实收资本（或股本）|七、53|120,000,000.00|120,000,000.00
其他权益工具|||
其中：优先股|||
永续债|||
page|74
资本公积|七、55|1,259,089,316.40|1,259,089,316.40
减：库存股|||
其他综合收益|||
专项储备|||
盈余公积|七、59|61,235,336.29|61,235,336.29
一般风险准备|||
未分配利润|七、60|1,029,752,174.71|783,396,494.98
归属于母公司所有者权益（或股东权益）合计||2,470,076,827.40|2,223,721,147.67
少数股东权益|||
所有者权益（或股东权益）合计||2,470,076,827.40|2,223,721,147.67
负债和所有者权益（或股东权益）总计||2,572,547,465.91|2,286,240,131.56
